step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.55268	39967.7	-35789	14398	17487.8	77082.6	411.721	17716.7	3.01466
2000	2	3.48461	39201.8	-35794.6	14296.8	17979.3	77130.3	452.821	17610.8	-4.08181
3000	3	3.47584	39103.2	-35820.3	13929.2	17233.4	77711.2	356.096	17564.5	-8.53488
4000	4	3.43828	38680.6	-35761.7	14216.8	17522.8	77251.4	437.671	17645.6	-17.816
5000	5	3.5109	39497.7	-36017.2	14266	17408.3	77086.5	420.118	17665	-22.9823
6000	6	3.5484	39919.5	-35847.5	14073.7	17276.9	77774.1	433.991	17340.4	0.957247
7000	7	3.54899	39926.1	-35762.2	14377.7	17502.5	77152.6	468.722	17424.5	-40.5616
8000	8	3.51854	39583.6	-35996.2	14075.9	17227.1	77409.5	408.731	17550.5	-27.4522
9000	9	3.56723	40131.3	-35745.3	14518	17725.6	77259.2	404.109	17606.8	-1.78832
10000	10	3.50555	39437.5	-36050.6	14119.9	17493.1	77467.2	422.269	17312.2	-39.7156
11000	11	3.51805	39578.1	-35964.5	14410.3	16898.1	77713.9	326.135	17831.1	1.16331
12000	12	3.55676	40013.5	-35829.4	14118.3	17140.6	77296.8	384.657	17525.7	-37.3615
13000	13	3.51746	39571.5	-35800.2	14313.2	17322.5	77294.6	433.081	17640.3	-9.36085
14000	14	3.52413	39646.4	-36120.6	14029.9	16876.9	78036.6	392.052	17310.1	-28.6559
15000	15	3.4749	39092.6	-35902.4	14205.6	17605.8	77854	479.2	17500.6	21.6795
16000	16	3.52183	39620.6	-35860.3	14178.1	17298.9	77965.1	436.773	17381	8.93227
17000	17	3.50486	39429.7	-35771.4	13793.3	17383.9	77493.3	432.354	17474.6	-11.1059
18000	18	3.48027	39153	-36113.1	14184.5	17424.3	77518.8	437.828	17463.9	22.0361
19000	19	3.50064	39382.2	-35654.7	14022.1	17107.2	77022.5	502.958	17818.7	31.3127
20000	20	3.5319	39733.9	-35735.2	14425.3	17062.4	77468.7	440.942	17907.1	29.2978
21000	21	3.5072	39456	-35620.7	14149.5	17627.7	76835.2	447.974	18090.7	38.8693
22000	22	3.49163	39280.9	-36027.4	13822	16832.2	77999.2	432.117	17486.3	10.4079
23000	23	3.52348	39639.1	-35847.9	14160.3	17096.6	77592.5	352.514	17530.1	6.40013
24000	24	3.45499	38868.6	-35730.2	13845.6	17207.4	77218.2	436.019	17756.7	19.1563
25000	25	3.53097	39723.4	-35899.7	13829.8	17622.9	77334.4	385.238	17523.2	3.20193
26000	26	3.56142	40066	-35805.1	14353.7	17656	77472.3	397.299	17608.8	-0.990977
27000	27	3.51041	39492.2	-35959.6	13953.3	17533.3	77567.7	385.408	17710.6	8.87536
28000	28	3.54631	39896	-36021	14093.7	17346.8	77773.6	389.741	17637	45.5936
29000	29	3.49236	39289	-35895.2	14668.3	17535.4	77068.8	385.7	17806.5	-14.0147
30000	30	3.5274	39683.3	-36048.5	14223.3	17367.8	77117.8	345.466	17858.7	-0.94035
31000	31	3.51195	39509.4	-35828.7	14332.7	17416.6	77376.9	440.311	17832	24.3576
32000	32	3.54132	39839.8	-35728.2	14278.9	17316	77323.1	385.03	17721.5	20.6526
33000	33	3.4404	38704.5	-35903.1	14261.8	17653.5	77511.6	458.132	17339.1	-23.7998
34000	34	3.53327	39749.3	-35970.3	14162.7	17772.8	77340.9	396.029	17639.8	-1.7328
