step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
1000	1	3.49325	39299	-36065.5	14184.1	17606.4	77719.6	464.581	17445.3	-17.4174
2000	2	3.47475	39091	-35781.6	13976.4	17656	77247.8	359.82	17807.5	-1.71174
3000	3	3.50648	39447.9	-36164.6	14300	17217.5	77524.5	443.834	17796.1	10.5973
4000	4	3.5353	39772.2	-36078.4	13812.6	17275.6	77616.5	420.668	17611.1	-24.0086
5000	5	3.49069	39270.3	-36093.5	14139.2	17318.5	77638.6	369.602	17579.3	36.839
6000	6	3.53051	39718.2	-36014.4	13942.1	17897	77578.5	489.829	17589.8	18.7642
7000	7	3.50456	39426.3	-35882.9	14194.6	17657.8	77237.5	402.463	17620.6	-4.91191
8000	8	3.5383	39805.9	-36095.8	14373.9	17081.3	77917.5	442.874	17547.9	-9.70672
9000	9	3.53882	39811.8	-36112.8	14160	17618.9	77670.6	309.408	17431.5	-33.3755
10000	10	3.48402	39195.2	-35774.7	14318.8	17170	77944.8	424.939	17388.6	11.7834
11000	11	3.53166	39731.2	-35991.2	14280.1	17351.2	78005.5	460.284	17209.7	-25.9463
12000	12	3.53011	39713.7	-35786.4	14581.4	17162.6	77903.9	381.323	17754.7	31.0053
13000	13	3.51115	39500.5	-36135.1	14092.3	17503.9	77256.9	390.715	17693	15.3658
14000	14	3.49677	39338.6	-35853.9	14563.4	17733.7	77468	403.808	17555.7	-17.0889
15000	15	3.48401	39195.1	-35869.9	14646.4	17401.8	77395	444.763	17801.6	-0.283117
16000	16	3.55911	40040	-35660	14069.3	16857.3	77601.1	400.632	17833.5	22.8556
17000	17	3.48792	39239.1	-35850	14097.4	17581.3	76835	401.418	17732	-22.5272
18000	18	3.50875	39473.5	-35633.1	14239.5	17039.2	78422.1	343.332	17337.7	3.07307
19000	19	3.51409	39533.5	-36095.2	14173.9	17088.7	77321.9	431.984	17974.4	20.171
20000	20	3.49442	39312.3	-35756	14055.9	17392.8	76548.3	452.488	18164.9	-1.56701
21000	21	3.56088	40059.9	-35845.5	14177.8	17408.4	77099.2	395.439	17557	-10.4659
22000	22	3.46257	38953.9	-35989	13890.9	16907.8	77632.5	472.113	17710.3	56.7894
23000	23	3.51728	39569.4	-36056.7	13667.9	17175.8	77592.6	384.714	17727.1	7.5459
24000	24	3.51789	39576.2	-36282.6	14172.9	17056.9	78117.2	371.008	17512.4	-32.0264
25000	25	3.45308	38847.2	-35821.2	13748.4	16645.9	77814.4	357.98	18030.2	21.3817
26000	26	3.47421	39084.9	-35715.9	13975.7	17838.4	77280.6	325.919	17766.7	18.1594
27000	27	3.46826	39017.9	-35854.2	14194	17350.3	77839.8	366.994	17460.2	-18.9105
28000	28	3.51221	39512.3	-35973.8	13825.4	17174.3	77429.3	449.563	17992.8	13.8638
29000	29	3.54399	39869.9	-35878.9	14095.4	17637	77212.1	446.684	17932.6	-5.56983
30000	30	3.45681	38889.1	-35745.3	14428.7	17385.7	77631.9	388.528	17556.8	8.06028
31000	31	3.48384	39193.2	-35939.8	14067.8	17560.1	77740.6	402.549	17607.5	-23.3779
32000	32	3.55416	39984.4	-36009.2	13876	17322.3	77642.3	392.733	17546.1	-9.27283
33000	33	3.45973	38921.9	-36046.7	14467.9	17373.1	77420.3	433.885	17463	-24.184
34000	34	3.44647	38772.7	-35897.2	14275.6	17246.9	77479.8	447.201	17850.7	14.6585
35000	35	3.54567	39888.8	-36034.4	14124.3	17474.7	77847.7	389.232	17491.1	-3.44867
36000	36	3.51929	39592	-35805.7	14131.4	17851.1	77705.9	487.34	17438	43.1787
37000	37	3.58021	40277.3	-35720.5	14450.7	17254.4	77709.3	458.926	17487.3	-14.3262
38000	38	3.53942	39818.5	-35674.3	13798.6	17932.7	77326.5	440.511	17708.1	41.3171
39000	39	3.51172	39506.8	-35764	14098.1	17670	76839.7	437.274	17765.2	-24.3872
40000	40	3.5531	39972.4	-35926.6	14257.9	17889.2	77044.4	450.06	17571.3	6.64481
41000	41	3.53379	39755.1	-36028.6	14249.6	17271.7	77706.2	402.839	17606	-9.06256
42000	42	3.4413	38714.6	-35615.5	13926.4	16816.1	77905.4	426.218	17638.4	18.1068
43000	43	3.492	39284.9	-35603.3	14311.5	17387.5	77730.9	404.794	17258.2	-5.43769
44000	44	3.47036	39041.6	-36135	14089	17730.2	77540.9	389.79	17720.5	2.44791
45000	45	3.4593	38917.1	-35865.2	14111.6	17504.9	77432.8	360.288	18018.4	26.1044
46000	46	3.55989	40048.7	-35582.3	13947.2	17312.9	77337.9	498.65	17790.3	-0.595749
47000	47	3.55105	39949.4	-36079.6	14082.6	17332	77636.2	470.986	17272.7	-32.3204
48000	48	3.58042	40279.8	-35770.2	13968	17430.2	77524.4	411.658	17174	-29.3089
49000	49	3.52867	39697.5	-35926.6	13904.6	18300.9	77504.1	415.45	17192.6	-1.69837
50000	50	3.48512	39207.6	-35892.2	14102.5	17113.9	77841.3	401.05	17410.5	-18.913
51000	51	3.58235	40301.4	-35953.9	14204.4	17626.1	77119.8	341.934	17347.5	-26.4779
52000	52	3.54174	39844.6	-35982	14044.1	17600	77531.7	402.714	17382.1	-12.4335
53000	53	3.54444	39874.9	-36118.8	13955.7	17485.5	78037.2	368.041	17024.5	-18.8981
54000	54	3.52173	39619.4	-35975.4	14471.9	17727.1	77820.2	339.381	17443.8	-21.6355
55000	55	3.4391	38689.9	-35935.2	14043.7	17494.4	77426.8	470.742	17380	13.3754
56000	56	3.60474	40553.3	-35905.4	14368.3	17523.1	77222	473.625	17497.5	-28.123
57000	57	3.51389	39531.3	-35959.5	14102.6	17697.2	77407.9	432.322	17447.7	0.913384
58000	58	3.49786	39351	-35993.5	14133.4	17874.5	77605.4	384.232	17399	4.75197
59000	59	3.55476	39991	-35962.7	13817	17402.9	78122.8	408.473	17398.9	19.565
60000	60	3.52734	39682.6	-35777.1	14227.6	17583.4	77744.4	384.71	17424.5	4.24344
61000	61	3.47539	39098.1	-35717.5	14228.9	17220.9	77469.2	392.898	17917	52.6769
62000	62	3.51659	39561.7	-35632.3	14111.8	17894.2	76824.8	439.266	17814.8	27.9809
63000	63	3.54296	39858.3	-36079.5	14265.3	18044.5	77200.8	425.046	17598.2	-10.3037
64000	64	3.51683	39564.3	-35823.9	14121.9	17318.7	77495.2	394.002	17492.9	19.7995
65000	65	3.49949	39369.3	-35594.6	14293	17437.9	77540.6	356.842	17493.1	-3.69689
66000	66	3.50494	39430.6	-35818.9	14170	17523.4	76925.2	463.489	17839	13.0663
67000	67	3.54382	39868	-35991.7	14506.7	18086	77143.8	413.572	17664.7	6.47731
68000	68	3.48174	39169.6	-35787.8	14388.4	17463.3	76881.5	427.672	17575.9	-21.6978
69000	69	3.53557	39775.2	-35743.2	14138.3	17842.4	77166.2	433.303	17421.7	-10.9129
70000	70	3.52741	39683.4	-35802.1	14637.6	17354.5	77072.9	446.065	17586.6	-42.4178
71000	71	3.50086	39384.6	-35947.4	13935.2	17581.9	77877.3	398.959	17620.1	15.6289
72000	72	3.48431	39198.4	-35891.4	14215.9	17282.5	77692.1	431.089	17659.8	23.5409
