step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
65000	65	3.5882	40367.2	-35700.4	14254.4	17035.8	77375.5	393.3	18175.4	39.5457
66000	66	3.53122	39726.3	-35753.9	14033	17154.9	77629.4	451.226	17799	24.2039
67000	67	3.49229	39288.2	-35893.2	13909.7	17691.9	77242.2	400.008	17572.7	8.34415
68000	68	3.57691	40240.3	-36179.9	14212.4	17555.7	77171.1	356.688	17674.3	-31.3096
69000	69	3.54662	39899.5	-36122	14326	17381.9	77714.6	352.978	17570	-28.8123
70000	70	3.56125	40064.1	-35830.2	13865.4	17415.4	77097.4	473.732	18305.7	62.6263
71000	71	3.54603	39892.8	-35886.9	13916.8	17458.4	76819	459.597	17861.9	-5.21868
72000	72	3.52843	39694.8	-35766.1	13918.8	17609.4	76753.3	420.809	17898.2	7.71171
73000	73	3.459	38913.7	-35837.8	14087.2	17677.5	77222.6	392.786	17626.3	-12.45
74000	74	3.50919	39478.4	-35778.3	14422.5	17277.2	77053	408.821	17966.5	-8.89019
75000	75	3.52771	39686.7	-36005.6	13829.9	17567.6	76983.3	384.267	17982.6	43.1803
76000	76	3.4577	38899.1	-35901.6	13701	17658.9	77103.9	398.217	17501.1	-34.4856
77000	77	3.51457	39538.9	-35851.2	14633.2	17382.9	77133.9	391.592	17824.2	-15.5262
78000	78	3.55358	39977.8	-35739.4	14137.5	17557.5	76765.5	421.504	17868	21.3753
79000	79	3.52842	39694.7	-35691.6	14359.6	17544.1	77125.1	415.006	17633.9	24.6378
80000	80	3.51946	39593.9	-35889.3	14554	17163	77777	386.299	17644	-20.1986
81000	81	3.47557	39100.2	-35992.6	14406.9	17776	77294.5	443.885	17561.9	-9.98515
82000	82	3.4741	39083.6	-35868.6	14565.6	17111.1	77334	497.727	17709.3	-11.7076
83000	83	3.54885	39924.6	-36035	14160.1	17961.1	77616.5	402.3	17268.3	18.6927
84000	84	3.56084	40059.5	-36225.2	14793.5	17146	77843.2	422.863	17326.4	-20.1044
85000	85	3.49485	39317.1	-35593.7	14263.1	17424.5	77298	400.684	17759.7	42.3747
86000	86	3.47	39037.5	-35941.6	13997.3	17012.9	77484.5	388.907	17718.3	-7.93958
87000	87	3.5182	39579.8	-36119.4	14356.4	17367.7	77323.7	409.871	17708.1	6.76688
88000	88	3.51986	39598.4	-35721.6	14332.6	17606.7	77151.9	382.44	17676.5	-8.41094
89000	89	3.54967	39933.7	-35859.4	14051.6	17438	77364.5	397.079	17918.4	21.2017
90000	90	3.55173	39957	-36128.5	13907.9	18125.7	77420	448.618	17498.7	17.5777
91000	91	3.51677	39563.7	-35919.2	14118.4	17305.4	77034	422.014	17680.3	-26.0752
92000	92	3.5482	39917.2	-35999.7	14061.6	17524	77415.2	428.781	17653.2	10.8404
93000	93	3.49471	39315.5	-36045.5	14076	17119	77608.2	403.078	17360	-12.2738
94000	94	3.50914	39477.8	-36153.9	14114.6	17649.7	77278	458.882	17658.3	-7.19762
95000	95	3.60937	40605.4	-36091.4	14211.6	17529.3	77801.3	444.871	17646.7	33.5323
96000	96	3.52556	39662.5	-35920.6	14317.1	17326.7	76898.3	362.807	17828.4	-40.9675
97000	97	3.52549	39661.8	-36013.1	14202.5	17346	77788.4	389.243	17578.8	-9.56744
98000	98	3.52364	39641	-35859.8	14149.3	17499.6	76538.2	514.843	18047.9	-7.59973
99000	99	3.46287	38957.3	-36224.6	14513.9	17471.1	77687.6	352.456	17446.1	-29.418
100000	100	3.45436	38861.6	-35849.6	14261	17445.1	77531.8	419.439	17501.6	7.49874
101000	101	3.54592	39891.6	-35866.2	14281	17256.6	78087.1	471.526	17368.8	21.559
102000	102	3.50144	39391.2	-36022.2	14217.4	16993.3	77986.5	385.56	17540.9	-7.79923
103000	103	3.52456	39651.3	-35827.6	14187.5	17005.6	77929	419.121	17388.6	-45.7136
104000	104	3.49509	39319.8	-35668.1	14108	17146.9	77783.9	370.265	17705.6	2.2332
105000	105	3.48926	39254.2	-35915.8	14144.8	17342.1	77663.7	437.649	17541.3	-45.8891
106000	106	3.53902	39813.9	-35925.7	14232.4	17529.9	77264.5	351.802	17622.9	-15.0816
107000	107	3.50151	39392	-35856.3	13700.1	17572.8	77087.9	436.732	17912.9	36.6513
108000	108	3.50515	39432.9	-35938.6	13801.2	17190.7	77500.6	425.473	17731.9	4.49773
109000	109	3.53027	39715.5	-35754.4	14255.7	17123.1	77505.2	437.644	17415.2	15.5002
110000	110	3.49538	39323	-35793.8	14160.6	17279.8	77993.5	373.196	17543	-7.09105
111000	111	3.52008	39600.9	-35928.2	14647.4	18001.3	77600.1	366.743	17588.3	12.114
112000	112	3.50686	39452.2	-36038.3	13986.5	17709.3	77810	426.389	17360.7	-23.4262
113000	113	3.48941	39255.8	-36110.8	14166.4	17136.6	77575.6	318.085	17589.7	-13.8173
114000	114	3.50204	39398	-35956	14174.7	17511.6	77601.5	441.843	17741.3	1.27668
115000	115	3.51956	39595.1	-35874.4	14440.1	17307	77990.6	407.463	17423.8	0.580753
116000	116	3.4984	39357	-35855.5	14324.7	17156.3	77377.5	467.405	17821.7	-20.5234
117000	117	3.53374	39754.6	-36007.4	13725.8	17446.8	77365.5	433.743	17635.7	4.03226
118000	118	3.51554	39549.8	-35798	14353.2	17614.6	77358.1	407.874	17972.9	22.1364
119000	119	3.45254	38841.1	-35831.5	14197.9	17990.6	77691	430.567	17549	24.0523
120000	120	3.53099	39723.6	-35883.5	14188.1	17414.1	77978.1	331.346	17527.1	-11.1998
121000	121	3.51949	39594.2	-35702.2	14451.4	17700.1	77668.1	451.096	17391.9	5.37731
122000	122	3.54215	39849.2	-35864.7	14053.4	17561.1	77408.5	474.238	17395.2	-2.92846
123000	123	3.50305	39409.3	-35983.2	14287	16927.8	78110	409.064	17632.2	-0.733101
124000	124	3.53127	39726.8	-35748.6	13805.5	17478.2	77188.7	411.387	17668.5	8.25849
125000	125	3.50976	39484.8	-35547.6	13879.5	17673.7	77067.7	423.141	17576.7	24.5361
126000	126	3.50863	39472.1	-35962	14518.9	17173	77196.8	408.161	17673.2	1.06757
127000	127	3.5348	39766.5	-35933.2	14310.8	17419.8	76969.8	394.236	17968.4	13.9213
128000	128	3.52821	39692.4	-36102.6	14259	17488.2	77411.7	441.307	17703.9	11.8602
129000	129	3.5527	39967.8	-36037.9	14118.6	17852.1	77313.1	434.457	17680.4	14.8011
130000	130	3.50824	39467.7	-35917.7	13899.3	17082.8	77197.2	465.082	17614.9	25.8433
131000	131	3.47927	39141.8	-35839.7	14264	17219.3	77338.7	449.543	17560	8.60566
132000	132	3.55037	39941.6	-35826.2	14136.2	17007.6	77669.6	424.436	17477.1	-20.4633
133000	133	3.50046	39380.2	-36006	14025.6	17169.9	77667.2	390.408	17747.7	-9.74465
134000	134	3.56763	40135.8	-35737.4	13784.4	16736.5	77848.8	372.584	17507.6	31.9422
135000	135	3.50078	39383.8	-35952.9	14411	16891.5	77509.1	464.509	17563.9	-5.08767
136000	136	3.52957	39707.7	-35801.4	14262.8	17574.7	76964	505.808	17623.2	-24.8087
137000	137	3.53534	39772.6	-35988.9	13880.6	17381.2	77310.3	474.197	17875.6	5.58524
138000	138	3.54228	39850.6	-36005.2	14401.9	17516.7	77670.6	360.971	17530.7	29.3349
139000	139	3.5485	39920.7	-35998.5	13889.6	17328.6	77510.5	416.164	17964	33.0441
140000	140	3.4997	39371.6	-36062.7	14192.4	17409.2	77469	396.421	17617.1	3.74646
141000	141	3.5061	39443.6	-36148.5	14132.3	17220.4	77646.1	346.754	18049.2	27.7312
142000	142	3.54376	39867.3	-35848.6	13980.9	17438.5	77358.8	527.889	17769	0.152951
143000	143	3.46804	39015.5	-35940.3	14040.5	17522.4	77357.7	425.485	17888.3	1.896
144000	144	3.52811	39691.2	-35765.2	13881.7	17466.4	77330.2	401.089	17705	2.818
145000	145	3.53244	39739.9	-36048.2	14142.2	17094.6	77737.9	388.762	17583.9	8.81212
146000	146	3.53838	39806.8	-35843.2	14307.6	17442.4	77495.2	417.563	17957.8	8.84387
147000	147	3.53208	39735.9	-35995	13968.4	17243.6	77993.5	416.834	17259	3.98873
148000	148	3.54245	39852.6	-35720	14260.9	17700.8	77522.9	399.008	17502.6	10.2141
149000	149	3.50889	39475	-36048.7	13899	17708.8	77643.9	401.196	17689.6	7.58748
150000	150	3.51107	39499.6	-35994.3	14311.1	17182.5	77078.6	441.754	17897.6	38.8794
151000	151	3.48018	39152.1	-35917.8	14058.5	17734.7	77051.4	385.44	17732.9	-2.68596
152000	152	3.50186	39396	-35909.7	13915.3	17288.3	77172.6	419.415	17859.9	29.5078
153000	153	3.55614	40006.6	-35883.1	14159.7	17794.5	77727.3	408.173	17585.9	60.7125
154000	154	3.51266	39517.4	-35701.6	14107.6	17651.9	77224.4	389.088	17766.8	10.8427
155000	155	3.49079	39271.3	-35989.9	14204.5	17846.1	77999.8	391.157	17354.2	26.5273
156000	156	3.52064	39607.2	-35888.8	14147.1	17612.8	77407.5	429.338	17621.6	10.4741
157000	157	3.51566	39551.2	-36271.2	14158.3	17870.4	77639.2	368.054	17474	-0.313352
158000	158	3.51596	39554.5	-36049.1	14372.3	17853.7	77010.4	415.295	17853.7	-5.92592
159000	159	3.4701	39038.6	-35881.9	14042.4	17806.9	76999.7	436.029	17455.8	-6.26695
160000	160	3.55616	40006.7	-35812.3	14196.4	17626.5	77100.2	467.819	17379.9	-41.4556
161000	161	3.53314	39747.8	-35699.9	14274.1	17261.5	77442.8	381.487	17846	-15.208
162000	162	3.47255	39066.2	-35948.5	13837.2	17681.8	77608.4	420.949	17141.4	36.1381
163000	163	3.49098	39273.5	-35578.1	13925.5	17674.6	77149.7	506.154	17505.7	-18.0682
