step	time	T	T-cg	T-at	Ekin	res	angle_12	angle_12_cross	angle_160	angle_160_cross	angle_166	bond_124_cross	bond_125_cross	bond_71	bond_82	bond_82_cross	coulomb	dihedral_51	dihedral_51_cross	dihedral_83	dihedral_83_cross	lj	lj-14_0	lj-14_0_cross	lj-14_1	lj-14_1_cross	lj-14_2	lj-14_3	lj-14_4	lj-14_4_cross	tab-cg
6000	6	4.238	3.35837	4.26712	9916.91	0.00999	2213.09	1.89051	5965.15	1.51165	1729.25	28.6392	71.676	5137.73	3892.72	703.957	0.0395622	776.331	0.0439468	1590	0.0329055	25.1284	249.204	-1.68754e-05	860.526	-8.90259e-05	4.11516	11.9285	223.047	-8.7432e-05	5.15869
6100	6.1	4.5783	3.35837	4.61869	10713.2	0.01099	881.566	2.23267	3550	1.85614	1155.03	31.4781	62.4794	2679.01	1267.38	849.531	0.0476755	730.549	0.0544947	1293.04	0.0414742	13.3744	115.714	-2.46906e-05	594.514	-9.10663e-05	3.1933	4.99403	211.088	-9.17986e-05	6.07479
6200	6.2	4.00898	3.35837	4.03052	9381.01	0.01199	598.929	2.68387	3026.96	2.35048	1030.68	28.8628	63.697	2124.49	884.264	1016.65	0.055722	719.826	0.0658099	1065.86	0.049548	6.8274	100.2	-1.53531e-05	429.677	-4.26746e-05	2.92006	9.2476	185.7	-0.000132933	4.61456
6300	6.3	3.58649	3.35837	3.59404	8392.38	0.01299	577.336	2.86956	2682.45	2.45699	849.236	23.781	63.8972	2107.06	841.275	1145.84	0.0663467	712.71	0.0769061	984.094	0.059756	10.8754	68.9579	-2.88338e-05	477.675	-2.55896e-06	8.44584	3.45597	196.54	-8.20998e-05	5.04572
6400	6.4	3.57737	3.35837	3.58463	8371.06	0.01399	489.91	3.324	2731.68	3.16316	872.222	20.7398	64.1216	2026.87	867.981	1279.64	0.0786462	695.061	0.085835	879.421	0.0688748	26.7541	63.7864	-3.97741e-05	452.7	-0.000248028	7.06603	3.14648	175.809	0.000456872	7.20282
6500	6.5	3.46965	3.35837	3.47334	8118.99	0.01499	556.358	4.12741	2674.53	3.42254	815.632	19.5932	70.8037	1914.37	777.918	1429.2	0.0918327	671.82	0.0988613	951.778	0.0803173	23.8275	69.8191	-9.25672e-05	446.958	0.000245067	7.11119	7.0038	178.164	0.00138348	9.89227
6600	6.6	3.58957	3.35837	3.59723	8399.59	0.01599	585.012	4.63195	2797.61	4.00737	809.337	19.2473	70.6089	1994.13	899.898	1554.39	0.105521	685.608	0.111067	924.193	0.0854103	8.7698	74.7945	-6.71855e-05	488.094	-0.000188662	5.26279	5.73263	172.793	0.00661566	11.9631
6700	6.7	3.59336	3.35837	3.60115	8408.47	0.01699	587.087	4.905	2723.63	4.94708	875.308	19.4067	62.9871	1993.24	895.822	1655.34	0.119288	680.147	0.123215	906.126	0.0960324	13.2567	64.6694	-4.72102e-05	422.828	0.084591	7.04031	4.84586	143.749	0.0117153	11.4121
6800	6.8	3.59569	3.35837	3.60355	8413.93	0.01799	580.642	5.03081	2603.98	5.33091	886.905	19.0821	58.6364	2049.34	777.635	1730.83	0.134442	686.97	0.139834	971.165	0.110373	11.7043	63.8392	-0.000116913	469.743	2.75758e-05	5.90683	4.11676	153.108	0.000329538	11.2969
6900	6.9	3.51616	3.35837	3.52139	8227.82	0.01899	541.728	5.00396	2731.06	6.42519	875.912	17.9893	55.057	1928.1	726.785	1790.83	0.150214	674.669	0.159398	936.906	0.12616	14.0187	77.9254	0.00025175	448.185	0.00113982	11.2084	6.32209	170.677	-0.000230831	10.0115
7000	7	3.57903	3.35837	3.58634	8374.93	0.01999	514.645	5.41189	2645.62	6.36099	843.764	16.6104	53.7911	2012.13	864.297	1872.15	0.159085	689.058	0.178612	903.383	0.134348	26.6219	62.484	-0.000138143	426.943	0.000286647	5.40907	10.8731	200.333	-0.000577586	9.65977
7100	7.1	3.4473	3.35837	3.45024	8066.67	0.02099	476.396	5.98485	2664.42	8.4238	882.527	15.7711	52.4238	1926.78	703.461	1908.31	0.173208	705.716	0.199139	890.384	0.147482	20.1082	62.8706	-0.000112129	414.985	0.000885133	6.75155	2.05235	197.805	0.00177388	12.1565
7200	7.2	3.46783	3.35837	3.47145	8114.71	0.02199	479.012	5.80849	2674.97	8.68462	894.407	19.0472	51.1983	2005.28	788.881	1908.6	0.189517	705.345	0.224711	985.692	0.172013	27.6056	80.9674	0.499519	452.978	0.0325454	6.40021	4.50013	193.561	0.111284	14.4703
7300	7.3	3.49753	3.35837	3.50214	8184.22	0.02299	532.148	5.92812	2531.87	9.24462	880.909	21.1685	51.8454	1905.74	784.212	1911.31	0.212072	678.932	0.240401	908.725	0.189786	35.9554	71.9707	-0.00031093	456.546	0.0142299	4.04602	3.70949	175.35	0.0301968	14.9622
7400	7.4	3.51546	3.35837	3.52066	8226.18	0.02399	510.353	5.67347	2535.63	10.149	818.682	17.8601	53.098	1791.22	903.283	1898.36	0.225147	688.737	0.251146	943.275	0.212368	31.4401	59.4824	0.0225021	417.56	-0.000767633	2.50184	5.34222	195.903	0.00617136	10.5227
7500	7.5	3.42366	3.35837	3.42582	8011.36	0.02499	535.87	6.00804	2799.36	11.2239	829.484	16.8978	54.2436	1888.41	909.387	1916.31	0.250846	688.735	0.272011	951.593	0.211227	21.6626	58.5522	0.0402998	448.222	-0.0013475	1.83397	5.09961	186.52	-0.00014934	7.09502
7600	7.6	3.55685	3.35837	3.56342	8323.03	0.02599	543.943	6.93749	2825.23	12.6677	803.617	15.2429	55.1338	1984.4	853.329	1870.85	0.275809	689.378	0.297737	947.23	0.246541	37.5829	67.7152	0.3312	485.69	-0.00149424	3.95076	6.82749	188.702	-0.00110247	6.86732
7700	7.7	3.5072	3.35837	3.51213	8206.85	0.02699	541.041	7.24309	2665.14	12.9456	745.037	14.358	55.439	1889.78	722.995	1809.29	0.297117	684.211	0.315211	971.092	0.24663	23.8401	70.4655	-0.000155873	473.978	-0.00169532	3.2957	4.13256	202.713	-0.000234144	5.61713
7800	7.8	3.57219	3.35837	3.57927	8358.92	0.02799	528.189	6.2768	2607.35	14.3782	886.348	14.2645	56.3368	1758.62	888.569	1767.02	0.326024	676.036	0.338705	995.789	0.268286	34.9141	79.5611	-5.17414e-06	435.284	-0.00154069	1.30429	5.99336	166.396	0.00311979	4.19306
7900	7.9	3.56029	3.35837	3.56697	8331.07	0.02899	486.778	6.02675	2824.62	16.2705	905.124	15.2507	58.0788	1873.78	820.143	1672.73	0.347194	681.823	0.355275	950.848	0.294896	42.0807	67.3359	0.0170251	453.287	-0.00215594	1.38668	6.12432	177.461	0.00189355	3.91607
8000	8	3.50032	3.35837	3.50502	8190.76	0.02999	515.564	6.29429	2639.68	17.6794	860.871	17.8319	59.2867	1828.64	844.4	1585.23	0.383569	671.738	0.366416	846.201	0.318743	51.632	63.8441	2.1671	437.101	0.0117938	0.458185	10.4361	158.012	0.00113501	4.99355
8100	8.1	3.46402	3.35837	3.46752	8105.81	0.03099	512.23	7.06913	2783.57	18.1129	890.736	18.0952	59.6661	1849.16	778.633	1494.79	0.406653	681.678	0.381587	893.154	0.321139	36.6137	57.7096	0.198863	470.549	0.147233	6.86296	7.1649	174.118	0.0147482	4.90229
8200	8.2	3.47405	3.35837	3.47788	8129.28	0.03199	526.216	6.96684	2708.78	20.4602	813.348	18.5619	60.3718	1862.67	920.357	1402.34	0.42933	675.135	0.401931	931.882	0.319879	52.3639	64.187	1.48236	466.251	0.29496	9.16841	6.50799	142.504	0.0103458	3.19626
8300	8.3	3.50718	3.35837	3.51211	8206.8	0.03299	580.366	7.45875	2666.16	21.5293	858.367	19.8774	59.6578	1801.46	782.216	1320.23	0.455926	684.334	0.395493	926.252	0.356503	39.146	63.0784	0.80284	452.977	0.0951839	4.2708	5.31405	183.73	0.0734286	3.55927
8400	8.4	3.48995	3.35837	3.4943	8166.48	0.03399	605.976	8.18007	2678.27	21.9188	895.026	21.1491	61.4329	1951.14	953.318	1180.3	0.491279	684.656	0.422683	950.479	0.389823	70.9685	64.7305	3.26892	435.814	0.331012	2.33824	5.5865	149.439	-0.00120384	2.78203
8500	8.5	3.45845	3.35837	3.46176	8092.77	0.03499	472.446	8.32487	2614.6	23.9543	833.507	22.776	62.7128	1881.8	896.157	1127.61	0.513213	692.795	0.435176	894.192	0.380892	38.5329	56.6374	1.85404	430.496	0.551189	2.16746	6.4419	184.685	-0.00477505	1.54298
8600	8.6	3.58318	3.35837	3.59062	8384.64	0.03599	505.749	9.7565	2614.93	25.8615	858.413	24.0393	64.7606	1857.06	678.567	1016.9	0.555591	684.147	0.489756	892.99	0.443548	35.2976	70.705	2.5257	472.916	1.15278	3.7397	10.7966	194.792	-0.00585014	1.30302
8700	8.7	3.54141	3.35837	3.54748	8286.91	0.03699	504.05	10.9473	2614.63	26.2268	749.823	24.7693	69.539	1917.14	869.54	879.451	0.60988	661.153	0.502569	893.013	0.440226	44.9162	61.3911	0.340249	484.17	0.511372	7.36675	9.76967	140.76	-0.00531127	1.12553
8800	8.8	3.49807	3.35837	3.50269	8185.48	0.03799	503.477	12.8144	2751.08	25.7092	874.026	24.8154	75.2905	1926.05	974.665	828.939	0.657368	649.773	0.51357	890.975	0.470903	34.1771	56.3999	0.952587	462.269	0.168826	2.90328	3.67307	145.229	-0.00747699	1.00333
8900	8.9	3.52218	3.35837	3.5276	8241.89	0.03899	489.748	11.7149	2633.3	30.6086	851.964	24.8179	76.2594	1745.61	905.187	753.963	0.677548	651.005	0.507436	874.34	0.500462	33.2633	65.2374	10.3195	412.765	0.70081	5.70005	5.4475	157.17	-0.00500733	0.706926
9000	9	3.5063	3.35837	3.5112	8204.74	0.03999	518.129	11.8922	2763.49	28.9431	743.195	25.3388	75.7844	1984.5	957.552	729.77	0.747821	639.96	0.50842	887.47	0.535987	48.3158	58.9594	0.413369	465.767	0.892644	3.32951	6.83133	119.302	-0.000695152	0.833609
9100	9.1	3.50613	3.35837	3.51102	8204.34	0.04099	520.218	9.35271	2821.9	33.4139	862.518	26.9426	75.5337	1797.02	833.541	686.36	0.775021	645.927	0.536073	888.319	0.599395	60.6493	66.5345	2.74409	423.25	2.43032	3.94822	5.67081	134.751	0.0237328	1.4467
9200	9.2	3.43589	3.35837	3.43846	8039.99	0.04199	551.55	9.47462	2581.48	35.4503	871.565	28.2935	76.1811	1857.36	871.69	618.566	0.810699	642.17	0.607354	913.219	0.589853	45.2992	54.2188	3.40324	430.626	0.880305	1.17148	2.90619	129.744	0.0327842	1.66507
9300	9.3	3.57113	3.35837	3.57817	8356.43	0.04299	539.596	10.7366	2674.72	36.9998	786.961	28.9355	76.9752	1887.56	858.814	625.413	0.844345	640.876	0.645486	888.901	0.617945	56.4649	76.181	8.57422	443.255	2.2965	0.972928	6.27562	134.813	0.0100191	1.63207
9400	9.4	3.66789	3.35837	3.67814	8582.87	0.04399	510.528	9.87342	2624.53	35.0138	799.82	29.4758	77.2717	1910.31	882.224	622.226	0.869785	645.76	0.704828	886.797	0.649419	40.8171	76.7897	2.65963	427.231	0.651799	-0.0977406	7.37398	121.867	0.0235909	2.05732
9500	9.5	3.61562	3.35837	3.62414	8460.55	0.04499	515.244	12.7057	2835.76	37.0485	866.209	28.0311	77.1277	1989.42	753.709	594.731	0.92341	646.69	0.749225	967.185	0.713186	58.0592	73.8592	10.9703	464.976	0.762057	1.77514	11.1413	155.024	0.0308232	2.25029
9600	9.6	3.62111	3.35837	3.62981	8473.4	0.04599	497.779	10.9912	2610.73	42.1267	816.691	25.5053	77.5566	1853.77	814.018	580.791	0.950894	649.21	0.704324	945.527	0.688126	42.7502	68.8232	4.71379	450.913	2.174	8.59576	3.59989	168.386	0.0248511	2.66477
9700	9.7	3.63893	3.35837	3.64823	8515.11	0.04699	547.92	13.1181	2661.25	39.7252	817.792	25.9201	76.584	1823.11	903.425	538.599	1.01852	639.802	0.694808	961.254	0.721125	41.6196	65.6405	4.78352	459.081	1.24361	4.23485	10.3736	145.33	0.0265731	2.60845
9800	9.8	3.56056	3.35837	3.56726	8331.72	0.04799	531.61	14.358	2718.69	39.3666	818.697	26.1942	76.666	1877.11	832.794	483.271	1.08901	636.708	0.696868	937.182	0.817628	44.4634	69.3409	2.52653	475.979	0.80188	1.36763	4.80782	154.526	-0.000141357	2.5139
9900	9.9	3.46694	3.35837	3.47053	8112.64	0.04899	529.131	12.4671	2541.01	44.8942	824.65	26.8766	77.5987	2032.95	784.161	440.846	1.10983	643.916	0.742571	969.932	0.832724	55.2849	72.2638	15.8247	441.865	1.02875	0.226111	12.4332	149.232	-0.00293663	2.53404
10000	10	3.50646	3.35837	3.51136	8205.11	0.04999	566.4	14.2734	2604.77	43.7454	858.684	28.2964	78.7409	1990.49	830.332	420.843	1.13485	654.088	0.794665	932.01	0.813398	31.6065	70.7821	19.7928	437.603	1.42698	3.87281	3.05755	146.982	0.00429142	2.84828
10100	10.1	3.56678	3.35837	3.57368	8346.27	0.05099	506.769	16.2659	2875.84	44.8956	928.15	30.0858	79.2405	1997.86	842.412	418.827	1.18951	649.152	0.875528	902.574	0.860122	30.037	70.0332	6.70172	441.441	3.77204	5.3246	5.26609	131.85	0.00135736	3.36029
10200	10.2	3.55472	3.35837	3.56122	8318.04	0.05199	503.884	14.2438	2698.77	46.7616	915.485	31.7564	81.7469	1882.14	771.298	386.236	1.23108	630.973	0.909345	927.393	0.987688	47.0676	65.0214	5.16111	474.373	2.72999	0.352647	5.24133	151.149	-0.0113486	3.49951
10300	10.3	3.51054	3.35837	3.51558	8214.66	0.05299	513.462	17.3544	2617.54	52.6664	776.582	33.2181	84.954	1902.71	829.531	319.044	1.31206	626.455	0.942268	892.794	1.03157	40.7772	68.8755	11.6621	448.758	4.68341	5.73346	4.53041	139.838	0.0229542	3.37922
10400	10.4	3.47754	3.35837	3.48148	8137.44	0.05399	512.927	15.7435	2683.18	50.626	889.919	34.7422	86.1027	1945.8	799.408	277.873	1.3624	619.854	1.0083	902.215	0.978765	35.359	64.0006	26.2161	467.664	4.07855	2.0681	8.38068	142.615	0.0388408	3.37122
