step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
5000	5	3.54838	59878.9	0	6696.24	6582.25	5030.75	0	209.738	0	9099.96	395.727	2344.28	0	0	0
5100	5.1	3.57863	60389.4	0	6761.06	6622.55	5017.1	0	156.152	0	9219.31	362.365	2344.76	0	0	0
5200	5.2	3.63421	61327.4	0	6619.65	6419.21	5003.66	0	217.655	0	9015.37	388.863	2326.25	0	0	0
5300	5.3	3.57554	60337.2	0	6779.5	6458.87	4945.36	0	231.621	0	9108.93	422.177	2314.81	0	0	0
5400	5.4	3.52906	59552.8	0	6653.13	6479.97	5063.49	0	198.176	0	9195.14	401.398	2334.21	0	0	0
5500	5.5	3.53266	59613.6	0	6728.57	6513.96	4692.93	0	222.221	0	9146.08	405.928	2346.18	0	0	0
5600	5.6	3.54333	59793.8	0	6707.98	6501.96	4838.75	0	191.457	0	9011.57	376.608	2330.28	0	0	0
5700	5.7	3.56515	60161.9	0	6749.04	6562.98	5001.89	0	207.132	0	9113.6	388.403	2272.48	0	0	0
5800	5.8	3.53858	59713.6	0	6742.83	6490.16	4815.38	0	188.653	0	9052.64	391.735	2263.98	0	0	0
5900	5.9	3.48735	58849	0	6736.07	6502.44	4740.45	0	203.795	0	9051.64	381.069	2357.41	0	0	0
6000	6	3.52778	59531.3	0	6451.86	6428.56	4697.93	0	189.639	0	8926.76	407.566	2354.95	0	0	0
6100	6.1	3.53547	59661	0	6473.23	6593.24	4731.19	0	208.597	0	8802.37	417.485	2307.01	0	0	0
6200	6.2	3.54944	59896.8	0	6843.23	6709.48	4863.48	0	215.781	0	8848.66	405.102	2342.85	0	0	0
6300	6.3	3.59436	60654.9	0	6563.47	6765.14	4781.32	0	187.282	0	8887.75	402.537	2339.84	0	0	0
6400	6.4	3.49249	58935.8	0	6723.95	6578.06	4949.27	0	224.877	0	9110.7	403.187	2359.95	0	0	0
6500	6.5	3.54458	59814.7	0	6664.93	6587.63	5124.96	0	190.789	0	8910.71	400.492	2348.97	0	0	0
6600	6.6	3.63594	61356.5	0	6751.81	6404.03	4813.29	0	204.509	0	8938.89	392.221	2337.91	0	0	0
6700	6.7	3.61356	60978.9	0	6782.1	6581.33	4976.69	0	178.117	0	9037.12	382.371	2296.85	0	0	0
6800	6.8	3.59592	60681.2	0	6826.86	6877.73	4797.06	0	218.796	0	8983.66	378.121	2331.4	0	0	0
6900	6.9	3.60215	60786.3	0	6735.75	6831.59	4945	0	197.259	0	8940.22	425.756	2358.64	0	0	0
7000	7	3.55837	60047.6	0	6947.21	6531.59	4955.2	0	193.765	0	8934.2	387.206	2333.88	0	0	0
7100	7.1	3.58263	60456.9	0	6825.08	6513.06	5186.38	0	218.333	0	9110.33	382.719	2381.82	0	0	0
7200	7.2	3.55221	59943.5	0	6573.71	6571.82	4948.48	0	212.442	0	9070.69	397.161	2290.78	0	0	0
7300	7.3	3.49376	58957.2	0	6687.94	6282.65	4966.18	0	213.988	0	9090.91	402.745	2302.58	0	0	0
7400	7.4	3.53518	59656.1	0	6567.76	6217.16	5066.36	0	276.312	0	9093.83	379.262	2356.58	0	0	0
