step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
5000	5	3.53385	59633.6	0	6869.6	6636.49	4776.77	0	235.242	0	8952.06	431.897	2334.15	0	0	0
5100	5.1	3.52544	59491.8	0	6628.46	6474.93	5018.97	0	223.699	0	8850.29	380.761	2322.92	0	0	0
5200	5.2	3.5328	59616	0	6677.76	6469.87	4875.32	0	222.056	0	8973.62	362.027	2368.63	0	0	0
5300	5.3	3.50526	59151.2	0	6792.91	6653.02	4979.57	0	176.263	0	8942.49	348.124	2338.57	0	0	0
5400	5.4	3.53391	59634.8	0	6779.05	6507.79	4743.44	0	221.422	0	8961.4	361.724	2349.1	0	0	0
5500	5.5	3.52427	59472	0	6637.46	6499.54	5099.71	0	213.294	0	9056.02	369.089	2294.36	0	0	0
5600	5.6	3.47392	58622.3	0	6707.76	6891.26	5010.52	0	219.961	0	9053.73	436.708	2330.37	0	0	0
5700	5.7	3.51628	59337.2	0	6552.66	6724.14	4908.63	0	199.994	0	9022.42	428.85	2296.4	0	0	0
5800	5.8	3.5569	60022.7	0	6511.41	6692.95	4759.66	0	200.404	0	9015.54	385.027	2317.44	0	0	0
5900	5.9	3.55022	59909.9	0	6733.97	6678.35	4798.55	0	216.432	0	9087.74	406.441	2359.18	0	0	0
6000	6	3.5422	59774.6	0	6829.51	6810.37	4869.54	0	170.633	0	8949.68	370.748	2284.45	0	0	0
6100	6.1	3.53639	59676.6	0	6815.23	6818.39	4859.02	0	219.73	0	9146.75	375.969	2347.79	0	0	0
6200	6.2	3.53581	59666.8	0	6554.29	6824.93	4732.2	0	230.6	0	9121.15	386.937	2338.03	0	0	0
6300	6.3	3.54038	59744	0	6677.21	6812.98	4860.63	0	244.139	0	9124.75	352.589	2313.91	0	0	0
6400	6.4	3.51936	59389.2	0	6775.57	6856.78	4674.94	0	197.807	0	9143.63	368.878	2353.47	0	0	0
6500	6.5	3.55198	59939.7	0	6663.84	6883.5	4890.13	0	262.614	0	9043.18	378.182	2374.17	0	0	0
6600	6.6	3.48382	58789.5	0	6800.02	6693.25	5093.89	0	185.967	0	8964.39	393.867	2339.56	0	0	0
