step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	7334.42	540.431	4847.4	0	227.47	0	9648.27	386.652	2196.81	0	0	0
100	0.1	2.25309	38021	0	5050.23	2767.54	3847.45	0	177.177	0	8278.45	320.248	2314.56	0	0	0
200	0.2	2.90341	48995.1	0	5937.6	4069.63	4472.13	0	183.039	0	8861.57	325.113	2338.23	0	0	0
300	0.3	3.28245	55391.3	0	6000.8	5277.59	4500.94	0	208.76	0	8704.44	342.306	2265.75	0	0	0
400	0.4	3.38492	57120.5	0	6558.39	5751.49	4802.72	0	224.171	0	9012.31	378.512	2354.41	0	0	0
500	0.5	3.49859	59038.7	0	6546.56	6152.43	4925.87	0	225.813	0	8910.21	369.659	2369.85	0	0	0
600	0.6	3.49825	59033	0	6675.25	6132.9	4906.55	0	267.821	0	9116.24	389.57	2334.07	0	0	0
700	0.7	3.54053	59746.5	0	6861.72	6155.2	5051.14	0	207.423	0	9126	402.794	2329.34	0	0	0
800	0.8	3.543	59788.1	0	6859.52	6487.21	4834.64	0	267.197	0	9173.99	406.54	2302.04	0	0	0
900	0.9	3.54857	59882.2	0	7064.04	6521.56	4987.2	0	206.533	0	9159.26	430.102	2331.37	0	0	0
1000	1	3.55303	59957.3	0	6880.82	6824.12	4950.76	0	212.217	0	9345.58	427.901	2366.69	0	0	0
1100	1.1	3.51173	59260.5	0	6784.3	6323.9	5073.91	0	204.823	0	9162.83	393.922	2260	0	0	0
1200	1.2	3.54787	59870.3	0	6789.92	6384.82	5110.62	0	232.093	0	9303.56	378.161	2284.8	0	0	0
1300	1.3	3.58569	60508.5	0	6770.39	6790.67	4909.21	0	257	0	9230.64	403.036	2319.74	0	0	0
1400	1.4	3.55718	60027.4	0	6617.38	6897.72	4972.24	0	208.752	0	9124.01	413.89	2331.57	0	0	0
1500	1.5	3.59505	60666.5	0	6876.27	6600.84	4811.01	0	251.296	0	9179.49	399.643	2330.84	0	0	0
1600	1.6	3.57894	60394.7	0	6707.09	6753.98	5004.82	0	226.948	0	9280.99	385.171	2348.67	0	0	0
1700	1.7	3.50508	59148.2	0	6809.34	6803.12	5009.99	0	220.969	0	9191.81	397.869	2325.54	0	0	0
1800	1.8	3.52847	59542.9	0	6770.66	6867.56	4881.54	0	188.929	0	9284.08	384.068	2343.03	0	0	0
1900	1.9	3.54026	59741.9	0	6811.47	6564.89	4768.37	0	190.546	0	9180.51	374.597	2292.04	0	0	0
2000	2	3.57061	60254	0	6831.96	6468.27	4749.17	0	180.39	0	9041.55	352.754	2366.93	0	0	0
2100	2.1	3.58738	60537	0	6368.14	6594.5	4853.48	0	201.329	0	9139.28	339.949	2312.29	0	0	0
2200	2.2	3.58727	60535.1	0	6546.82	6768.61	4763.14	0	161.024	0	9106	333.144	2377.28	0	0	0
2300	2.3	3.54008	59738.9	0	6471.78	7180.46	4715.82	0	228.085	0	9115.08	353.821	2330.45	0	0	0
2400	2.4	3.58415	60482.5	0	6501.22	6915.86	4813.27	0	281.571	0	9005.14	378.747	2357.4	0	0	0
2500	2.5	3.51972	59395.3	0	6658.63	6814.94	4576.97	0	217.429	0	9090.44	371.117	2360.38	0	0	0
2600	2.6	3.53846	59711.5	0	6811.21	6864.28	4683.24	0	231.276	0	9119.14	358.929	2289.88	0	0	0
2700	2.7	3.56175	60104.6	0	6646.92	6818.32	4950.7	0	206.99	0	9186.28	393.437	2327.21	0	0	0
2800	2.8	3.59904	60733.7	0	6592.27	6729.08	4938.64	0	193.97	0	9172.85	393.924	2356.19	0	0	0
2900	2.9	3.57181	60274.3	0	6715.44	6681.03	5016.66	0	206.396	0	9157.36	444.6	2358.61	0	0	0
3000	3	3.56831	60215.2	0	6614.07	6722.58	4775.21	0	205.088	0	9111.11	385.078	2371.01	0	0	0
3100	3.1	3.52943	59559.2	0	6651.54	6846.59	4695.67	0	265.84	0	8944.83	377.227	2342.67	0	0	0
3200	3.2	3.51637	59338.8	0	6781.53	6813.06	5002.61	0	179.058	0	9043.02	355.142	2359.41	0	0	0
3300	3.3	3.5465	59847.1	0	6723.16	6621.05	4766.18	0	229.744	0	9087.06	378.228	2345.75	0	0	0
3400	3.4	3.54389	59803.2	0	6720.84	6784.71	4681.85	0	250.004	0	9133.05	372.879	2378.71	0	0	0
3500	3.5	3.50244	59103.7	0	6835.69	6505.41	4912.72	0	246.283	0	9180.78	398.479	2332.82	0	0	0
3600	3.6	3.58428	60484.8	0	6795.83	6879.85	4870.85	0	239.419	0	9344.37	406.163	2322.79	0	0	0
3700	3.7	3.58386	60477.6	0	6688.31	6759.22	4701.99	0	221.825	0	9283.71	381.111	2294.9	0	0	0
3800	3.8	3.58407	60481.2	0	6752.97	6739.85	4884.51	0	200.507	0	9173.83	355.329	2347.41	0	0	0
3900	3.9	3.54191	59769.8	0	6883.28	6785.58	4777.78	0	193.335	0	9171.93	380.524	2298.63	0	0	0
4000	4	3.53209	59604	0	6847.25	6881.51	4905.95	0	209.553	0	9240.33	402.507	2308.77	0	0	0
4100	4.1	3.54942	59896.5	0	6552.28	6907.19	4877.6	0	208.038	0	9127.57	417.301	2317.42	0	0	0
4200	4.2	3.54723	59859.5	0	6625.37	6747.34	4855.11	0	197.33	0	9327.12	427.848	2355.32	0	0	0
4300	4.3	3.54622	59842.4	0	6502.55	6946.57	4836.17	0	174.874	0	9221.37	403.051	2389.36	0	0	0
4400	4.4	3.55742	60031.4	0	6648.2	6691.48	4952.13	0	217.164	0	9108.51	395.694	2369.26	0	0	0
4500	4.5	3.5485	59881	0	6819.13	6596.52	4988.43	0	218.806	0	9278.34	424.122	2285.55	0	0	0
4600	4.6	3.56736	60199.1	0	6937.48	6623.17	4800.04	0	204.436	0	9144.44	403.391	2354.42	0	0	0
4700	4.7	3.49589	58993.2	0	7016.97	6554.57	4831.7	0	232.97	0	9110.84	378.895	2288.02	0	0	0
4800	4.8	3.53856	59713.2	0	6899.16	6702.04	4810.78	0	207.53	0	9124.69	403.657	2332.52	0	0	0
