step	time	T	Ekin	lj	bond_123	angle_250	dihedral_190	lj-14_0	lj-14_1
72000	72	3.46778	39012.6	-37219.6	14347.1	16924.2	77696.6	369.254	17746.6
73000	73	3.52565	39663.6	-36965	13971.3	17565.3	76680.5	420.302	17925.2
74000	74	3.56845	40145	-37403.8	14282.7	17147.3	77403	481.242	17749.1
75000	75	3.45529	38872	-37106.9	14435.7	17890.2	77253	418.611	17715.7
76000	76	3.49321	39298.6	-37398.5	14269.2	17066.1	77162.2	451.133	18235.8
77000	77	3.48722	39231.2	-37289.5	14166	18017.5	77025.9	388.585	17793.8
78000	78	3.53067	39720.1	-37216.9	14202.9	17242.1	77223.2	486.513	17651.7
79000	79	3.5581	40028.7	-37197.1	14227.8	16923.8	77499.2	361.111	17805.5
80000	80	3.57013	40164	-37403.1	14094.7	18143.6	77226.4	344.562	17658.2
81000	81	3.51563	39550.9	-37153.9	13961.2	17381.6	77060.4	408.329	17512.1
82000	82	3.58853	40371	-37219.5	13840.7	17061.2	77838.3	371.979	17831.8
83000	83	3.56731	40132.2	-37378.5	14035.2	17191.7	76972.2	450.141	18009.8
84000	84	3.50094	39385.5	-37302.9	14115.1	17156.7	77139.4	375.119	17911.3
85000	85	3.46734	39007.6	-37411.3	14122.1	17173.8	77912.5	437.006	17595.3
86000	86	3.4754	39098.2	-36948.8	14431	17442.1	77367.8	380.937	17509.6
87000	87	3.51144	39503.7	-37116.3	14320.8	17687.7	76813	461.604	17914.3
88000	88	3.48575	39214.7	-37293.4	13896.1	17044.7	77330	434.423	17688.2
89000	89	3.57597	40229.6	-36928.8	13861.3	17544	77050.5	406.492	17517.7
90000	90	3.55168	39956.4	-37317.6	13910.7	17404.8	77674.3	392.218	17370.9
91000	91	3.50554	39437.3	-37149	14403.7	17489.2	76897	357.691	17956.1
92000	92	3.55108	39949.7	-37218.6	14188.1	17155.1	77455.4	411.448	17880
93000	93	3.5345	39763.2	-37337	14141.5	17139.9	77468.6	352.798	17461.9
94000	94	3.44671	38775.5	-37214.2	13914.9	17794.3	77609.5	389.588	17489.3
95000	95	3.48736	39232.8	-37172.9	14311.8	17857.4	77213.7	351.105	17654.7
96000	96	3.53858	39809	-37337.6	13905.4	17036.5	77603.9	405.272	17833.7
97000	97	3.50687	39452.3	-37120.2	14868.1	17354.9	76850.4	428.815	18260.1
98000	98	3.50791	39464	-37218.3	14294.1	18032.2	76396.9	470.91	17824.7
99000	99	3.48315	39185.4	-37233	14398.6	17779.1	76424.7	461.101	18215.9
100000	100	3.4498	38810.2	-37156.9	14419.5	17384.5	76876.6	489.687	17837.1
101000	101	3.50027	39378	-37308.9	14027.6	17762.6	77331.4	435.256	17462.8
102000	102	3.45706	38891.9	-37372.7	14192.8	17687	77032.4	418.175	17790
103000	103	3.58077	40283.7	-37380.9	13732.1	18035.6	76907.7	501.38	17621.5
104000	104	3.50092	39385.3	-37377	14004.9	17289.2	77509.3	438.373	17568.3
105000	105	3.46739	39008.2	-37607.8	13950.8	17415.6	77427	298.619	17481
106000	106	3.58822	40367.5	-37406.6	13915.1	17515.9	77387.8	428.621	17603.6
107000	107	3.41454	38413.6	-37245.5	14080.3	17518.5	77209.7	329.837	17801.3
108000	108	3.59065	40394.8	-37379.5	13690.5	17647.9	77041.9	432.632	17717.3
109000	109	3.52475	39653.4	-37454.5	14223.6	17070.1	77323	463.99	17820
