step	time	T	Ekin	res	lj	lj-tab	bond_125_cross	bond_124_cross	bond_124	angle_253_cross	angle_252_cross	angle_252	dihedral_190_cross	dihedral_190	dihedral_191_cross	lj-14_1	lj-14_0	lj-14_1_cross
5030	5.03	4.65689	65487.4	0.00145	3564.98	3200.82	5406.09	57.8845	18322.5	5302.34	1.70193	7583	0.140807	19712.5	1891.84	5444.92	442.268	70.5399
5031	5.031	4.6837	65864.5	0.0015	3568.12	3205.47	5525.76	61.9494	17730.1	5302.16	1.82134	7483.42	0.150636	19713.6	1892.02	5450.06	445.192	70.6597
5032	5.032	4.69872	66075.8	0.00155	3571.18	3208.37	5642.17	66.1526	17248.7	5302.46	1.94477	7420.77	0.160931	19714.2	1892.25	5454.62	448.476	67.6893
5033	5.033	4.70609	66179.4	0.0016	3576.5	3211.77	5755.76	70.4961	16971.3	5303.06	2.07233	7391.27	0.171546	19714.9	1892.35	5458.24	452.095	62.3495
5034	5.034	4.68181	65837.9	0.00165	3586.03	3215.89	5867.01	74.9773	16916.4	5303.73	2.20399	7382.79	0.182479	19715.8	1892.56	5462.4	456.145	57.0971
5035	5.035	4.6248	65036.2	0.0017	3598.99	3219.85	5975.52	79.5982	16985.6	5304.71	2.33976	7388.71	0.193752	19716.3	1892.74	5467.96	460.437	53.0326
5036	5.036	4.59888	64671.8	0.00175	3616.35	3223.96	6080.63	84.3564	17059.8	5305.71	2.47968	7405.23	0.205366	19716	1892.83	5473.95	464.337	50.3322
5037	5.037	4.5628	64164.4	0.0018	3635.23	3227.22	6182.35	89.2528	16994.1	5306.84	2.62364	7428.3	0.217324	19716.3	1893.07	5481.7	467.826	48.6535
5038	5.038	4.54492	63913	0.00185	3656.64	3230.92	6279.45	94.2873	16711	5308.04	2.77164	7453.62	0.229615	19716.5	1893.26	5489.74	471.458	47.757
5039	5.039	4.54771	63952.2	0.0019	3678.12	3234.1	6372.44	99.4615	16176.5	5309.4	2.92373	7481.54	0.242243	19717	1893.42	5499.45	474.541	47.5519
5040	5.04	4.57092	64278.5	0.00195	3700.72	3237.2	6462.07	104.777	15408.6	5310.74	3.07988	7497.02	0.25524	19717.6	1893.5	5510.53	477.554	47.7567
5041	5.041	4.60606	64772.7	0.002	3720.6	3239.78	6548.59	110.233	14510.1	5312.23	3.24012	7498.85	0.268586	19718.6	1893.44	5522.86	480.384	48.3096
5042	5.042	4.67488	65740.5	0.00205	3733.1	3242.46	6632.37	115.828	13605.2	5313.79	3.40448	7484.56	0.282327	19719.7	1893.68	5535.55	482.819	49.3723
