step	time	T	Ekin	res	lj	lj-tab	bond_125_cross	bond_124_cross	bond_124	angle_253_cross	angle_252_cross	angle_252	dihedral_190_cross	dihedral_190	dihedral_191_cross	lj-14_1	lj-14_0	lj-14_1_cross
0	0	0.87861	12355.5	0	2765.48	2765.48	3273.93	0	0	4907.75	0	nan	0	-nan	1683.13	-nan	8.45807e-293	0
1000	1	3.55773	50030.5	0	2844.82	2844.82	3420.95	0	10191.1	5025.2	0	7022.59	0	19994.6	1799.29	5454.81	405.311	0
2000	2	3.59229	50516.6	0	3188.26	3188.26	3290.13	0	10343.3	5183.45	0	7542.33	0	19512.3	1863.01	5401.1	490.571	0
3000	3	3.55814	50036.3	0	3064.98	3064.98	3534.67	0	9874.72	5201.13	0	7216	0	19484.9	1906.76	5555.99	492.79	0
4000	4	3.57814	50317.7	0	3219	3219	3362.47	0	9706.39	5276.48	0	7402.88	0	19718.7	1904.29	5526.46	454.966	0
5000	5	3.54005	49781.9	0	3074.05	3074.05	3360.13	0	10020.1	5267.06	0	7798.3	0	19534.3	1867.76	5411.71	485.439	0
5001	5.001	3.53455	49704.6	0	3074.48	3074.48	3360.02	0	10028	5269.59	0	7828.97	0	19532	1867.56	5416.44	484.269	0
5002	5.002	3.50743	49323.2	4e-05	6591.11	3073.46	3360.32	0.0440511	10062.4	5271.95	0.00128841	7852.47	0.000107245	19530.5	1867.6	5420.39	483.565	0.0864766
5003	5.003	6.68367	93989.1	8e-05	3770.57	3085.77	3361.26	0.17618	10406.5	5273.54	0.00515159	7859.39	0.000429187	19529.5	1867.62	5427.57	483.316	0.343195
5004	5.004	6.54571	92049.1	0.00012	3671.97	3085.82	3362.43	0.396361	11454.1	5275.19	0.0115857	7868.43	0.000965964	19528.1	1867.5	5442.54	483.384	0.752572
5005	5.005	6.35	89296.9	0.00016	3464.03	3086.35	3363.66	0.704606	13179.1	5276.75	0.0205886	7867.5	0.00171785	19526.9	1867.43	5471.56	482.875	1.30714
5006	5.006	6.08692	85597.3	0.0002	3376.55	3086.45	3365.1	1.10092	15344.2	5277.99	0.0321611	7873.62	0.00268402	19525.3	1867.31	5527.3	482.919	2.03544
5007	5.007	5.77668	81234.5	0.00024	3361.41	3088.09	3367.51	1.58531	17576.8	5279.51	0.0463	7888.38	0.00386309	19523.8	1867.18	5637.64	482.657	2.99279
5008	5.008	5.50712	77443.9	0.00028	3360.83	3089.99	3371.55	2.15782	19535.3	5280.99	0.0629986	7937.27	0.00525739	19522.7	1867.03	5848.27	482.694	4.18769
5009	5.009	5.24846	73806.5	0.00032	3357.15	3092.41	3377.98	2.81842	20886	5282.7	0.0822605	8019.05	0.00686682	19521.1	1866.68	6216.13	482.704	5.7974
5010	5.01	5.05465	71081	0.00036	3345.72	3095.11	3387.06	3.5672	21494.3	5284.61	0.104091	8094.48	0.00869009	19520.4	1866.63	6734.55	483.117	7.61265
