step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
64000	64	3.52911	39702.4	-36111.3	14267.1	17666.9	77425.9	443.349	17555.2	-20.8583
65000	65	3.53429	39760.7	-35754.3	13767.6	17310.5	77404.6	484.188	17629	9.54821
66000	66	3.55222	39962.5	-35762.5	14166.4	17430.5	77831.7	419.438	17325.2	32.556
67000	67	3.52426	39647.9	-35717.8	14039.2	16997	77596.4	407.765	17951.6	3.77407
68000	68	3.5235	39639.4	-35853.8	14263.5	17657.7	77221.7	409.536	17485	-10.0908
69000	69	3.51909	39589.8	-36009.1	14091.9	17231.3	77583.8	392.379	17690.6	-23.9829
70000	70	3.52676	39676.1	-35969.9	13751.2	17531.5	77300.6	463.986	17395.5	-11.9859
71000	71	3.50526	39434.2	-36148.3	14140.1	17395.9	77228.7	392.671	17531.5	-26.2566
72000	72	3.48682	39226.7	-35771.1	14268.7	17338.9	77213	422.973	17981.5	1.77492
73000	73	3.48398	39194.8	-35847	13715.9	17528.5	77473.1	453.387	17609	-0.702558
74000	74	3.47789	39126.3	-36101.3	14347.8	17536.9	77715.2	487.56	17220.3	-27.4635
75000	75	3.46246	38952.6	-35706.3	13839.2	17560.5	77683.4	424.945	17264	23.2778
76000	76	3.52563	39663.4	-35997.4	13630.8	17118.5	78033.5	437.91	17275.5	29.7889
77000	77	3.44772	38786.9	-36009.3	14180.3	17456.6	77719.4	344.968	17208.2	-5.78564
78000	78	3.55803	40027.8	-35526.1	14157	17132.3	77374.4	474.458	17470.7	-2.40128
79000	79	3.51997	39599.6	-35810	14401.5	17098.9	77528.4	423.991	17688.7	-41.5039
80000	80	3.52038	39604.2	-35798.5	14345.1	16654.3	76962.6	396.88	17825.7	-18.4683
81000	81	3.47162	39055.7	-35846.5	14183.1	17235.4	77211.2	399.6	17889.6	-13.4372
82000	82	3.53005	39713	-35805.6	14471.9	16985.1	78255.8	480.45	17432.7	11.2132
83000	83	3.50002	39375.3	-35967.7	13888.6	17284.7	77398	407.012	17674.8	12.6056
84000	84	3.5168	39564	-35979.1	13928.2	17634.8	77538.5	401.748	17679	-3.46431
85000	85	3.52962	39708.2	-35744.7	14265.5	17179.7	77588.6	458.608	17649.4	5.02275
86000	86	3.50491	39430.2	-36028.7	13799.4	17263.3	77462.9	307.365	17721.5	37.5292
87000	87	3.51432	39536.1	-35728.6	14233.6	17572.1	77356	442.407	17510.6	-23.0418
88000	88	3.49736	39345.2	-36006.6	14307.8	17479.8	77722.9	478.012	17092	-42.4434
89000	89	3.49821	39354.8	-35932.3	14147	17576.4	78077.6	382.205	17605.4	16.7404
90000	90	3.52703	39679	-36176.9	13931.5	17237.2	78279	481.463	17517.6	-6.10084
91000	91	3.5363	39783.4	-35804.5	13896.1	17774.7	77285.8	402.862	17474.9	33.9999
92000	92	3.51098	39498.5	-36182.5	14168.5	16870.1	77771.6	403.756	17491.6	-3.57138
93000	93	3.53	39712.5	-36108.8	13950.4	17655.8	77803.9	436.628	17359.6	8.17502
94000	94	3.53421	39759.9	-35959.3	14178.3	17079.2	77714.7	488.081	17550.6	5.57169
95000	95	3.50253	39403.5	-35752.4	14313.4	17560.1	77091.8	418.309	17730.1	16.33
96000	96	3.54243	39852.3	-35683.4	13801.2	17264.4	77595.7	378.394	17428.6	-19.9454
97000	97	3.50355	39414.9	-35953.3	14335.8	17697.1	77155.1	373.668	17844.9	1.21236
98000	98	3.51954	39594.8	-35963.7	13953.2	17766.5	77570.3	453.1	17531.1	-11.8316
99000	99	3.48145	39166.3	-35993.6	13932	17428.3	77647.8	427.36	17504	-9.45946
100000	100	3.49619	39332.2	-35908.6	14095.2	17803.4	77102.6	366.014	17892.6	41.2261
101000	101	3.54321	39861.1	-36061.4	13931.6	17129.2	78099.1	419.829	17384.3	-13.0878
102000	102	3.55795	40027	-35852	14358.5	17314.4	77891.2	415.156	17232.6	-44.1397
103000	103	3.50242	39402.3	-35871	14364.2	17313.2	77768.1	382.515	17191.4	-45.4168
104000	104	3.522	39622.6	-35919.4	14209	17319	77869.5	358.227	17263.8	-21.1045
105000	105	3.54293	39858	-36067.7	14360.9	17305.6	77907.3	370.964	17156.9	-34.1703
106000	106	3.52337	39637.9	-36082.5	14226.2	17422.7	77995.9	460.501	17464.5	10.8214
107000	107	3.54378	39867.5	-35896.7	14423.2	17325.5	77511.4	457.571	17322.9	2.93639
108000	108	3.52704	39679.2	-35845.6	14050.3	17023	77783.3	451.768	17573.6	14.0109
109000	109	3.52107	39612	-35907.4	13678.8	17636.8	77188.4	469.313	17716	37.164
110000	110	3.50253	39403.5	-35948	14316.2	17224.6	78559.3	390.134	16966.8	-18.0413
111000	111	3.60256	40528.8	-35910.6	14000.6	17724	77721.4	368.342	17482.2	8.45377
112000	112	3.57188	40183.7	-35983.3	14362.9	17837.7	77565.4	390.709	17305.4	-50.997
113000	113	3.56395	40094.5	-35935.4	14319.6	17555.7	77344.3	457.145	17626.3	41.9976
114000	114	3.54303	39859.1	-35766.9	14093	17614.4	76810.5	456.788	17617.9	-0.493245
115000	115	3.49965	39371.1	-35736.6	14213.6	17153.6	77463.9	427.021	17801.5	6.17536
116000	116	3.51234	39513.9	-35950.3	14045.1	16802.6	77613.7	331.985	17668.4	-2.55364
117000	117	3.56982	40160.5	-35898.8	14192.8	17446.8	77718.6	424.38	17437	32.2177
118000	118	3.50349	39414.3	-35852.5	14308.4	17505.5	76956.9	428.933	17768.9	7.18768
119000	119	3.52291	39632.8	-35943.6	13952.4	17084.6	77551	431.723	17634.6	-24.3746
120000	120	3.49158	39280.3	-35809.9	14278.5	17335.1	77444.5	390.486	17677.3	-3.61459
121000	121	3.56926	40154.1	-35625.1	14225.4	17207.9	77632.8	399.002	17769.5	2.54391
122000	122	3.52715	39680.5	-35866	13936.8	17620.1	77716.6	440.318	17399.3	-3.93749
123000	123	3.5723	40188.4	-36097.8	14468	17045.8	77342.7	426.916	18052.6	2.37433
124000	124	3.50858	39471.5	-35890.4	13804.3	17634.5	77290.9	417.581	17610.5	-3.32417
125000	125	3.49854	39358.6	-35975.6	14478.8	17563.4	78079.6	362.544	17350.9	-0.311058
126000	126	3.51114	39500.3	-35774.3	14013.5	17588	77633.4	280.234	17540.9	1.22238
127000	127	3.50699	39453.7	-35541.9	14019.9	17134.9	78026.5	415.152	17258.7	-19.6654
128000	128	3.50579	39440.1	-36013.5	13981.6	17707.8	77570.8	406.921	17418	-9.77609
129000	129	3.53142	39728.5	-36226.5	14303.3	17161	77994.6	388.088	17381.5	-10.1582
130000	130	3.54696	39903.4	-35862.5	14425.3	17234.1	77573.1	403.803	17849.6	-16.8595
131000	131	3.57287	40194.8	-35921.9	14209.2	17393.9	77083.1	459.11	17938.2	25.2874
132000	132	3.55044	39942.5	-35810.4	14553.1	17666.3	77852.8	407.399	17484.5	16.8618
133000	133	3.50757	39460.1	-35885.6	13837.6	17844.1	77246.1	374.228	17902.4	33.8762
134000	134	3.59004	40387.9	-35896.5	13795.2	17551.3	77126.8	378.863	18119.1	30.4091
135000	135	3.51898	39588.5	-35845.7	14307	17644.4	77292.2	382.292	17804.9	-28.7571
136000	136	3.48513	39207.7	-36111.7	14058.3	17261.8	77491.3	383.791	17706.5	-22.3602
137000	137	3.52886	39699.6	-36017.5	14661.3	17745.3	77357	464.727	17356.6	-23.5565
138000	138	3.48356	39190.1	-36026.3	14562.3	17438.7	77430.9	408.585	17717.3	-19.7355
139000	139	3.52947	39706.5	-35937.7	14301	18071.2	76939.3	401.742	17806.8	-3.34498
140000	140	3.51515	39545.4	-35890	14512.4	17269.6	77090.2	341.395	18099.9	23.8463
141000	141	3.4884	39244.6	-36118.9	14261	16804.4	77668.6	429.938	17899.8	-17.9288
142000	142	3.58763	40360.8	-35724.4	14841.8	17535.5	77152.1	404.766	17570.9	-19.4394
143000	143	3.52849	39695.6	-35716	14308.6	17553	77176.3	423.501	17392.9	-44.9228
144000	144	3.52331	39637.3	-35962.7	14299.1	17234.4	77262.8	346.351	17765.8	-3.3011
145000	145	3.52156	39617.6	-35615	13833	17485.8	77852.9	417.15	17765.7	31.7316
146000	146	3.50799	39464.9	-35864.4	14412.8	17743.7	77487.7	380.221	17303.3	-16.354
147000	147	3.58126	40289.2	-35867.5	13821.1	17291.3	77412.3	413.551	17611.3	12.159
148000	148	3.54631	39896	-35912.6	14171.5	18017.9	77474.2	427.511	17569.8	45.7648
149000	149	3.4917	39281.6	-35880.1	14107.9	17027	77321.6	409.441	17797.1	-8.58757
150000	150	3.54938	39930.6	-36028.5	14087.8	17402.7	77671.8	375.282	17286.5	24.1579
151000	151	3.46873	39023.2	-35846.4	13724	17425.4	76776.7	428.932	17899.9	-6.00622
152000	152	3.53054	39718.6	-35984.9	13934.1	17515.1	77159.8	441.677	17858.1	15.2571
153000	153	3.55758	40022.8	-35817.1	14287.8	17637.6	77138.9	402.601	17666.4	-17.5907
154000	154	3.49731	39344.8	-35661.7	14211.1	17622.6	77443.8	334.924	17684.2	-5.65274
155000	155	3.53548	39774.1	-35863.5	14099.3	17784.1	77309.9	413.157	17451.5	-22.3433
156000	156	3.50434	39423.8	-35628.8	14684.3	17745.5	76995.4	441.134	17384.8	-25.6258
157000	157	3.45361	38853.2	-35901.3	13910.6	17707.4	77121.4	377.234	17842.5	-7.11324
