step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
64000	64	3.54834	39918.8	-35788.1	14266.9	17660.3	77485.3	441.736	17679.1	15.7639
65000	65	3.53221	39737.4	-36085.1	14167.8	17268.5	77864.3	428.79	17558.1	24.8014
66000	66	3.5148	39541.5	-35893.6	14344.8	16966	77578.4	390.342	17672.9	-17.5902
67000	67	3.52997	39712.1	-35803.9	14189.2	17515.8	77517	402.106	17807.1	24.0523
68000	68	3.50719	39455.9	-36137.4	13905.1	16979.8	78172.3	394.106	17471.1	9.88403
69000	69	3.51851	39583.3	-35569.9	14263.4	17283.6	77746.5	329.848	17462.5	-0.483035
70000	70	3.51391	39531.5	-35803	14054	17629.3	77984.3	410.142	17588.9	22.8213
71000	71	3.49883	39361.9	-35979.1	14153.4	17855	77666.7	367.746	17604.3	-24.1279
72000	72	3.48682	39226.7	-35969.6	14413	17059.5	77025.7	439.913	17986.8	3.55878
73000	73	3.51173	39507	-35819.4	13997.4	17386.4	77952.1	384.498	17385.1	-1.72648
74000	74	3.51577	39552.4	-36212.6	13907.7	17151.1	77544.7	444.388	17760.2	-1.51924
75000	75	3.49797	39352.2	-36007	13828.8	17242.8	77480.9	448.977	17703.7	26.5631
76000	76	3.53614	39781.6	-35828.7	13848.9	17295	77594.5	383.18	17861.4	14.7375
77000	77	3.53731	39794.7	-35982.2	14218.7	17601.2	77592.9	351.884	17527	23.5238
78000	78	3.53479	39766.4	-35808.5	13927.8	17127.2	78317.2	437.658	17636	19.7746
79000	79	3.47084	39046.9	-35854.6	13899.4	17117.7	77503.8	352.145	17751.7	10.9965
80000	80	3.5019	39396.3	-35862.2	14038.3	17095.3	77806	417.481	17516.2	1.10201
81000	81	3.53144	39728.7	-35956.9	14519.6	17144.9	77898.9	467.868	17381.9	-15.2698
82000	82	3.51972	39596.9	-35859.2	14030.7	17280.2	78383	465.788	17238.9	-15.4549
83000	83	3.50517	39433.2	-35872.6	14170.7	17249.2	78057.5	389.903	17293.5	-11.3317
84000	84	3.47367	39078.8	-35917.9	14016.7	17792.8	77354.7	380.861	17268.9	-40.2437
85000	85	3.51794	39576.8	-35875.4	13848.1	17310.2	77286.3	401.277	17616.5	2.58937
86000	86	3.54853	39921	-35802.9	14216.5	17251.7	77548.6	452.027	17867.9	0.803509
87000	87	3.44576	38764.8	-36082.5	14175	17693.7	77980.1	468.44	17120.5	-17.0768
88000	88	3.54139	39840.6	-36046.3	14105.2	16912.8	77836.3	422.472	17555.3	-10.9784
89000	89	3.55926	40041.7	-35984.5	14033.5	17712.8	77863.2	345.525	17269.9	-25.9864
90000	90	3.51689	39565	-35813.6	14234	17835.4	77563.7	459.015	17255.6	4.53765
91000	91	3.48377	39192.4	-35825	14158.7	16908.6	78002.9	434.506	17446	-15.8736
92000	92	3.51722	39568.8	-35963.9	13823	17461.1	78185.2	385.188	17335.5	-12.476
93000	93	3.52443	39649.8	-35981.8	14202.6	17170.5	78077.1	382.859	17134.7	-41.1533
94000	94	3.52225	39625.3	-35980.4	14339.1	17284.1	77740.5	413.165	17549.1	-31.3058
95000	95	3.53262	39741.9	-35923.2	14140.5	17144.8	77978.9	390.197	17434.1	21.9716
96000	96	3.51943	39593.6	-35893.1	14118.6	17474.5	77886.6	454.563	17456.2	30.7914
97000	97	3.44714	38780.4	-35750.1	14437.8	17357.8	78008	407.691	17206.6	-15.8151
98000	98	3.53788	39801.2	-35901.4	14391.7	17636.3	77228.9	412.934	17621.9	1.33462
99000	99	3.53055	39718.7	-35686.9	13610.2	17021.7	77327.5	439.28	17735.8	9.1107
