step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
5200	5.2	2.50609	33832.3	0	-22978.9	3747.6	2544.33	0	0	1361.5	4505.18	1393.91	0	0	0
5300	5.3	2.50944	33877.4	0	-23307.7	3854.68	2470.71	0	0	1373.04	4621.45	1375.03	0	0	0
5400	5.4	2.48705	33575.2	0	-23163.6	3876.75	2507.91	0	0	1400.79	4733.24	1399.87	0	0	0
5500	5.5	2.50335	33795.2	0	-23055.3	3864.16	2451.9	0	0	1395.98	4711.41	1380.72	0	0	0
5600	5.6	2.49975	33746.7	0	-23277.4	3810.97	2700.4	0	0	1369.18	4661.94	1423.55	0	0	0
5700	5.7	2.49281	33652.9	0	-23273.1	3823.99	2690.01	0	0	1341.35	4619.11	1392.38	0	0	0
5800	5.8	2.4951	33683.8	0	-23249.8	3828.06	2646.95	0	0	1392.12	4661.92	1420.54	0	0	0
5900	5.9	2.4994	33741.9	0	-23353.9	3883.81	2709.49	0	0	1367.82	4768.72	1412.49	0	0	0
6000	6	2.50617	33833.2	0	-23354.5	3635.75	2599.09	0	0	1378.72	4640.97	1385.86	0	0	0
6100	6.1	2.47975	33476.6	0	-23196.7	3606.38	2693.58	0	0	1383.56	4677.08	1360.01	0	0	0
6200	6.2	2.50811	33859.5	0	-23184.6	3715.39	2515.07	0	0	1387.25	4593.03	1407.59	0	0	0
6300	6.3	2.48537	33552.5	0	-22997.6	3676.46	2596.24	0	0	1387.84	4527.99	1376.08	0	0	0
6400	6.4	2.48227	33510.6	0	-23150.2	3739.17	2588.47	0	0	1403.29	4621.62	1388.1	0	0	0
6500	6.5	2.52751	34121.4	0	-22992.5	3882.45	2655.49	0	0	1395.37	4582.26	1375.07	0	0	0
6600	6.6	2.53439	34214.2	0	-23347.6	3722.36	2642.8	0	0	1367.28	4680.4	1404.56	0	0	0
6700	6.7	2.5214	34038.9	0	-23082.7	3836.3	2638.25	0	0	1332.31	4799	1411.56	0	0	0
6800	6.8	2.49251	33648.9	0	-23330.4	3784.16	2683.03	0	0	1393.83	4627.53	1377.16	0	0	0
6900	6.9	2.5065	33837.7	0	-23360.6	3865.41	2762.44	0	0	1357.48	4629.35	1362.13	0	0	0
7000	7	2.51168	33907.7	0	-23491.4	3822.56	2705.57	0	0	1325.97	4671.48	1413.45	0	0	0
7100	7.1	2.49157	33636.2	0	-23243.5	3762.13	2643.57	0	0	1351.22	4702.57	1410.01	0	0	0
7200	7.2	2.57468	34758.2	0	-23442.5	3719.84	2584.44	0	0	1352.56	4794.62	1397.49	0	0	0
7300	7.3	2.51726	33983	0	-23366.3	3637.57	2629.36	0	0	1344.47	4708.38	1407.14	0	0	0
7400	7.4	2.57032	34699.3	0	-23489.2	3543.03	2516.79	0	0	1341.61	4566.32	1418.96	0	0	0
7500	7.5	2.51855	34000.4	0	-23503.6	3622.29	2653.8	0	0	1333.61	4795.53	1407.13	0	0	0
7600	7.6	2.53532	34226.8	0	-23411.8	3712.29	2553.98	0	0	1372.37	4677.46	1398.95	0	0	0
7700	7.7	2.52944	34147.5	0	-23380.4	3669.97	2753.68	0	0	1346.34	4679.93	1406.38	0	0	0
7800	7.8	2.51009	33886.3	0	-23488.6	3856.27	2666.75	0	0	1374.1	4638.3	1405.09	0	0	0
7900	7.9	2.50493	33816.6	0	-23534.1	3892.52	2668.82	0	0	1340.26	4618.8	1399.35	0	0	0
8000	8	2.51945	34012.6	0	-23449.3	3860.32	2634.41	0	0	1342.12	4654.27	1394.09	0	0	0
8100	8.1	2.52675	34111.1	0	-23452.4	3880.72	2646.46	0	0	1340.39	4608.17	1356.24	0	0	0
8200	8.2	2.53179	34179.2	0	-23329.5	3731.99	2759.11	0	0	1350.52	4732.65	1400.61	0	0	0
8300	8.3	2.51762	33987.9	0	-23221.9	3682.58	2634.55	0	0	1335.72	4709.7	1385.09	0	0	0
8400	8.4	2.47793	33452	0	-23372.5	3755.25	2665.72	0	0	1348.61	4536.41	1401.39	0	0	0
8500	8.5	2.49335	33660.2	0	-23395.4	3794.96	2744.82	0	0	1352.4	4542.87	1389.89	0	0	0
8600	8.6	2.50741	33850	0	-23352.5	3646.36	2719.38	0	0	1338.95	4612.1	1387.46	0	0	0
