step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
65000	65	3.48797	39239.6	-35904.5	14073.4	17402.4	77539.9	459.852	17793.4	10.0428
66000	66	3.55236	39964	-36007.6	13886.1	17116.7	77640.7	381.533	17747.8	-3.19858
67000	67	3.52163	39618.4	-35913	14572.1	17156.2	77900.5	441.877	17411.1	-4.85631
68000	68	3.5042	39422.2	-36005.8	13910.1	17638.9	77728.8	434.744	17556.1	10.3526
69000	69	3.52963	39708.4	-35975.4	14202.5	17146.9	77827.1	490.524	17658.6	18.8875
70000	70	3.53465	39764.9	-35871.2	14256.8	17213.6	77340.3	390.546	17706.7	-9.6834
71000	71	3.55027	39940.5	-35896.7	14128.2	17753.4	77056.8	429.891	17472.6	-10.7527
72000	72	3.47316	39073	-35871.4	13961.7	17044.6	77916.4	378.164	17552.7	9.57241
73000	73	3.48633	39221.2	-35813	14248.5	17766.3	77127.9	440.284	17808.1	-0.462326
74000	74	3.53609	39781	-35995.9	14136.2	17995.2	76737.3	512.951	17841.3	10.7857
75000	75	3.55945	40043.8	-35764.7	14561.6	17389.3	77126.7	367.384	17807.8	-32.6824
76000	76	3.53895	39813.2	-35965.3	13860	17156.2	77355.2	366.806	17869.8	-12.8231
77000	77	3.49266	39292.4	-35969.9	14490.4	17268.3	78062	475.55	17290.4	-2.02244
78000	78	3.54101	39836.4	-36041.3	14398.8	16609.7	77915.3	433.32	17621.5	1.7603
79000	79	3.56719	40130.9	-35816.4	14443.1	17134.2	77731.9	416.873	17659	36.7085
80000	80	3.46626	38995.4	-35957.1	14644.9	17461	76986.8	403.333	18068.5	-1.93626
81000	81	3.54425	39872.8	-35758.3	14538	17943.8	76843.2	453.969	17516.9	-15.3529
82000	82	3.51093	39497.9	-36023.2	14132.4	17180.5	77022.5	459.204	18245.4	-10.1309
83000	83	3.53726	39794.1	-35961.1	14325.3	17392.5	77186.4	431.698	17590.8	6.81093
84000	84	3.49887	39362.2	-36038.3	14345.3	17175.6	77629.3	491.543	17430.4	-33.3805
85000	85	3.51051	39493.3	-35833.4	14050.9	17502.8	77140.6	407.194	17821.9	-14.9007
86000	86	3.53212	39736.4	-35683.3	14217.1	17563.2	77502.3	465.802	17476.4	-24.6758
87000	87	3.53597	39779.6	-35837.2	14213.4	17201.7	77635.4	468.98	17377.2	-1.16561
88000	88	3.51129	39502	-35834.7	14068.4	17342.8	77230.5	468.762	17787.4	31.6059
89000	89	3.51537	39547.9	-35449.6	14368.4	17367.3	76850	431.46	18384	-3.61332
90000	90	3.52815	39691.7	-35918.4	14286.8	17815.3	77406.7	457.546	17511.7	4.26103
91000	91	3.54333	39862.4	-35676.4	14123.2	17750.9	77315	400.893	17750.9	44.2433
92000	92	3.56749	40134.3	-35924.3	14098.2	17611.3	77432.1	431.243	17403.4	5.36682
93000	93	3.49651	39335.8	-35976.8	14301.3	17191.9	77904.5	364.565	17627.1	-14.1745
94000	94	3.45149	38829.3	-35633.4	13796.8	17301.6	77551.7	337.885	17730	17.789
95000	95	3.42232	38501.1	-35809.8	13719.6	17489.3	77579.1	368.023	17551	22.2718
96000	96	3.5124	39514.5	-35823.5	13937.9	17934.2	76680.8	439.768	18021.3	10.9706
97000	97	3.4781	39128.6	-35895.9	13979	17321.2	77052.9	404.678	17917.9	-5.06113
98000	98	3.51664	39562.2	-35735.1	13995.8	17944.6	77102.3	346.309	17542	-6.32055
99000	99	3.52347	39639	-35914.7	14098.6	17460.2	77510.3	349.219	17484.8	-3.4178
100000	100	3.55677	40013.6	-35796.6	14299.9	17954.8	76618.2	381.608	17540.5	-18.4956
101000	101	3.51794	39576.8	-36020.7	14315.5	17180.7	77868.2	368.061	17643	0.909649
102000	102	3.51037	39491.6	-35792.4	14102.5	17954.3	76867.8	398.821	17920.2	11.1931
103000	103	3.5015	39391.8	-35855.9	14069.5	17801.4	77273.3	399.197	17633.8	-3.5121
104000	104	3.54281	39856.6	-36134.2	14067.2	17901.5	77488	357.225	17646	0.938972
