step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
5300	5.3	2.50539	33822.8	0	-835.361	3719.25	4454.92	0	0	5027.98	5100.19	1459.33	0	0	0
5400	5.4	2.48411	33535.4	0	-795.398	3743.92	4585.58	0	0	5076.2	5087.55	1450.14	0	0	0
5500	5.5	2.47312	33387.2	0	-721.056	3806.08	4670.08	0	0	5024.8	5132.01	1456.66	0	0	0
5600	5.6	2.512	33912	0	-759.523	3732.23	4461.51	0	0	5035.81	5236.24	1471.96	0	0	0
5700	5.7	2.52257	34054.7	0	-690.059	3749.94	4419.04	0	0	4962.77	5053.18	1472.38	0	0	0
5800	5.8	2.4893	33605.5	0	-673.544	3652.42	4507.5	0	0	4931.33	5172.38	1489.83	0	0	0
5900	5.9	2.47776	33449.8	0	-729.346	3669.02	4574.26	0	0	5029.75	5049.45	1459.01	0	0	0
6000	6	2.50992	33884	0	-787.053	3742.24	4479.47	0	0	5109.02	5087.18	1487.81	0	0	0
6100	6.1	2.47368	33394.7	0	-724.981	3630.97	4582.2	0	0	5073.77	5047.29	1467.82	0	0	0
6200	6.2	2.49649	33702.6	0	-674.664	3723.16	4409.75	0	0	5050.72	4994.36	1441.2	0	0	0
6300	6.3	2.48821	33590.9	0	-743.283	3724.13	4654.34	0	0	5003.69	4938.58	1419.85	0	0	0
6400	6.4	2.46633	33295.5	0	-622.163	3661.03	4545.81	0	0	4946.7	5051.55	1443.4	0	0	0
6500	6.5	2.49453	33676.1	0	-792.557	3606.92	4595.83	0	0	5016.9	4952.25	1480.22	0	0	0
6600	6.6	2.50777	33854.9	0	-673.988	3515.57	4553.49	0	0	5018.08	4885.77	1455.59	0	0	0
6700	6.7	2.44535	33012.2	0	-642.417	3364.23	4529.93	0	0	4873.97	4936.92	1426.76	0	0	0
6800	6.8	2.43545	32878.6	0	-736.401	3581.96	4497.67	0	0	4906.15	5053.73	1453.78	0	0	0
6900	6.9	2.49625	33699.4	0	-822.467	3607.81	4441.14	0	0	4933.46	4972.27	1447.27	0	0	0
7000	7	2.47183	33369.7	0	-665.426	3628.51	4552.9	0	0	4887.15	5004.92	1446.69	0	0	0
7100	7.1	2.48099	33493.4	0	-747.407	3584.13	4534.08	0	0	4933.91	4949.95	1456.32	0	0	0
7200	7.2	2.48885	33599.5	0	-528.77	3667.4	4511.26	0	0	4938.3	5096.57	1467.61	0	0	0
7300	7.3	2.46769	33313.8	0	-570.117	3789.1	4462.42	0	0	4964.34	5120.27	1476.59	0	0	0
7400	7.4	2.51383	33936.7	0	-737.033	3723.54	4506.54	0	0	5003.75	4972.24	1461.45	0	0	0
7500	7.5	2.51262	33920.3	0	-614.207	3617.61	4408.25	0	0	5023.25	4971.21	1432.86	0	0	0
7600	7.6	2.50074	33760	0	-734.134	3777.01	4559.95	0	0	4967.41	4995.47	1440.86	0	0	0
7700	7.7	2.53153	34175.6	0	-856.056	3895.85	4537.39	0	0	4971.25	4995.91	1464.68	0	0	0
7800	7.8	2.5106	33893.1	0	-653.386	3744.29	4598.5	0	0	5031.88	5060.62	1502.13	0	0	0
7900	7.9	2.52401	34074.1	0	-780.056	3721.36	4643.9	0	0	5124.29	4948.78	1487.63	0	0	0
8000	8	2.54926	34415.1	0	-830.449	3782.83	4448.42	0	0	5132.43	4965.58	1468.63	0	0	0
8100	8.1	2.52092	34032.5	0	-767.017	3762.19	4522.57	0	0	5041.06	4937.77	1467.57	0	0	0
8200	8.2	2.48615	33563	0	-708.541	3813.55	4536.18	0	0	5034.34	4965.89	1453.61	0	0	0
8300	8.3	2.46943	33337.4	0	-695.97	3743.79	4527.25	0	0	5009.06	5014.68	1452.84	0	0	0
8400	8.4	2.47493	33411.5	0	-713.956	3816.09	4474.7	0	0	4976.01	5005.08	1461.34	0	0	0
8500	8.5	2.47911	33467.9	0	-750.8	3671.17	4566.42	0	0	5015.71	5000.19	1457.64	0	0	0
8600	8.6	2.49431	33673.2	0	-734.222	3546.3	4585.07	0	0	5057.74	5000.3	1460.56	0	0	0
8700	8.7	2.51017	33887.3	0	-703.529	3533.57	4572.29	0	0	5039.49	4948.28	1460.92	0	0	0
8800	8.8	2.4925	33648.8	0	-733.547	3610.26	4609.1	0	0	5057.66	4980.99	1462.29	0	0	0
8900	8.9	2.48356	33528.1	0	-645.303	3717.23	4608.18	0	0	5126.1	5033.27	1482.41	0	0	0
9000	9	2.50857	33865.7	0	-608.266	3835.8	4562.74	0	0	5080.94	5049.47	1471.62	0	0	0
9100	9.1	2.50422	33806.9	0	-744.958	3855.63	4554.55	0	0	5125.48	4969.71	1488.67	0	0	0
9200	9.2	2.47266	33380.9	0	-735.833	3854.04	4418.02	0	0	5157.66	4950.32	1466.33	0	0	0
9300	9.3	2.49564	33691.1	0	-736.134	3779.26	4415.71	0	0	5169.36	4847.14	1462.64	0	0	0
9400	9.4	2.4889	33600.2	0	-673.279	3718.52	4428.27	0	0	5097.82	4915.87	1493.11	0	0	0
9500	9.5	2.49063	33623.5	0	-816.624	3649.87	4670.75	0	0	5078.94	4945.45	1456.36	0	0	0
9600	9.6	2.44791	33046.7	0	-652.793	3676.63	4488.97	0	0	5140.29	4984.02	1501.12	0	0	0
9700	9.7	2.49538	33687.7	0	-808.204	3694.27	4523.51	0	0	5097.37	5012.62	1465.48	0	0	0
9800	9.8	2.47774	33449.5	0	-920.664	3859.27	4401.98	0	0	5210.45	4986.61	1481.23	0	0	0
9900	9.9	2.51352	33932.5	0	-839.701	3829.49	4520.81	0	0	5167.32	4944.35	1476.46	0	0	0
10000	10	2.5043	33808	0	-684.973	3893.84	4372.88	0	0	5189.16	4977.67	1462.34	0	0	0
10100	10.1	2.52808	34129	0	-664.318	3813.91	4638.03	0	0	5102.71	4991.16	1461.26	0	0	0
10200	10.2	2.52883	34139.2	0	-732.539	3690.01	4493.91	0	0	5134.41	5094.52	1480.11	0	0	0
10300	10.3	2.48928	33605.3	0	-731.857	3635.35	4640.02	0	0	5248.6	4952.27	1474.1	0	0	0
10400	10.4	2.46316	33252.6	0	-607.762	3734.06	4659.13	0	0	5146.31	5062.07	1493.89	0	0	0
10500	10.5	2.55041	34430.5	0	-841.386	3814.84	4444.93	0	0	5106.68	5073.5	1482.48	0	0	0
10600	10.6	2.52116	34035.7	0	-771.653	3880.72	4373.94	0	0	5151.99	5033.66	1470.58	0	0	0
10700	10.7	2.49821	33725.9	0	-797.672	3809.67	4489.77	0	0	5148.11	4963.29	1463.48	0	0	0
10800	10.8	2.49133	33633	0	-601.903	3897.62	4448.24	0	0	5156.55	5063.34	1455.67	0	0	0
10900	10.9	2.50144	33769.4	0	-614.629	3827.59	4519.42	0	0	5078.27	4986.95	1431.08	0	0	0
11000	11	2.48925	33604.9	0	-650.967	3822.74	4642.99	0	0	5086.63	5021.81	1459.44	0	0	0
11100	11.1	2.50128	33767.3	0	-661.794	3778.98	4466.85	0	0	5121.51	4971.13	1448.18	0	0	0
11200	11.2	2.49181	33639.4	0	-783.78	3929.07	4490.36	0	0	5110.04	4943.15	1456.62	0	0	0
11300	11.3	2.46471	33273.5	0	-786.673	3924.58	4551.61	0	0	5010.28	5087.9	1467.87	0	0	0
11400	11.4	2.54075	34300.1	0	-788.85	3785.92	4491.17	0	0	5081.15	5081.98	1454.03	0	0	0
11500	11.5	2.49599	33695.9	0	-685.901	3765.72	4503.15	0	0	5014.86	5100.32	1449.67	0	0	0
11600	11.6	2.49091	33627.3	0	-705.971	3878.73	4510.5	0	0	5066.73	5094.16	1474.61	0	0	0
11700	11.7	2.48817	33590.3	0	-674.789	3847.28	4429.38	0	0	5124.02	5105.59	1464.68	0	0	0
11800	11.8	2.432	32832	0	-750.562	3865.68	4318.5	0	0	5136.04	5069.08	1447.86	0	0	0
11900	11.9	2.48547	33553.8	0	-797.733	3972.9	4559.29	0	0	5089.44	5070.77	1464.61	0	0	0
12000	12	2.50696	33844	0	-745.112	3754.68	4543	0	0	5101.24	5174.72	1467.07	0	0	0
12100	12.1	2.55554	34499.8	0	-749.285	3758.94	4417.85	0	0	5044.62	5024.28	1465.88	0	0	0
12200	12.2	2.52636	34105.9	0	-807.976	3718.77	4551.32	0	0	5078.86	5077.12	1464.57	0	0	0
12300	12.3	2.50176	33773.7	0	-566.31	3728.82	4508	0	0	5065.52	5039.73	1480.46	0	0	0
12400	12.4	2.54381	34341.5	0	-677.562	3664.12	4542.68	0	0	5080.85	5060.9	1473.58	0	0	0
12500	12.5	2.56031	34564.2	0	-671.926	3681.64	4506.07	0	0	5034.79	5073.53	1519.81	0	0	0
12600	12.6	2.54931	34415.7	0	-632.277	3713.66	4648.16	0	0	5015.91	5012.29	1481.18	0	0	0
12700	12.7	2.52346	34066.7	0	-773.371	3689.06	4526.73	0	0	5056.72	4992.45	1472.43	0	0	0
12800	12.8	2.4877	33583.9	0	-745.037	3673.43	4498.73	0	0	4982.86	5171.28	1479.23	0	0	0
12900	12.9	2.49388	33667.4	0	-720.718	3820.89	4572.65	0	0	4983.94	5096.71	1481	0	0	0
13000	13	2.55352	34472.5	0	-805.445	3817.71	4548.03	0	0	5121.44	5031.21	1479.25	0	0	0
13100	13.1	2.5334	34200.9	0	-698.482	3794.23	4546.98	0	0	4974.11	4941.16	1471.81	0	0	0
13200	13.2	2.47577	33423	0	-653.622	3831.06	4680.7	0	0	5002.51	4913.43	1436	0	0	0
13300	13.3	2.4984	33728.4	0	-766.613	3856.52	4526.38	0	0	5051.13	4916.86	1439.22	0	0	0
13400	13.4	2.48766	33583.5	0	-791.073	3919.35	4607.66	0	0	5106.02	5008.63	1453.04	0	0	0
