step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
5300	5.3	2.48477	33544.4	0	-788.911	3693.47	4578.97	0	0	5138.75	5037.73	1472.74	0	0	0
5400	5.4	2.51599	33965.8	0	-889.66	3729.6	4452.81	0	0	5171.25	5109.28	1447.96	0	0	0
5500	5.5	2.51065	33893.7	0	-722.212	3619.35	4447.26	0	0	5114.82	5028.13	1457.39	0	0	0
5600	5.6	2.47615	33428	0	-674.51	3725.03	4542.32	0	0	5102.27	5072.65	1455.26	0	0	0
5700	5.7	2.4994	33741.9	0	-511.52	3625.53	4377.38	0	0	5067.99	5088.51	1453.34	0	0	0
5800	5.8	2.51657	33973.7	0	-581.802	3677.85	4415.88	0	0	5135.63	5002.86	1451.12	0	0	0
5900	5.9	2.51433	33943.5	0	-693.995	3588.52	4591.65	0	0	5092.27	5048.44	1453.61	0	0	0
6000	6	2.52424	34077.2	0	-642.931	3719.83	4549.63	0	0	5035.5	5031.31	1494.48	0	0	0
6100	6.1	2.5039	33802.6	0	-761.723	3753.63	4641.32	0	0	4993.79	5030.31	1504.08	0	0	0
6200	6.2	2.48869	33597.3	0	-853.973	3808.3	4595.55	0	0	4984.52	5073.28	1481.22	0	0	0
6300	6.3	2.45838	33188.2	0	-742.199	3770	4636.41	0	0	4935.73	5058.76	1474.15	0	0	0
6400	6.4	2.50263	33785.6	0	-674.592	3835.91	4584.3	0	0	4941.02	5128.82	1483.01	0	0	0
6500	6.5	2.51014	33886.9	0	-675.645	3749.14	4707.59	0	0	4927.48	5074.22	1508.37	0	0	0
6600	6.6	2.48884	33599.3	0	-602.717	3741.01	4450.92	0	0	4991.96	5197.54	1493.73	0	0	0
6700	6.7	2.45991	33208.8	0	-613.088	3883.07	4487.28	0	0	5030.49	5203.1	1493.53	0	0	0
6800	6.8	2.54561	34365.7	0	-736.609	3789.75	4522.5	0	0	4979.55	5160.99	1505.76	0	0	0
6900	6.9	2.5347	34218.5	0	-581.983	3652.74	4545.71	0	0	4994.61	5091.26	1493.29	0	0	0
7000	7	2.46967	33340.5	0	-546.861	3597.58	4522.26	0	0	5050.34	5062.46	1491.34	0	0	0
7100	7.1	2.48784	33585.8	0	-702.933	3521.71	4519.22	0	0	5027.68	5087.84	1444.51	0	0	0
7200	7.2	2.48204	33507.6	0	-749.245	3767.56	4592.94	0	0	4992.02	5146.2	1450.06	0	0	0
7300	7.3	2.49078	33625.5	0	-679.953	3836.65	4566.86	0	0	5028.34	5122.93	1493.53	0	0	0
7400	7.4	2.51439	33944.2	0	-556.786	3797.57	4588.88	0	0	5019.66	5107.85	1494.62	0	0	0
7500	7.5	2.52815	34130.1	0	-685.936	3708.73	4688.89	0	0	5126.17	5139.44	1489.38	0	0	0
7600	7.6	2.48032	33484.3	0	-767.204	3755.68	4545.09	0	0	5067.8	5152.23	1473.1	0	0	0
7700	7.7	2.51309	33926.6	0	-831.438	3824.01	4538.16	0	0	5007.66	5045.49	1468.37	0	0	0
7800	7.8	2.49134	33633.1	0	-737.036	3819.86	4547.63	0	0	5043.2	5105.78	1484.68	0	0	0
7900	7.9	2.46717	33306.8	0	-808.783	3779.24	4598.42	0	0	4973.87	5197.26	1469.59	0	0	0
8000	8	2.50754	33851.8	0	-688.201	3811.73	4476.82	0	0	5174.48	5144.82	1469.6	0	0	0
8100	8.1	2.50274	33787	0	-686.917	3726.95	4507.7	0	0	5097.21	5039.35	1489.34	0	0	0
8200	8.2	2.53833	34267.4	0	-675.846	3736.13	4473.7	0	0	4957.51	5116.39	1455.34	0	0	0
8300	8.3	2.50161	33771.7	0	-734.303	3639.05	4429.26	0	0	5122.23	5044.29	1467.67	0	0	0
8400	8.4	2.49401	33669.2	0	-631.363	3690.02	4515.41	0	0	5008.72	5040.86	1462.95	0	0	0
8500	8.5	2.50786	33856.1	0	-754.187	3739.66	4364.9	0	0	5080.78	5010.67	1481.97	0	0	0
8600	8.6	2.51565	33961.2	0	-804.064	3649.75	4453.04	0	0	4929.91	5077.94	1455.5	0	0	0
8700	8.7	2.51658	33973.8	0	-756.568	3663.58	4526.72	0	0	4961.07	5155.93	1472.55	0	0	0
8800	8.8	2.53897	34276.1	0	-668.499	3635.95	4421.09	0	0	5014.63	5073.4	1453.3	0	0	0
8900	8.9	2.51309	33926.8	0	-475.473	3726.12	4497.03	0	0	4910.7	5071.85	1459.09	0	0	0
9000	9	2.55301	34465.7	0	-644.52	3749.03	4456.97	0	0	4919.36	5012.02	1456.83	0	0	0
9100	9.1	2.52999	34154.9	0	-575.031	3834.46	4407.85	0	0	4952.81	4983.85	1440.44	0	0	0
9200	9.2	2.52023	34023.2	0	-828.978	3746.64	4494.71	0	0	4941.42	5084.01	1463.36	0	0	0
9300	9.3	2.48119	33496.1	0	-638.287	3622.15	4498.15	0	0	5027.63	5084.48	1474.52	0	0	0
9400	9.4	2.48361	33528.7	0	-741.835	3672.08	4793.84	0	0	5002.67	5090.4	1456.07	0	0	0
9500	9.5	2.46776	33314.8	0	-735.795	3704.72	4530.53	0	0	5001.57	5141.94	1462.43	0	0	0
9600	9.6	2.48933	33606	0	-717.588	3705.43	4607.4	0	0	4937.12	5052.39	1431.07	0	0	0
9700	9.7	2.51651	33972.9	0	-761.589	3661.63	4672.99	0	0	4934.3	5047.9	1470.91	0	0	0
9800	9.8	2.48128	33497.3	0	-623.255	3788.64	4474.92	0	0	4978.26	5233.15	1482.58	0	0	0
9900	9.9	2.48509	33548.7	0	-546.054	3751.61	4410.26	0	0	4948.6	5130.36	1473.02	0	0	0
10000	10	2.54979	34422.2	0	-657.772	3842.33	4369.44	0	0	4917.43	5042.43	1466.67	0	0	0
10100	10.1	2.49914	33738.4	0	-605.29	3824.63	4499.22	0	0	4995.58	4997.45	1486.9	0	0	0
10200	10.2	2.53247	34188.4	0	-583.624	3840.45	4435.64	0	0	5024.7	4998.11	1469.59	0	0	0
10300	10.3	2.55535	34497.3	0	-564.186	3765.23	4438.73	0	0	5053.68	5023.19	1462.59	0	0	0
10400	10.4	2.52517	34089.7	0	-653.085	3955.34	4604.53	0	0	4975.48	5002.37	1456.88	0	0	0
10500	10.5	2.49305	33656.2	0	-624.126	3941.76	4474.92	0	0	5007.78	4994.92	1448.01	0	0	0
10600	10.6	2.50591	33829.8	0	-575.711	3973.61	4436.28	0	0	4970.54	5058.39	1483.64	0	0	0
10700	10.7	2.4682	33320.7	0	-556.123	4007.92	4507.34	0	0	5056.67	4966.39	1479.3	0	0	0
10800	10.8	2.51585	33964	0	-670.659	3848.23	4419.09	0	0	5191.73	4955.64	1512.93	0	0	0
10900	10.9	2.52804	34128.5	0	-476.549	3802.13	4387.17	0	0	5077.79	5049.49	1468.15	0	0	0
11000	11	2.51232	33916.4	0	-614.251	3628.11	4339.46	0	0	5034.78	5038.98	1434.75	0	0	0
11100	11.1	2.47417	33401.3	0	-594.412	3740.57	4440.96	0	0	4992.67	5167.35	1458.25	0	0	0
11200	11.2	2.45597	33155.6	0	-530.81	3803.48	4494.74	0	0	5015.41	5017.5	1482.69	0	0	0
11300	11.3	2.48635	33565.7	0	-793.815	3745.27	4484.06	0	0	5067.94	5024.85	1448.12	0	0	0
11400	11.4	2.49361	33663.7	0	-609.222	3850.88	4544.86	0	0	5092.61	4938.86	1458.97	0	0	0
11500	11.5	2.49321	33658.3	0	-598.29	3831.83	4637.93	0	0	5010.38	5046.53	1451.77	0	0	0
11600	11.6	2.52894	34140.6	0	-726.717	3747.63	4431.07	0	0	5033.77	5030.06	1488.81	0	0	0
11700	11.7	2.51247	33918.4	0	-531.453	3608.49	4631.13	0	0	4933.18	5107.02	1455.51	0	0	0
11800	11.8	2.51871	34002.6	0	-569.331	3585.5	4557.73	0	0	4983.49	5031.13	1452.16	0	0	0
11900	11.9	2.52205	34047.6	0	-729.1	3641.98	4563.96	0	0	4908.18	4978.23	1460.15	0	0	0
12000	12	2.47121	33361.3	0	-881.414	3606.58	4574.38	0	0	4964.41	5023.89	1465.72	0	0	0
12100	12.1	2.50076	33760.3	0	-748.101	3783.79	4441.55	0	0	4960.52	5081.79	1443.76	0	0	0
12200	12.2	2.52843	34133.8	0	-702.539	3764.42	4516.96	0	0	5010.39	5055.85	1464.82	0	0	0
12300	12.3	2.54479	34354.7	0	-656.953	3743.59	4508.01	0	0	4959.12	5085.11	1459.17	0	0	0
12400	12.4	2.48753	33581.6	0	-711.154	3747.7	4593.91	0	0	5016.42	5018.75	1451.84	0	0	0
12500	12.5	2.51216	33914.1	0	-744.491	3838.03	4490.23	0	0	4945.16	5100.26	1448.31	0	0	0
12600	12.6	2.48314	33522.4	0	-572.017	3809.93	4440.4	0	0	4927.94	5034.25	1398.09	0	0	0
12700	12.7	2.50422	33807	0	-744.312	3868.73	4632.91	0	0	4897.4	5114.93	1432	0	0	0
12800	12.8	2.50896	33870.9	0	-702.435	3815.72	4605.38	0	0	4882.64	5090.16	1443.3	0	0	0
12900	12.9	2.51652	33973.1	0	-713.201	3829.28	4546.68	0	0	5046.47	5001.41	1468.31	0	0	0
13000	13	2.51941	34012	0	-851.026	3701.55	4522.55	0	0	4991.48	5043.44	1449.48	0	0	0
13100	13.1	2.49622	33699	0	-744.384	3784.36	4502.01	0	0	5054.79	5058.97	1464.76	0	0	0
13200	13.2	2.48258	33514.8	0	-675.401	3778.76	4478.83	0	0	5024.57	5176.41	1480.91	0	0	0
13300	13.3	2.51672	33975.7	0	-714.476	3674.48	4469.28	0	0	4936.08	5135.34	1443.43	0	0	0
13400	13.4	2.50476	33814.3	0	-775.964	3791.03	4496.36	0	0	4989.76	5100.07	1461.87	0	0	0
13500	13.5	2.47486	33410.6	0	-819.597	3745.07	4490.65	0	0	4928.17	5061.09	1439.29	0	0	0
13600	13.6	2.47393	33398.1	0	-754.476	3729.29	4420.63	0	0	4994.36	5055.16	1466.38	0	0	0
13700	13.7	2.5004	33755.4	0	-653.23	3814.27	4493.19	0	0	4911.43	5032.05	1443.82	0	0	0
13800	13.8	2.52961	34149.7	0	-784.821	3846.69	4576.08	0	0	4841.18	5137.02	1435.09	0	0	0
13900	13.9	2.56811	34669.5	0	-668.34	3744.51	4600.05	0	0	4898.79	5069.01	1465.24	0	0	0
14000	14	2.49954	33743.8	0	-647.941	3728.33	4682.84	0	0	4898.56	5108.47	1449.04	0	0	0
14100	14.1	2.47949	33473.1	0	-559.932	3653.29	4549.52	0	0	5005.92	5250.5	1462.25	0	0	0
14200	14.2	2.51	33885	0	-649.854	3734.31	4533.68	0	0	4931.39	5255.86	1466.6	0	0	0
14300	14.3	2.53924	34279.7	0	-810.245	3595.88	4667.21	0	0	4943.58	5133.01	1474.07	0	0	0
14400	14.4	2.52899	34141.3	0	-667.662	3551.34	4535.73	0	0	4969.58	5154.78	1455.99	0	0	0
14500	14.5	2.51521	33955.4	0	-669.861	3540.67	4638.27	0	0	5018.68	5076.97	1452.53	0	0	0
14600	14.6	2.527	34114.5	0	-657.661	3726.94	4598.45	0	0	4984.04	5107.5	1464.33	0	0	0
14700	14.7	2.50767	33853.5	0	-645.393	3755.99	4578.4	0	0	5048.33	5006.52	1449.9	0	0	0
14800	14.8	2.46388	33262.4	0	-550.181	3619.27	4689.83	0	0	5164.12	5113.23	1498.01	0	0	0
14900	14.9	2.48757	33582.1	0	-499.185	3604.95	4607.93	0	0	5045.3	5150.33	1475.89	0	0	0
15000	15	2.50896	33870.9	0	-586.334	3602.93	4517.35	0	0	5062.8	5173.79	1467.75	0	0	0
15100	15.1	2.50903	33871.9	0	-655.689	3659.74	4552.93	0	0	5088.44	5127.2	1466.88	0	0	0
15200	15.2	2.48858	33595.8	0	-733.837	3729.83	4497.6	0	0	5166.09	4996.31	1480.45	0	0	0
15300	15.3	2.45986	33208.1	0	-734.759	3804.55	4494.97	0	0	5158.07	4970.83	1441.02	0	0	0
15400	15.4	2.52679	34111.7	0	-897.774	3765.73	4445.68	0	0	5143.31	5087.13	1459.72	0	0	0
15500	15.5	2.50768	33853.7	0	-781.501	3900.51	4464.94	0	0	5146.18	5003.66	1489.65	0	0	0
15600	15.6	2.43507	32873.5	0	-701.069	3875.05	4466.6	0	0	5147.07	4866.51	1467.71	0	0	0
15700	15.7	2.48791	33586.8	0	-683.017	3798.68	4422.43	0	0	5181.22	4832.76	1461.31	0	0	0
15800	15.8	2.51778	33990.1	0	-650.836	3791.81	4462.07	0	0	5080.97	4788.5	1489.96	0	0	0
15900	15.9	2.50727	33848.1	0	-633.972	3794.32	4632.84	0	0	5109.78	4904.81	1477.98	0	0	0
