step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
5300	5.3	2.48518	33549.9	0	-806.491	3695.38	4421.75	0	0	4869.75	4958.98	1438.46	0	0	0
5400	5.4	2.44166	32962.4	0	-698.997	3578.83	4438.7	0	0	4849.13	5090.24	1463.54	0	0	0
5500	5.5	2.49761	33717.7	0	-769.15	3660.74	4342.97	0	0	4936.11	5092.71	1455.8	0	0	0
5600	5.6	2.50983	33882.7	0	-750.131	3953.98	4351.63	0	0	4940.28	5155.9	1468.23	0	0	0
5700	5.7	2.49113	33630.3	0	-755.351	3911.34	4485	0	0	4928.71	5209.68	1458.37	0	0	0
5800	5.8	2.4906	33623.1	0	-824.766	3772.73	4566.61	0	0	5001.19	5143.43	1488.22	0	0	0
5900	5.9	2.50169	33772.8	0	-733.55	3695.97	4411.4	0	0	5054.92	5120.95	1469.35	0	0	0
6000	6	2.50937	33876.5	0	-628.419	3641.99	4600.89	0	0	4980.16	5076.49	1452.73	0	0	0
6100	6.1	2.51058	33892.8	0	-816.216	3647.67	4477.92	0	0	4941.74	5172.3	1478.81	0	0	0
6200	6.2	2.51911	34008	0	-750.436	3664.77	4483.98	0	0	4925.56	5099.03	1463.62	0	0	0
6300	6.3	2.49827	33726.7	0	-812.294	3672.58	4498.97	0	0	4991.29	4926.92	1454.69	0	0	0
6400	6.4	2.50999	33884.8	0	-875.995	3639.5	4520.49	0	0	5032.61	5031.02	1458.88	0	0	0
6500	6.5	2.517	33979.6	0	-749.171	3755.9	4482.55	0	0	5035.56	5107.23	1463.48	0	0	0
6600	6.6	2.53858	34270.8	0	-830.189	3874.05	4578.8	0	0	4989.49	5147.7	1472.05	0	0	0
6700	6.7	2.46304	33251.1	0	-812.39	3747.32	4689.56	0	0	4972.29	5105.54	1432.08	0	0	0
6800	6.8	2.47646	33432.2	0	-692.052	3708.84	4500.53	0	0	4979.9	5130.34	1464.21	0	0	0
6900	6.9	2.48401	33534.2	0	-713.357	3722.74	4501.95	0	0	5070.03	5046.25	1442.61	0	0	0
7000	7	2.50422	33807	0	-648.054	3861.84	4323.92	0	0	5028.3	5010.29	1417.27	0	0	0
7100	7.1	2.51485	33950.5	0	-767.16	3718.7	4284.15	0	0	5053.99	5045.24	1465.86	0	0	0
7200	7.2	2.48667	33570	0	-794.423	3763.53	4415.83	0	0	5093.49	5103.66	1484.72	0	0	0
7300	7.3	2.52988	34153.4	0	-762.228	3706.9	4504.47	0	0	4953.29	5088.23	1445.17	0	0	0
7400	7.4	2.47598	33425.7	0	-595.082	3712.45	4375.08	0	0	4970.45	5148.39	1466.41	0	0	0
7500	7.5	2.47497	33412.1	0	-659.527	3600.97	4295.05	0	0	5019.28	5128.89	1478.48	0	0	0
7600	7.6	2.41061	32543.3	0	-669.443	3523.91	4484.73	0	0	5092.44	5075.39	1467.12	0	0	0
7700	7.7	2.49129	33632.4	0	-720.202	3558.94	4288.41	0	0	5012.35	5049.86	1465.06	0	0	0
7800	7.8	2.4961	33697.3	0	-697.777	3654.56	4394.91	0	0	5099.04	5072.32	1463.09	0	0	0
7900	7.9	2.47839	33458.3	0	-700.063	3720.6	4573.04	0	0	5010.82	5084.22	1457.93	0	0	0
8000	8	2.52463	34082.4	0	-641.591	3766.24	4414.34	0	0	5078.81	5007.77	1445.33	0	0	0
8100	8.1	2.52303	34060.9	0	-689.715	3646.24	4442.1	0	0	5127.41	5053.72	1458.08	0	0	0
8200	8.2	2.48262	33515.3	0	-660.068	3642.17	4489.41	0	0	5042.89	4983.05	1488.17	0	0	0
