step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
67000	67	2.48768	22389.1	-30641.7	6739.72	6441.18	7119.43	-843.182	-2126.58
68000	68	2.47536	22278.3	-30611.1	7015.03	6338.81	7105.29	-775.887	-2207.55
69000	69	2.56258	23063.3	-30743.4	6983.11	6394.67	7063.2	-763.222	-2180.7
70000	70	2.47796	22301.6	-30556.6	6746.1	6207.91	7153.45	-817.86	-2161.8
71000	71	2.4372	21934.8	-30785.4	7030.36	6485.73	7057.61	-837.565	-2138.41
72000	72	2.45909	22131.8	-30545.2	6764.76	6606.47	7173.62	-754.96	-2103.48
73000	73	2.49201	22428.1	-30761.7	7090.26	6654.72	7168.03	-839.201	-2201.36
74000	74	2.51737	22656.3	-30516	6842.98	6419.6	7240.57	-809.347	-2260.14
75000	75	2.45606	22104.5	-30881	6946.54	6386.52	7494.1	-800.286	-2195.68
76000	76	2.48391	22355.1	-30738.4	6980.44	6270.67	7221.18	-795.687	-2178.63
77000	77	2.47149	22243.4	-30495.7	6999.54	6315.58	7159.24	-858.337	-2026.11
78000	78	2.48397	22355.7	-30609.9	6792.67	6329.72	7197.49	-786.724	-2212.41
79000	79	2.46911	22222	-30610.5	7029.73	6355.79	7108.41	-755.17	-2165.11
80000	80	2.48575	22371.8	-30431.7	6899.64	6566.01	7293.32	-818.763	-2174.44
81000	81	2.56173	23055.6	-30527.3	6699.8	6385.64	7017.92	-765.174	-2252.84
82000	82	2.46915	22222.4	-30580.4	6968.13	6420.26	7151.03	-802.059	-2185.4
83000	83	2.47166	22245	-30540.6	6822.76	6327.63	7183.04	-820.848	-2086.93
84000	84	2.45145	22063	-30602.1	6957.69	6134.15	7010.84	-835.132	-2204.48
85000	85	2.47921	22312.9	-30597.9	6591.17	6353.66	7127.55	-832.518	-2259.02
86000	86	2.49275	22434.8	-30558.9	6822.32	6366.74	7105.89	-776.674	-2177.57
87000	87	2.47445	22270.1	-30647.4	6878.82	6288.21	6954.51	-852.617	-2090.94
88000	88	2.47228	22250.6	-30463.9	6771.36	6741.58	6936.66	-808.567	-2206.18
89000	89	2.48109	22329.8	-30503.2	6863.51	6395.97	7101.34	-821.107	-2085.67
90000	90	2.42814	21853.3	-30571.7	7084.92	6231.23	6933.05	-756.775	-2060.72
91000	91	2.51265	22613.8	-30627.1	6772.87	6452.98	6952.41	-791.684	-2136.78
92000	92	2.46199	22157.9	-30408.7	6827.94	6528.19	7264.7	-862.83	-2179.63
93000	93	2.51928	22673.5	-30395.4	6886.66	6537.47	7253.03	-867.891	-2176.89
94000	94	2.50634	22557.1	-30659.6	6830.25	6651.83	7196.27	-822.63	-2209.93
95000	95	2.46027	22142.4	-30709.6	6714.95	6396.79	7097.19	-859.829	-2112.26
96000	96	2.4629	22166.1	-30540.9	6909.17	6204.1	7050.5	-844.769	-2215.61
97000	97	2.43217	21889.6	-30650.8	6701.25	6494.42	7071.26	-866.533	-2080.61
98000	98	2.47037	22233.3	-30677.9	6885.45	6475.45	7190.31	-874.166	-2250.3
99000	99	2.49145	22423	-30569.7	6866.3	6424.62	7072.38	-772.14	-2138.64
100000	100	2.47135	22242.2	-30711.1	6791.77	6532.58	7193.17	-846.84	-2173.03
101000	101	2.49717	22474.5	-30622.4	6937.54	6259.38	6964.28	-806.514	-2230.23
102000	102	2.49542	22458.8	-30653.3	6907.81	6419.21	7247.26	-848.764	-2241.96
103000	103	2.4777	22299.3	-30549.9	6805.3	6444.74	7309.6	-802.119	-2194.6
104000	104	2.4488	22039.2	-30613.7	6864.07	6399.52	7473.54	-864.423	-2264.35
105000	105	2.48059	22325.3	-30607.9	6941.26	6333.8	7181.27	-824.363	-2130.48
106000	106	2.48547	22369.3	-30779.6	7041.87	6286.42	7273.89	-829.09	-2192.04
107000	107	2.48476	22362.8	-30711.9	6797.91	6357.83	6977.69	-790.912	-2127.03
108000	108	2.53383	22804.4	-30525.6	6960.08	6361.41	7225.37	-786.399	-2193.23
109000	109	2.45779	22120.2	-30675.7	6746.1	6459.67	7017.51	-845.647	-2227.72
110000	110	2.46642	22197.8	-30640.8	6883.88	6556.93	7071.78	-859.633	-2247.47
111000	111	2.45468	22092.2	-30719.5	6882.49	6386	7305.37	-798.903	-2163.79
112000	112	2.52754	22747.9	-30608	6745.99	6649.78	6856.98	-827.515	-2166.05
113000	113	2.46808	22212.7	-30715.7	6582.75	6179.72	7005.13	-863.279	-2173.52
114000	114	2.45086	22057.7	-30537.4	6795.92	6386.26	7203.07	-817.3	-2229.43
115000	115	2.47257	22253.1	-30375.1	7075.73	6331.43	7263.26	-820.923	-2113.7
116000	116	2.53292	22796.2	-30659	6865.56	6325.47	7044.84	-833.377	-2154.99
117000	117	2.45661	22109.5	-30509.3	6861.48	6513.84	7042.6	-797.796	-2127.82
118000	118	2.43372	21903.4	-30579.3	6551.61	6426.4	7296.29	-837.694	-2080.16
119000	119	2.45438	22089.4	-30710.1	6780.67	6334.16	7019.51	-833.258	-2176.5
120000	120	2.46219	22159.7	-30776.8	6936.59	6387.83	7068.55	-780.007	-2208.23
121000	121	2.47413	22267.1	-30749.7	6896.84	6542.76	7148.8	-809.028	-2140.56
122000	122	2.47715	22294.4	-30650.6	6927.44	6332.74	7214.73	-859.328	-2208.83
123000	123	2.51141	22602.7	-30638.6	6900.52	6520.17	7188.49	-832.079	-2145.29
124000	124	2.45397	22085.7	-30653.5	6982.79	6470.81	7063.53	-851.611	-2166.76
125000	125	2.52812	22753.1	-30542.7	6825.82	6348.19	7239.23	-872.983	-2206.84
126000	126	2.44691	22022.2	-30813.6	6953.93	6284.94	7165.77	-853.669	-2111.32
127000	127	2.5263	22736.7	-30643.9	6624.82	6506.59	7215.59	-827	-2178.84
128000	128	2.50094	22508.4	-30486.5	6736.22	6251.37	7202.68	-825.474	-2115.6
129000	129	2.45869	22128.2	-30562.9	6901.27	6452.73	7107.46	-815.671	-2125.87
130000	130	2.49515	22456.4	-30515.1	6696.26	6596.5	7055.95	-802.501	-2184.75
131000	131	2.51492	22634.3	-30687.9	6689.62	6376.14	7028.61	-833.493	-2070.44
132000	132	2.49187	22426.8	-30681.4	6982.06	6318.54	7215.59	-898.012	-2202.47
133000	133	2.4371	21933.9	-30707.6	6833.75	6271.07	7342.15	-739.077	-2177.27
134000	134	2.50428	22538.5	-30649.8	6870.67	6297.58	7098.81	-794.677	-2131.45
135000	135	2.50759	22568.3	-30484.9	6834.05	6546.08	6970.32	-827.596	-2139.66
136000	136	2.47312	22258.1	-30786.4	6856.7	6481.74	7021.97	-813.877	-2176.26
137000	137	2.48985	22408.6	-30525	6874.72	6431.08	6949.58	-774.442	-2166.94
138000	138	2.4895	22405.5	-30635.6	6983.01	6476	7439.8	-789.164	-2187.02
139000	139	2.48497	22364.7	-30641.6	6856.65	6477	7244.63	-803.008	-2187.22
140000	140	2.51893	22670.4	-30708.5	7011.67	6406.33	7156.7	-806.98	-2079.25
141000	141	2.47444	22269.9	-30577.8	7049.09	6421.53	7240.03	-812.443	-2289.33
142000	142	2.50762	22568.6	-30505.8	6931.06	6376.05	7076.89	-736.696	-2154.01
143000	143	2.46495	22184.6	-30695.1	6823.65	6371.59	7072.91	-798.775	-2190.33
144000	144	2.46721	22204.9	-30541.6	6727.27	6142.55	7258.67	-775.625	-2257.18
145000	145	2.47124	22241.2	-30722.2	7037.89	6586.34	6891.52	-856.978	-2213.91
146000	146	2.48449	22360.4	-30816.2	6609.49	6306.41	6902.18	-845.117	-2195.94
147000	147	2.49001	22410.1	-30691.3	6809.64	6642.93	6908.99	-865.963	-2248.14
148000	148	2.44576	22011.8	-30788.1	7121.11	6546.96	6848.57	-801.766	-2245.76
149000	149	2.50316	22528.4	-30694.6	6703.45	6507.43	7077.08	-812.677	-2185.44
150000	150	2.46084	22147.6	-30538.9	6857.67	6296.92	7181.96	-788.751	-2280.35
151000	151	2.44607	22014.7	-30686.2	6925.79	6485.13	7262.75	-810.272	-2331.06
152000	152	2.45892	22130.3	-30545.8	6982.01	6470.53	7137.32	-838.037	-2245.07
153000	153	2.48255	22343	-30612.8	7054.1	6366.15	7198.77	-787.322	-2159.03
154000	154	2.5219	22697.1	-30610.7	6653.79	6453.8	7026.65	-846.955	-2159.16
155000	155	2.48442	22359.8	-30568.2	6644.51	6431.49	6891.49	-844.501	-2231.58
156000	156	2.46938	22224.4	-30864.8	6916.21	6342.15	7041.75	-810.286	-2220.34
157000	157	2.4708	22237.2	-30572.7	6694.5	6350.06	7262.83	-847.014	-2083.73
158000	158	2.4797	22317.3	-30635.6	6979.93	6316.24	7402.12	-736.866	-2179.3
159000	159	2.48205	22338.4	-30723.4	6905.26	6166.65	7043.99	-778.295	-2271.73
160000	160	2.4885	22396.5	-30706.7	6753.47	6316.46	6830.8	-815.907	-2192.96
161000	161	2.45347	22081.3	-30668.8	6874.58	6084.49	6952.24	-809.415	-2165.92
162000	162	2.48871	22398.4	-30816.6	7050.97	6325.21	7030.44	-763.139	-2176.04
163000	163	2.48342	22350.8	-30631.6	6812.84	6306	7061.71	-810.444	-2114.7
164000	164	2.43496	21914.6	-30738.3	6676.14	6307.65	7197.41	-784.802	-2212.5
165000	165	2.45273	22074.6	-30723.9	6895.06	6272.65	7109.46	-782.875	-2180.39
166000	166	2.43706	21933.5	-30751.4	6943.35	6577.69	6985.84	-794.714	-2187.47
167000	167	2.49172	22425.5	-30710.7	6786.8	6435.13	7200.87	-822.035	-2073.2
168000	168	2.49939	22494.5	-30524.2	7097.39	6243.19	7290.28	-828.825	-2125.16
169000	169	2.49032	22412.9	-30671.2	6878.72	6444.45	7093.33	-808.154	-2178.26
170000	170	2.50738	22566.4	-30601.9	6708.49	6516.08	6861.25	-793.51	-2247.88
171000	171	2.45131	22061.7	-30699.2	6791.21	6257.36	6995.71	-789.203	-2176.76
172000	172	2.48885	22399.6	-30656.9	6824.25	6369.64	6882.95	-830.155	-2111.95
173000	173	2.42712	21844.1	-30753.4	7043.13	6316.44	7071.67	-790.152	-2123.13
174000	174	2.44486	22003.7	-30638.2	6862.17	6483.71	7060.9	-808.308	-2053.84
175000	175	2.48583	22372.5	-30614.7	6684.25	6298	7150.38	-821.271	-2159.29
176000	176	2.48712	22384.1	-30616.4	6778.6	6173.95	7311.44	-800.392	-2183.8
177000	177	2.4901	22410.9	-30573.4	6701.44	6509.98	7074.43	-768.443	-2150.93
178000	178	2.48599	22373.9	-30556.8	6700.67	6050.66	7161.9	-748.109	-2238.52
179000	179	2.51845	22666	-30589.2	6884.66	6294.41	7108.91	-781.387	-2179.29
180000	180	2.5198	22678.2	-30412.8	7169.84	6232.49	7090.82	-826.787	-2171.01
181000	181	2.47311	22258	-30736.7	6886.77	6434.76	7034.21	-827.294	-2173.82
182000	182	2.45048	22054.3	-30722.9	6949.48	6372.67	7237.77	-867.694	-2165.35
183000	183	2.47508	22275.7	-30524.4	6840.57	6253.27	7049.9	-772.137	-2171.83
184000	184	2.50832	22574.8	-30643.8	6883.93	6222.62	7107.69	-790.916	-2147.2
185000	185	2.51514	22636.2	-30686.5	6954.49	6369.6	6814.14	-743.067	-2110.05
186000	186	2.49167	22425.1	-30584.4	6732.02	6418.35	7085.28	-781.902	-2160.58
187000	187	2.44828	22034.5	-30621.1	6740.39	6525.9	7079.22	-759.652	-2208.26
188000	188	2.4818	22336.2	-30656.1	6727.69	6221.48	7323.37	-807.991	-2162.1
189000	189	2.46094	22148.4	-30643	6860.21	6492.88	7171.63	-830.666	-2111.65
190000	190	2.45664	22109.7	-30564.8	6860.29	6358.07	7232.51	-813.609	-2142.68
191000	191	2.44353	21991.8	-30471.9	6803.04	6343.95	7026.27	-818.402	-2107.99
192000	192	2.51549	22639.4	-30664.6	6827.57	6487.08	7108.6	-849.021	-2165.36
193000	193	2.48429	22358.6	-30621.8	6872.04	6400.24	7068.78	-812.189	-2122.81
194000	194	2.43703	21933.3	-30569.3	6749.01	6523.87	7155.68	-782.912	-2235.05
195000	195	2.45357	22082.2	-30629.4	6996.56	6489.81	7247.62	-875.565	-2141.67
196000	196	2.51505	22635.4	-30670.3	6741.69	6449.35	7228.21	-809.185	-2193.15
197000	197	2.47723	22295.1	-30764.9	6874.55	6348.77	6928.84	-824.487	-2195.64
198000	198	2.49348	22441.3	-30581.2	6769.1	6415.63	7085.94	-790.781	-2207.94
199000	199	2.47561	22280.5	-30668.4	6869.8	6330.6	7215.78	-801.421	-2082.41
200000	200	2.47725	22295.3	-30633	6849.22	6449.61	6902.77	-800.429	-2228.41
201000	201	2.52372	22713.5	-30390.9	6731.23	6300.22	6963.28	-751.913	-2145.13
202000	202	2.44871	22038.4	-30566.6	6926.24	6302.43	7314.09	-763.919	-2153.97
203000	203	2.45532	22097.8	-30663.8	6824.64	6418.46	7155.47	-813.091	-2149.36
204000	204	2.50629	22556.6	-30628.7	7068.91	6467.17	7231.83	-811.681	-2215.02
205000	205	2.49169	22425.2	-30559.3	6671.65	6259.46	7239.07	-839.205	-2332.72
206000	206	2.45979	22138.1	-30647.3	6862.53	6339.92	7287.14	-844.122	-2324.41
207000	207	2.4923	22430.7	-30551.3	7026.81	6554.94	7095.51	-833.064	-2192.41
208000	208	2.48461	22361.5	-30623.9	6859.86	6362.82	7179.54	-826.53	-2144.16
209000	209	2.50263	22523.6	-30652.6	6784.08	6428.08	7142.35	-828.088	-2172.04
210000	210	2.449	22041	-30772.3	6958.94	6317.45	6903.71	-822.039	-2164.51
211000	211	2.47729	22295.6	-30604.7	6788.31	6109.51	7108.07	-846.801	-2159.07
212000	212	2.45522	22097	-30798.7	6805.88	6323.02	6916.03	-826.729	-2174.23
213000	213	2.46625	22196.2	-30576.1	6969.61	6287.6	7251.85	-839.881	-2230.72
214000	214	2.42897	21860.7	-30690.7	7067.25	6145.01	7259.5	-815.262	-2155.67
215000	215	2.52661	22739.5	-30536.6	6644.16	6415.24	6980.85	-849.739	-2207.48
216000	216	2.47341	22260.7	-30572.3	6699.92	6396.16	7195.82	-801.025	-2156.79
217000	217	2.46913	22222.1	-30831.1	6976.07	6495.04	7059.71	-805.51	-2261.64
218000	218	2.43914	21952.3	-30726.6	6909.84	6277.98	7000.66	-843.273	-2272.49
