step	time	T	Ekin	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	bond_124	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_65	dihedral_67	dihedral_8	lj	lj-14_0	lj-14_1	lj-14_3	lj-14_4	lj-14_5
5000	5	2.48276	100552	1551.79	986.077	1397.18	824.839	668.868	577.049	4083.82	760.656	831.445	5019.38	1283.05	1054.19	912.741	1758.04	4400.81	826.263	878.657	1006.55	4314.39	1074.41	1245.22	913.427	2739.6	735.673	3994.49	1151.23	1072.43	1692.09	1297.34	1195.47	1053.62	1188.92	1344.61	1350.14	1003.34	1134.08	1088.87	1744.3	1168.86	1112.23	1151.62	1091.96	16677.6	3585.79	10683.9	6373.94	4946.3	8020.55	3403.07	2024.65	5669.93	689250	-4244.02	4170.97	4915.08	5064	8998.83	8049.71	6036.88	59814.8	-73603.3	26404.6	5064.53	-1164.87	290.089	223.102
5500	5.5	2.48369	100589	1530.31	969.135	1432.6	882.826	653.012	608.857	3951.25	825.535	817.259	5311.11	1388.39	1125.79	875.683	1680.19	4395.54	747.641	840.234	1041.01	4288.4	1056.34	1094.54	882.13	2670.69	748.19	3900.03	1005.52	1159.35	1560.22	1343	1035.12	1119.84	1144.4	1367.88	1304.42	1058.45	997.521	1122.89	1901.45	1469.21	1092.47	1132.34	1082.73	16263.4	3419.63	10711.6	6434.16	5131.44	7989.94	3507.94	1851.85	5391.4	690125	-4351.24	4318.13	4884.68	4891.63	8732.67	8289.01	6082.97	59846.2	-74037.3	26368.2	5065.98	-1163.12	277.913	215.833
6000	6	2.48144	100498	1441.06	902.264	1428.65	914.912	648.014	603.774	4021.15	801.5	783.681	4884.53	1236.26	1111.76	956.249	1708.65	4218.27	810.725	810.1	984.896	4189.86	991.726	1137.41	855.151	2688.28	723.516	3741.7	1078.1	1143.74	1552.36	1311.08	1029.62	1060.61	1127.06	1449.46	1374.69	1106.07	1098.63	1088.89	1728.78	1258.56	1137.61	1100.88	1100.89	16518.6	3305.89	10893.6	6049.72	4930.13	7898.2	3199.74	2085.55	5389.61	690155	-4269.44	4232.11	4909.42	4936.27	8793.25	8261.14	6102.03	59937.8	-73534.8	26535.5	5267.64	-1159.44	292.235	252.989
6500	6.5	2.47865	100385	1528.17	983.141	1397.64	863.769	619.701	605.246	4221.14	734.689	840.304	5100.77	1287.12	1025.93	888.972	1629.31	4502.15	784.547	834.018	1052.88	4292.94	1093.26	1181.46	890.116	2836.81	698.661	3813.38	1085.71	1251.97	1722.07	1446.29	1069.81	1074.39	1259.39	1464.65	1309.64	1005.35	992.334	1167.46	1860.83	1217.7	1232.47	1069.32	1189.84	16320.8	3439.92	10931.4	6305.12	4980.12	8149.95	3419.43	2118.87	5470.84	688720	-4150.29	4211.82	4969.29	4906.49	8689.02	8276.53	6024.36	59892.3	-74158	26398.7	5123.47	-1161.71	256.31	239.986
7000	7	2.48327	100573	1486.32	933.659	1430.69	844.309	662.015	606.239	3962.5	727.267	837.492	5331.41	1283.38	1050.31	867.848	1732.39	4446.92	891.287	831.892	1076.25	4198.27	1042.78	1104.28	868.313	2751.83	758.918	3752.8	1034.55	1158.43	1581.26	1372.79	1060.05	1113.37	1114.46	1430.94	1260.52	1052	1000.4	1162.86	1713.12	1325.64	1132.63	1101.07	1202.22	16455.5	3324.57	11125.6	6213.38	4925.97	7896.37	3495.82	1997.35	5484.2	688869	-4021.71	4169.4	4955.48	4836.5	8703.23	8238.84	6067.09	59892.5	-74058.1	26348.6	5078.59	-1166.99	280.68	231.866
7500	7.5	2.47376	100187	1474.57	942.679	1308.3	848.223	592.227	573.333	4153.05	769.22	866.85	4801.6	1346.22	1058.17	918.649	1696.17	4211.72	714.97	838.584	1064.48	4397.3	1045.39	1185.27	812.187	2712.21	700.994	3821.14	1048.66	1141.67	1618.15	1314.12	1011.97	1103.33	1084.71	1345.73	1269.96	1072.23	1001.57	1115.7	1785.55	1330.42	1120.86	1086.5	1173.68	16006	3415.82	10525.9	6295.58	4890.55	8030.11	3555.62	2014.6	5444.3	689172	-4094.44	4099.37	4988.83	4930.06	8696.8	8340.41	5991.51	59994.1	-73627.2	26511.8	5193.23	-1158.93	282.408	258.664
8000	8	2.471	100076	1509.34	872.228	1461.66	903.033	638.811	609.483	4151.73	769.898	843.244	5310.52	1287.86	1053.78	898.995	1698.92	4360.56	797.404	863.726	1037.63	4116.76	1021.08	1060.57	862.933	2635.91	764.969	3976.19	1062.43	1145.94	1648.92	1305.84	1151.45	1109.43	1060.67	1318.52	1376.88	1045.69	1060.81	1139.37	1803.72	1364.2	1233.38	1161.02	1180.74	16211.4	3392.99	10405.5	6271.22	4905.4	8038.53	3326.93	1935.99	5424.65	689161	-4091.02	4142.98	5016.13	4768.08	8323	8398.62	5987.24	59913.3	-74075.2	26475.3	5168.28	-1162.79	274.161	235.605
8500	8.5	2.48197	100520	1497.99	921.875	1323.93	829.484	625.774	554.469	4091.67	744.247	818.642	5013.17	1327.48	1029.9	897.045	1715.94	4324.56	829.531	866.535	1068.25	4172.41	1160.79	1159.24	854.087	2653.93	739.495	3977.14	1027.04	1208.29	1654.07	1288	1127.37	1007.15	1232.98	1336.78	1279.82	1155.13	1035.86	1128.36	1861.94	1380.87	1121.6	1083.62	1161.58	16036.2	3474.69	10941.8	6407.93	5068.99	7832.16	3375.96	2048.94	5344.64	688746	-3840.21	4060.57	4972.47	5014.08	8691.91	8292.07	6007.22	59891.6	-74069.1	26501.1	5112.58	-1162.15	259.571	246.59
9000	9	2.48715	100730	1440.74	906.951	1405.58	965.133	604.329	576.033	4031.55	685.954	877.603	4849.87	1311.33	1131.18	816.605	1666.19	4385.47	829.942	847.438	1039.48	4313.1	1011.92	1115.78	833.867	2720.51	726.859	3784.69	982.424	1091.46	1484.83	1344.55	1048.38	1127.76	1151.89	1422.31	1240.08	1033.62	1026.42	1140.67	1908.87	1292.29	1030.05	1110.19	1150.6	16438.3	3272.6	10928.2	6257.61	5108.15	8119	3484.9	2098.96	5467.51	687969	-4073.74	4127.32	4965.72	4913.73	8969.24	8373.63	5993.96	59923.8	-74419.5	26461	5168.46	-1163.32	278.577	233.831
9500	9.5	2.4774	100335	1464.3	903.662	1347.52	856.861	631.745	571.502	4145.85	712.23	799.083	4708.21	1284.58	1082.62	962.301	1740.66	4277.02	837.522	861.865	1016.91	4014.31	1037.84	1112.55	807.35	2745.78	690.988	3674.04	1090.23	1094.36	1689.35	1301.58	1106.97	1156.86	1208.88	1415.54	1345.66	1087.08	1083.96	1166.73	1737.25	1324.46	1139.77	1060.69	1300.58	16412.3	3418.72	10715.5	6269.78	5072.82	7961.17	3557.32	2025.64	5554.95	687619	-3819.02	4148.71	4967.93	5072.16	8860.98	8432.33	6014.83	59799	-73636.5	26410.2	5231.22	-1162.6	293.004	222.643
