step	time	T	Ekin	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	bond_124	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_65	dihedral_67	dihedral_8	lj	lj-14_0	lj-14_1	lj-14_3	lj-14_4	lj-14_5
50500	50.5	2.47211	100121	1601.38	966.953	1547.4	903.519	676.945	631.202	3916.06	729.884	842.515	4860.19	1170.85	1100.78	851.265	1754.22	4328.39	795.278	918.89	1067.88	4312.82	1092.32	1199.19	927.823	2613.19	745.731	3662.5	1043.9	1094.6	1598.56	1300.68	1094.34	1073.04	1060.39	1291.31	1299.04	1023.88	999.808	1224.67	1830.25	1346.97	1130.43	1072.7	1222.43	16106.3	3514.37	11167.9	6443	5055.94	8063.65	3558.77	1961.51	5602.49	678145	-1813.22	3439.03	5189.94	4685.9	8944.86	8571.68	5651.56	59781.1	-73525.9	26443.7	5313.96	-1167.72	188.839	307.513
51000	51	2.48482	100635	1476.22	948.461	1429.06	803.289	647.417	572.358	3919.8	752.673	869.891	4623.05	1290.2	1082.66	886.709	1689.46	4343.82	753.445	842.487	1121.29	4133.12	1112.16	1166.67	868.518	2503.3	744.473	3744.57	1078.16	1098.17	1551.94	1286.12	1064.89	1014.5	1096.7	1368.74	1247.05	1060.24	994.002	1110.5	1885.36	1281.46	1090.26	1056.2	1110.74	16119	3447.81	10529.6	6311.25	5020.2	8138.55	3637.6	2088.14	5323.36	679809	-1866.87	3473.41	5161.36	4788.23	9040.3	8565.14	5699.85	59814.5	-73802	26462	5418.21	-1160.73	193.602	309.568
51500	51.5	2.49046	100864	1463.76	985.815	1481.39	859.254	665.604	606.811	3954.22	769.719	925.486	4731.19	1242.02	1056.77	896.411	1696.16	4450.44	796.304	842.56	997.442	3989.34	1120.05	1117.47	869.71	2572.75	731.663	3938.07	1078.49	1198.38	1516.55	1262.4	1003.26	1042.52	1124.82	1287.76	1184.98	1006.23	1038.22	1194.99	1897.07	1322.24	1074.5	1167.16	1139.11	16781.5	3412.86	10716.4	6210.44	4870.78	7873.58	3568.36	1961.32	5450.63	678343	-1564.24	3471.38	5272.56	5130.8	9152.67	8268.66	5550.74	59793	-73092	26406.2	5401.09	-1164.02	193.046	328.116
52000	52	2.47923	100409	1504.99	1032.95	1525.35	919.748	694.319	616.296	4189.09	779.999	876.176	4638.03	1249.43	1072.45	935.697	1787.45	4504.99	882.273	856.876	992.389	4015.98	1101.28	1168.19	881.492	2546.86	735.181	3774.68	1096.96	1048.95	1693.17	1248.51	1020.29	1153.94	1044.2	1275.26	1297.24	1028.5	1039.06	1174.4	1933.78	1321.16	1171.22	1114.75	1187.61	16328.9	3370.61	10682.2	6441.68	5089.8	7987.58	3613.49	2085.94	5627.1	677590	-2003.6	3489.26	5224.8	4861.24	9042.17	8474.92	5618.86	59841.7	-73102.4	26458.1	5390.64	-1165.78	173.74	305.09
52500	52.5	2.45459	99411	1422.2	975.533	1398.31	870.779	655.238	558.746	4168.8	766.298	918.005	4571.88	1241.31	1050.09	847.329	1681.46	4622.82	859.947	837.099	1046.05	3906.03	1094.43	1069.56	906.687	2529.55	824.188	3632.44	1064.74	1115.57	1641.21	1233.5	1054.54	1077.66	1133.44	1352.65	1291.7	1047.96	1084.79	1114.77	1825.03	1346.82	1076.98	1162.95	1099.78	16585.7	3280.25	10893	6373.11	5121.6	8054	3460.66	1971.68	5302.26	678627	-1688.22	3375.92	5179.95	4780.74	9145.35	8500.71	5641.89	59853.2	-73870.4	26486.5	5345.6	-1161.72	172.877	307.732
53000	53	2.47712	100324	1516.3	963.37	1445.88	871.044	643.929	601.63	3985.45	785.686	924.473	4647.59	1334.6	1088.46	851.809	1694.35	4343.73	772.918	862.665	1031.89	4192.64	1125.9	1148.48	809.745	2713.58	749.117	3903.79	1076.87	1086.56	1535.38	1301.19	1072.91	1084.99	1160.89	1363.36	1239.98	1035.53	1104.86	1257.6	1940.26	1346.28	1105.81	1020.56	1187.31	16220.6	3459.86	10928	6216.62	4884.02	7941.09	3415.22	1981.44	5490.93	678286	-1963.75	3477.54	5217.95	5075.65	9175.39	8350.77	5625.5	59886.4	-73418.4	26514	5406.68	-1161.6	174.866	319.024
53500	53.5	2.46055	99652.5	1558.07	1019.63	1496.95	931.569	623.271	624.009	4115.56	746.089	832.182	4627.66	1187.5	1019.92	839.987	1695.51	4444.69	902.175	889.733	988.262	4031.86	908.53	1047.29	857.052	2551.92	786.102	3861.44	1133.86	1003.17	1673	1403.26	1040.14	1070.2	1058.48	1300.37	1317.32	1076.42	948.314	1112.89	1811.73	1352.4	1141.66	1138.72	1090.51	15918.4	3579.75	11094.2	6313.19	5086.55	8305.65	3654.76	2146.04	5412.88	677719	-1808.14	3416.64	5279.86	5126.68	9084.62	8432.25	5568.66	59900.6	-73849.8	26473.4	5321.18	-1165.34	173.712	295.612
54000	54	2.48552	100664	1376.27	989.631	1509.06	916.227	659.914	586.527	3912.68	798.812	986.843	4498.96	1162.32	1004.92	876.237	1683.36	4202.64	806.747	821.432	998.283	4180.89	1014.04	1133.61	866.225	2611.22	792.346	3684.4	1075.74	1179.17	1598.65	1283.97	1045	1106.82	1193.94	1310.58	1312.5	1163.66	1069.13	1114.82	1728.29	1350.68	1132.14	1121.22	1083.18	16426.3	3432.03	11216.2	6228.58	4895.38	7726.61	3715.59	2071.29	5425.4	677985	-1792.03	3436.12	5280.42	5043.23	9074.79	8336.88	5529.35	59826.3	-73937.3	26393.9	5458.22	-1166.68	185.485	313.332
54500	54.5	2.47216	100122	1598.88	955.269	1412.25	882.749	625.987	615.528	4097.73	825.715	879.487	4715.52	1248.06	1109.9	850.369	1731.24	4594.68	872.494	915.853	1045.51	4031.82	1149.96	1213.66	839.877	2460.26	779.15	3647.15	1167.43	1076.26	1678.68	1301.13	1099.29	995.741	1132.75	1310.26	1288.15	1076.73	1138.34	1153.32	1801.28	1309.43	1169.45	1113.21	1137.92	16020.1	3451.37	11476.6	6497.17	4850.6	8033.96	3513.54	2038.87	5446.02	677707	-1595.08	3394.69	5275.52	4827.02	8714.49	8251.99	5593.22	59852.9	-73414.1	26569.2	5375.52	-1164.65	182.405	313.107
55000	55	2.45964	99615.5	1425.76	937.523	1427.32	935.162	661.251	545.219	3957.52	796.981	881.034	4591.5	1333.65	1081.88	797.812	1721.07	4278.61	778.979	869.524	1023.18	4191.88	1070.53	1157.37	860.62	2539.9	716.327	3652.69	1121.61	1120.97	1552.88	1236.44	1085.32	1091.1	1147.75	1361.98	1281.9	1069.22	1080.93	1039.48	1879.77	1306.41	1015.12	1052.5	1192.09	16859.8	3382.17	10691.4	6420.94	5040.35	8022.51	3581.86	1996.66	5386.2	676755	-1656.12	3394.45	5239.69	4988.04	8906.72	8515.12	5556.61	59918.1	-73096.9	26311.9	5398.21	-1165.02	171.467	321.086
55500	55.5	2.49303	100968	1559.25	972.647	1566.53	883.69	696.366	618.462	4010.06	778.15	938.967	4712.86	1258.71	1097.4	939.61	1785.82	4383.39	801.934	881.416	1070.22	4100.37	1004.49	1101.48	875.575	2642.55	755.935	3705.19	1161.59	1086.44	1651.83	1195.29	1014.89	1026.01	1107.17	1346.69	1301.94	1063.07	1006.6	1128.81	1833.2	1314.11	1194.58	1156.62	1063.41	16486.9	3444.06	10750.5	6265.42	4983.25	8104.77	3592.38	1853.13	5467.35	677056	-1832.22	3402.17	5250.42	4913.19	9127.44	8539.27	5628.57	59925.1	-73839.6	26411.4	5384.91	-1165.54	176.816	311.971
56000	56	2.48265	100547	1574.86	1021.76	1392.93	918.843	660.51	579.334	3841.59	845.14	904.2	4613.59	1373.93	1061.69	935.315	1796.52	4431.24	823.385	920.732	1130.85	4163.7	1010.08	1092.82	859.788	2603.62	768.544	3796.94	1099.97	1133.8	1568.88	1358.54	1065.2	1081	1097.97	1389.09	1326.67	1126.04	1047.06	1196.81	1841.87	1306.41	1094.2	1025.65	1194.13	16707.9	3349.99	10771.7	6278.62	5074.13	7873.36	3314.93	2004.56	5403.46	676664	-1673.03	3396.08	5244.31	4959.01	9079.56	8463.89	5558.25	59803.6	-72912.9	26279.6	5341.71	-1167.26	182.859	327.364
56500	56.5	2.46679	99905.1	1604.93	1023.27	1305.58	861.146	614.059	570.937	3869.75	780.06	889.818	4922.8	1351.13	1065.34	849.571	1778.23	4385.91	905.785	909.65	1094.58	4034.91	1082.86	1135.59	856.629	2668.38	685.482	3967.13	1149.39	1191.56	1593.27	1334.67	1106.47	1107.64	1122.86	1392.26	1461.35	1036.39	1036.79	1138.28	1827.88	1297.96	1295.77	1150.57	1175.76	16260.9	3469.9	10871.3	6363.58	5127.17	8100.46	3807.19	1855.44	5322.89	677167	-1863.05	3364.42	5247.08	4878.82	8786.76	8136.27	5529.1	59856.3	-73455.4	26462.5	5406.78	-1164.57	157.027	336.273
57000	57	2.47936	100414	1460.4	907.437	1432.62	900.485	647.491	546.994	3869.77	771.464	954.523	4781.12	1276	1073.63	846.214	1764.33	4267.27	816.241	909.355	1047.23	4131.33	1055.01	1216.84	918.046	2460.06	753.028	3904.53	1112.31	1077.17	1521.32	1304.83	1075.6	1109.96	1124.75	1329.15	1196.02	1043.87	1057.07	1076.75	1787.99	1289.85	1152.44	1150.16	1190.55	16244.4	3518.21	11056.3	6325.45	4968.8	8301.95	3697.43	2191.28	5593.45	676699	-1490.49	3373.3	5308.52	5109.62	9082.54	8641.86	5522.05	59835.8	-73757.4	26397.3	5373.79	-1166.41	158.945	330.087
57500	57.5	2.45092	99262.3	1392.93	981.091	1453.33	884.664	693.355	540.306	4017	769.662	934.537	4602.02	1322.78	1054.46	849.193	1738.54	4425.68	824.031	851.365	1070.36	4192.42	1067.56	1129.1	853.125	2584.3	738.891	3671.99	1110.05	1074.64	1645.23	1406.45	1001.5	1094.8	1199.23	1336.15	1267.12	1002.74	1001.16	1132.62	1806.3	1245.78	1107.98	1057.91	1179.45	16422.1	3241.83	11040.5	6235.15	5127.56	7616.19	3745.16	1952.25	5664.62	677364	-1801.21	3417.28	5309.97	4784.02	8903.72	8364.32	5566.87	59837.3	-73620.4	26388.8	5439.45	-1165.59	180.834	320.927
58000	58	2.47977	100431	1652.47	1033.59	1438.39	872.274	666.32	612.015	3952.83	770.503	883.722	4420.27	1323.37	1070.56	940.585	1788.71	4255.9	773.467	927.693	1101.98	4016.73	976.129	1170.44	858.266	2452	709.547	4003.78	1156.19	1096.4	1543.89	1266.9	1148.1	1086.55	1046.73	1276.93	1210.32	1041.2	1093.02	1111.66	1848.17	1208.62	1103.65	1098.04	1151.63	16355.6	3269.91	11077.1	6446.42	4695.25	8064.46	3529.11	2066.25	5187.55	677883	-1626.83	3366.7	5228.27	4865.96	8838.87	8229.41	5554.37	59765.3	-73506.7	26387.9	5404.72	-1168.9	184.506	311.358
58500	58.5	2.46296	99750	1562.41	1018.57	1405.34	846.852	670.111	563.078	4081.32	790.118	901.952	4589.45	1321.51	1084.19	921.063	1804.4	4357.86	842.625	949.537	1015.7	4240.47	1065.39	1142.43	850.354	2663.14	739.12	3909.75	1062.43	1056.28	1560.08	1316.49	1076.12	1145.41	1185.06	1351.21	1257.87	1078.72	1083.48	1157.4	1814.03	1357.96	1014.84	1082.69	1129.23	16334.9	3553.15	10926.5	6477.69	5048.8	7872.59	3531.5	2168.87	5475.47	676379	-1771.86	3404.07	5235.55	4998.96	9166.74	8458.92	5515.46	59892.7	-73867.3	26420.4	5441.18	-1165.71	141.378	324.741
59000	59	2.47772	100348	1518.78	1023.59	1413.46	860.914	665.182	587.29	4113.33	814.466	864.956	4458.57	1230.95	1046.37	935.91	1763.85	4358.6	863.81	889.218	1104.57	4342.33	992.277	1095.85	849.748	2527.9	763.223	3690.09	1078.62	1024.17	1616.7	1366.48	1027.98	1066.29	1209.72	1359.55	1261.02	1079.36	1113.49	1032.7	1755.15	1318.19	1193.52	1142.6	1110.68	16289.9	3427.48	10727	6494.05	4846.37	8258.36	3413.58	2032.51	5308.28	677620	-1703.04	3357.7	5302.43	4880.22	8744.85	8235.26	5524.74	59824.3	-73595.3	26445.7	5483.25	-1164.73	152.728	310.087
59500	59.5	2.4899	100841	1520.36	967.819	1372	873.815	652.67	542.577	3900.05	920.934	893.755	4416.62	1260.04	1025.67	843.656	1774.42	4318.29	776.939	922.255	1164	4075.67	1075.93	1230.93	864.126	2509.77	751.386	3785.7	1052.88	1132.36	1607.57	1186.02	1039.45	1057.4	1219.25	1369.5	1313.13	1084.46	1020.59	1139.91	1843.1	1351.49	1249.48	1091.66	1127.33	16631.8	3371.43	10686.1	6266.11	4983.38	8006.74	3592.06	2080.84	5334.6	676945	-1721.51	3396.78	5271.42	5124.85	9138.43	8260.8	5484.89	59861.1	-73797.4	26410.8	5435.34	-1162.4	171.876	327.028
60000	60	2.49132	100898	1501.94	965.34	1398.05	952.813	627.354	565.544	3974.69	828.623	882.164	4537.27	1323.81	1102.84	801.127	1702.52	4371.62	824.087	858.04	1085.79	4119.23	1023.73	1150.8	902.803	2611.24	762.796	3840.42	1088.19	1093.42	1678.49	1247.41	1062.37	1076.07	1165.05	1415.42	1270.48	1073.11	1010.89	1185.76	1817.68	1372.62	1128.05	1069.18	1114.26	16489	3435.47	11012.7	6403.37	5127.68	8219.97	3452.67	1840.45	5106.47	677281	-1616.6	3442.43	5249.09	4970.13	8869.34	8474.01	5567.11	59900.2	-73789.1	26332.5	5398.98	-1165.8	150.019	301.436
60500	60.5	2.46135	99684.7	1456.71	970.01	1569.87	990.332	684.355	601.043	3865.77	798.733	1055.21	4577.94	1189.04	1167.56	892.774	1750.04	4414.61	829.06	838.015	1034.27	4236.33	1073.73	1009.39	802.072	2604.66	760.264	3680.66	1079.95	1090.71	1522.49	1251.54	1108.9	1074.49	1281.98	1355.47	1310.02	1053.34	1126.15	1060.98	1773.55	1330.88	1176.08	1075.21	1138.41	16361.3	3482.36	11303.2	6334.41	4850.58	8126.49	3443.92	2033.35	5612.63	677055	-1752.68	3360.61	5233.74	4800.24	8923.62	8562.75	5573.65	59980.3	-73583.6	26422.4	5414.51	-1166.01	166.593	315.61
61000	61	2.45882	99582.4	1485.95	1002.14	1483.84	931.263	641.812	625.451	3970.01	784.105	863.516	4545.11	1227.79	1039.65	913.996	1648.27	4343.69	817.237	801.407	1006.08	4106.87	1035.56	1121.91	861.924	2509.43	688.86	3492.32	1114.31	1094.03	1606.93	1249.9	1076.14	1129.97	1132.49	1302.33	1337.35	961.455	1038.34	1051.79	1802.67	1250.46	1149.67	1131.22	1079.52	16352.9	3227.18	10794.9	6149.28	4795.11	7952.83	3483.13	2101.23	5350.53	678088	-1632.82	3387.47	5290.22	4823.3	8970.86	8370.18	5564.64	59887.5	-74021	26459.5	5484.18	-1161.97	179.746	321.359
61500	61.5	2.48843	100782	1572.54	993.155	1423.97	929.027	669.578	574.883	3857.73	741.93	879.52	4731.98	1279.18	1046.13	907.385	1862.38	4171.31	712.733	944.644	1116.38	4310.76	999.428	1129.16	846.313	2519.01	779.542	3740.92	1061.2	1104.65	1551.82	1290.74	1065.66	1054.74	1185.98	1364.05	1284.03	983.909	1064.07	1141.65	1731.98	1320.32	1117.52	1111.56	1068.39	16018.3	3577.86	11065.5	6377.92	4742.69	8137.75	3507.03	1991.76	5439.09	676292	-1764.27	3404.75	5279.06	4953.55	9305.21	8331.8	5515.58	59904.7	-73633.3	26490.3	5384.6	-1165.9	164.733	329.174
62000	62	2.4816	100505	1433.08	972.493	1421.31	868.38	661.981	562.294	3914.17	810.903	918.106	4685.23	1178.24	1059.41	765.403	1730.29	4342.28	821.025	861.235	1140.32	3984.84	1001.16	1002.92	799.541	2572.88	754.645	3732.98	1052.38	1077.18	1548.05	1340.26	1005.11	1090.37	1162.44	1252.09	1353.61	1054.6	995.824	1166.95	1749.03	1272.57	1043.1	1053.27	1121.3	16933.9	3412.62	10771.5	6308.21	4791.07	7961.07	3623.23	1849.91	5767.36	677073	-1647.22	3365.29	5287.35	4917.6	8794.56	8569.67	5578.83	59943	-73603.8	26302.3	5396.32	-1165.29	163.109	330.306
62500	62.5	2.46715	99919.6	1467.32	962.469	1404.78	849.927	621.116	561.648	3926.28	803.65	938.056	4616.42	1250.77	1143.49	875.58	1745.6	4390.04	782.079	880.408	1095.41	4103.71	977.396	1071.45	850.346	2511.51	752.685	3945.44	1041.31	1164.4	1607.32	1310.02	971.436	1074.97	1096.22	1407.33	1405.85	1153.84	1037.97	1121.83	1813.21	1288.78	1143.89	1049.94	1075.86	16524.4	3712.15	10889.7	6096.23	4962.56	8081.83	3362.18	2107.06	5274	677148	-1611.79	3345.73	5282.19	5182.56	9079.52	8479.68	5498.55	59867.5	-74058.8	26351.6	5356.16	-1164.19	162.487	325.022
63000	63	2.47618	100285	1641.57	1031.8	1446.41	811.163	651.254	613.546	3859.06	718.867	869.174	4594.06	1298.47	1022.22	926.56	1845.98	4353.04	809.723	948.096	1141.64	4138.96	1019	1079.88	853.189	2544.53	771.027	3728.72	1058.04	1087.48	1566.71	1284.78	1062.42	1111.61	1064.49	1304.05	1335.03	1046.16	1058.59	1191.65	1733.83	1297.76	1128.47	1117.43	1178.1	16687	3521.09	10740	6377.53	5068.24	8067.32	3440.26	2079.38	5353.76	676172	-1393.93	3350.21	5293.49	4910.94	8984.7	8382.04	5518.89	59863.4	-73086	26310.8	5442.8	-1166.32	172.883	318.59
63500	63.5	2.48998	100844	1496.9	962.942	1384.57	785.323	660.827	574.986	3783.37	786.343	885.072	4766.67	1234.8	1060.46	849.333	1787.73	4552.87	838.134	899.737	1094.57	4206.88	955.793	1130.67	824.94	2660.58	770.468	3853.94	1068.87	1131.59	1628.1	1209.06	1105.85	1069	1121.11	1434.31	1253.82	1080.78	1091.76	1061.67	1825.19	1226.69	1105.15	1075.86	1093.41	16287.3	3402.55	10939.1	6310.22	5057.18	8054.2	3575.51	1929.19	5469.75	677060	-1512.03	3364.46	5274.31	4767.97	8972.94	8216.04	5602.54	59730.6	-74169.8	26439.3	5395.54	-1163.09	147.577	327.108
64000	64	2.45054	99246.8	1572.17	1036.41	1427.51	871.786	677.447	579.034	3989.37	793.493	912.423	4838.51	1276.37	1122.1	855.209	1820.93	4402.22	854.968	925.591	1122.84	4069.97	992.074	1195.51	890.73	2677.5	766.769	3696.79	1009.04	1108.3	1589.11	1201.75	1020.52	1109.05	1186.04	1404.15	1270.92	1079.36	1023.39	1110.55	1864.31	1269.19	1104.44	1089.17	1195.88	16632.3	3595.29	10733.6	6221.16	5000.16	8018.79	3480.66	1973.75	5752.55	675659	-1503.38	3343.4	5303.62	5103.09	8965.65	8394.24	5488.72	59922.8	-73335.3	26305.3	5445.68	-1166.5	148.662	325.372
64500	64.5	2.46997	100034	1569.58	952.775	1388.36	812.68	624.132	589.682	3745.69	821.805	817.373	4646.94	1225.21	1113.19	869.131	1756.34	4469.98	800.345	890.077	1007.92	4149.7	1010.14	1154.96	877.223	2516.44	736.574	3587.77	1111.12	1091.5	1615.19	1206.39	1046.48	1035.73	1148.93	1366.61	1359.61	992.792	1105.93	1176.07	1987.85	1307.44	1076.23	1139.78	1151.31	16578.8	3244.37	10675.1	6176.53	4911.22	7912.04	3558.59	2099.71	5538.5	676736	-1415.06	3342.32	5299.37	5041.04	8848.82	8637.42	5461.59	59905.6	-73947.1	26392.7	5470.44	-1164.08	157.859	356.511
65000	65	2.48222	100530	1473.37	918.676	1419.09	816.263	639.019	590.734	3898.01	751.064	878.046	4626.66	1317.55	1086.62	861.322	1671.04	4480.65	803.683	855.6	1020.1	3929.91	1018.86	1093.18	813.146	2429.32	834.802	3672.98	1078.35	1136.21	1571.83	1307.94	1021.29	1079.68	1064.68	1300.98	1345.18	1078.8	1065.74	1144.76	1937.29	1237.83	1194.47	1111.33	1122.94	16418.7	3361.59	11021.3	6229.53	4862.81	7950.61	3474.61	2016.12	5491.21	677192	-1783.3	3286.01	5321.85	5113.04	8988.82	8286.13	5493.9	59934.3	-73888.2	26398	5428.59	-1164.1	178.585	349.57
65500	65.5	2.48665	100710	1550.48	978.811	1534.3	915.465	651.705	613.909	3887.39	770.601	969.694	4575.3	1260.29	1081.55	814.242	1659.91	4447.62	848.944	857.589	1030.66	4051.76	982.052	1169.95	828.207	2566.97	724.471	3862.8	1175.38	1066.21	1481.73	1393.83	1035.49	1078.88	1070.67	1278.32	1322.67	1006.63	1000.09	1060.49	1886.03	1299.39	1129.2	1086.91	1068.81	16708.8	3386.34	10970.2	6452.83	4950.25	8191.6	3487.47	1975.2	5321.55	676246	-1598.31	3394.78	5286.99	4770.22	8934.25	8681.84	5602.87	59926	-73877.2	26346.6	5365.76	-1166.58	158.616	331.566
66000	66	2.46748	99932.8	1486.64	967.348	1470.65	880.297	637.582	629.773	3909.73	790.315	878.185	4751.29	1242.49	1152.47	862.382	1751.72	4397.54	834.135	857.199	1042.84	4065.21	950.828	1052.06	833.56	2568.93	851.814	3606.23	1081.28	1054.94	1509.88	1177.97	1134.55	1023.1	1147.44	1372.64	1407.55	1067.95	1043.03	1167.67	1747.72	1214.15	1151.4	1079.12	1162.29	16890.5	3451.34	10876.7	6414.72	4564.01	7829.03	3675.5	2137.7	5553.49	676065	-1452.37	3356.6	5338.93	5062.38	9034.29	8148.61	5465.19	59847.1	-74185.9	26280.4	5423.65	-1167.26	146.156	328.379
66500	66.5	2.49668	101116	1609.55	975.02	1493.6	908.06	634.896	620.344	3959.91	724.761	912.377	4627.42	1261.19	1178.14	933.391	1695.96	4401.68	877.288	928.629	1133.45	4072.7	1141.08	1125.79	837.619	2404.48	745.018	3822.41	1121.14	1065.48	1669.85	1352.89	1069.42	1104.96	1133.97	1301.39	1242.65	1106.45	1111.32	1110.98	1775.59	1345.89	1163.91	1053.9	1158.74	16450.4	3662.6	10600.9	6339.4	4831.48	8185.98	3426.39	2049.3	5484.07	676596	-1633.71	3414.67	5302.36	5069.48	9021.67	8478.34	5465.36	59880.6	-73802	26389.4	5452.52	-1163.76	161.329	343.641
67000	67	2.4971	101133	1478.11	1013.71	1361.88	867.249	624.94	540.585	4012.41	839.083	829.701	4240.2	1217.62	1102.88	908.062	1715.36	4399.59	833.36	893.233	1088.78	3918.74	1070.42	1145.7	752.727	2578.56	771.587	3683.98	969.158	1072.68	1602.95	1291.89	1033.13	1065.67	1109.2	1399.55	1312.72	1059.87	976.641	1124.58	1736.01	1315.47	1085.05	1123.61	1217.62	16456.8	3421.29	10797.1	6493.94	4792.65	7807.87	3653.93	2002.97	5335.26	676301	-1301.91	3328.77	5313.36	4852.79	8763.11	8316.82	5539.73	59925.3	-73514.1	26477.7	5471.5	-1161.64	161.514	324.048
67500	67.5	2.48363	100587	1512.18	986.911	1438.55	908.15	664.479	565.863	3946.36	798.963	964.147	4757.99	1415.27	1104.07	907.578	1783.68	4422.29	860.955	906.135	1025.36	4102.07	1059.03	1174.05	777.91	2476.04	776.974	3787.57	1031.91	1097.39	1573.14	1239.7	1074.86	1138.16	1130.84	1364.26	1334.12	1047.17	1048.36	1171.13	1710.11	1264.67	1049.76	1055.18	1096.3	16682.4	3518.2	10787	6187.56	4917.47	8287.67	3755.19	2011.91	5676.7	675564	-1634.69	3330.02	5297.95	4945.51	8832.14	8349.33	5472.77	59938.4	-73297.5	26274.4	5421.17	-1166.47	166.176	327.359
68000	68	2.46802	99955	1550.89	986.075	1426.82	959.137	636.57	580.238	3816.72	772.127	855.78	4620.48	1179.1	1097.71	873.274	1682.28	4454.59	881.792	901.137	1049.72	4194.3	1100.82	1088	901.248	2461.99	752.351	3786.01	1003.04	1167.65	1512.8	1291.47	1084.59	1038.63	1127.37	1305.35	1230.89	998.162	1077.92	1126.28	1927.05	1262.74	1158.39	1089.87	1074.51	16720.6	3727.04	10815.5	6417.95	5080.74	8411.62	3347.31	2089.78	5688.49	675736	-1568.76	3349.08	5301.62	4957.55	9085.7	8448.72	5479.31	59887.5	-74095.8	26304.9	5425.53	-1165	148.173	326.875
68500	68.5	2.48092	100477	1524.06	1002.57	1485.65	906.843	663.701	585.783	3996.27	767.452	843.118	4521.81	1312.37	1114.23	864.622	1780.53	4435.57	786.082	885.222	1065.42	4120.36	1034.73	1085.86	854.956	2514.65	722.707	3689.94	1159.18	1053.76	1568.38	1276.34	1177.2	1140.74	1095.15	1281.05	1281.8	1130.5	1046.5	1082.62	1839.87	1284.71	1168.05	1077.82	1196.55	16602.6	3666.8	10878.2	6271.79	4918.26	7887.87	3555.41	2017.13	5559.63	675443	-1320.4	3295.84	5351.38	5045.87	8853.02	8455.57	5465.34	59958.4	-73575.7	26356.3	5326.47	-1166.16	144.477	333.675
69000	69	2.47072	100064	1454.24	975.884	1411.85	868.406	607.558	561.719	3914.02	771.793	870.211	4495.63	1226.25	1070.84	819.971	1642.76	4186.84	810.851	857.798	1069.1	4066.05	913.896	1092.87	828.439	2515.47	790.244	3731.46	1071.84	1073.45	1484.3	1199.05	1012.68	1149.56	1186.13	1328.28	1230.81	1079.62	1007.33	1062.23	1786.76	1362.29	1075.7	1055.15	1123.54	16208.9	3757.25	10827.5	6075.42	4949.35	7880.08	3392.67	1968.04	5422.08	676308	-1611.94	3287.44	5338.48	4990.1	8920.67	8402.4	5486.42	59896.8	-73646.9	26414.4	5467.51	-1162.38	178.437	332.995
69500	69.5	2.47208	100119	1497.16	975.14	1426.86	849.382	656.193	562.641	3916.65	821.279	939.969	4451.11	1241.99	1055.02	816.588	1714.03	4248.87	848.043	890.055	1133.97	4014.21	946.333	1104.51	893.406	2463.02	749.228	3860.58	1125.08	1123.22	1539.83	1329.65	1160.57	1067.14	1209.65	1344.93	1383.47	1049.97	1086.04	1178.79	1770.86	1293.74	1078.74	1078.96	1128.25	16314.3	3400.59	10930.8	6330.72	4993.38	7676.07	3641.47	2051.6	5253.12	675825	-1251.31	3293.27	5322.17	5013.3	9166.07	8301.91	5467.83	59818.1	-73944.7	26430.4	5453.86	-1164.19	154.833	348.097
70000	70	2.49697	101127	1531.98	1002.71	1374.11	873.771	613.357	587.221	3889.39	836.807	888.995	4566.84	1206.42	1083.75	882.35	1669.32	4193.27	867.285	872.361	1017.38	4083.35	1032.36	1080.24	847.362	2465.55	787.547	3702.75	1107.77	1102.95	1552.34	1279.35	1131.2	1153.73	1127.68	1404.05	1296.04	1076.82	1094.02	1049.81	1732.88	1417.78	1079.84	1055.85	1059.63	16276.2	3500.55	10855.8	6413.48	4799.5	7903.22	3662.18	1870.69	5382.77	676563	-1328.51	3227.23	5355.28	4920.14	8918.62	8411.28	5468.76	59857.8	-73755.9	26376	5589.37	-1164.25	160.739	355.565
70500	70.5	2.46717	99920.2	1567.84	1004.81	1472.34	807.189	641.897	628.136	3822.14	738.23	870.651	4643.18	1240.63	979.066	806.242	1724.02	4408.45	851.89	867.854	1110.61	4109.13	1025.23	1074.49	857.526	2504.12	781.233	3747.51	1062.35	1175.68	1471.56	1267.13	1058.05	1116.29	1154.35	1370.4	1205.99	1131.39	1069.11	1116.16	1773.22	1295.88	1148.15	1124.12	1014.02	16660.7	3263.41	11283.1	6405.48	4966.5	8207.11	3493.53	1944.45	5360.63	675005	-1407.1	3292.19	5305.44	4989.18	9129.83	8152.78	5438.45	59931.2	-73080.9	26445.9	5514.15	-1166.12	155.948	345.643
