step	time	T	T-cg	T-at	Ekin	res	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285_cross	angle_286_cross	angle_287_cross	angle_288_cross	angle_289_cross	angle_290_cross	angle_291_cross	angle_292_cross	angle_293_cross	bond_124	bond_124_cross	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131_cross	bond_132_cross	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_4_cross	dihedral_65	dihedral_65_cross	dihedral_67	dihedral_8_cross	lj	lj-14_0	lj-14_0_cross	lj-14_2	lj-14_3	lj-14_8_cross	lj-14_9_cross	tab-cg
4500	4.5	2.47821	2.47614	2.47844	55759.8	0	692.668	829.277	419.859	546.066	456.79	485.346	395.691	690.142	560.018	522.065	519.416	757.528	620.311	383.384	570.89	515.854	465.823	438.84	587.941	486.154	511.893	511.795	716.742	651.436	410.543	553.941	493.123	413.963	392.122	545.196	487.506	546.078	491.311	0	0	0	0	0	0	0	0	0	1988.82	0	1963.06	2003.24	1844.45	4060.84	1532.02	790.556	3037.25	0	2161.95	0	1123.21	839.175	4307.5	1211.22	3100.45	0	1852.08	0	599.979	0	0	5965.18	0	-338.052	513.739	0	0	-22498.2
5000	5	2.48676	2.47614	2.48794	55952	0	777.639	713.774	397.518	646.781	463.962	477.192	360.783	666.661	528.891	531.047	510.74	785.632	737.372	397.802	543.893	488.472	435.484	384.723	678.441	494.459	515.651	488.788	663.785	671.753	389.635	580.317	486.839	490.79	377.217	572.688	485.342	505.196	502.139	0	0	0	0	0	0	0	0	0	2055.56	0	1930.63	1982.1	2082.53	3977.33	1253.12	670.881	3220.58	0	2160.49	0	959.423	831.02	4347.82	1135.56	2927.98	0	1815.45	0	604.903	0	0	5793.9	0	-337.904	496.747	0	0	-22593.6
5500	5.5	2.47421	2.47614	2.47399	55669.6	0	767.818	662.535	361.647	539.209	476.232	429.792	381.503	632.076	543.774	449.097	510.661	805.508	641.968	360.865	611.044	475.944	454.727	422.033	632.529	493.902	492.047	531.286	682.532	684.826	434.01	516.625	507.796	476.926	422.668	656.057	523.359	492.431	480.654	0	0	0	0	0	0	0	0	0	1956.13	0	2031.84	2044.45	1938.79	4089.77	1470.01	747.83	3163.37	0	2077.03	0	997.921	888.301	4338.47	1142.2	3118.46	0	1763.79	0	573.299	0	0	5828.72	0	-338.173	512.936	0	0	-22757.9
6000	6	2.48753	2.47614	2.4888	55969.5	0	772.699	754.672	397.233	543.851	547.3	532.51	399.115	628.085	502.754	495.624	530.435	726.925	615.322	399.661	539.017	467.122	494.035	431.701	639.937	500.248	496.951	492.199	735.259	616.541	382.538	550.468	432.117	516.4	396.952	627.367	476.341	515.115	494.434	0	0	0	0	0	0	0	0	0	1994.77	0	2087.32	1926.18	1816.12	3968.79	1447.11	666.008	3050.17	0	1955.63	0	894.011	846.597	4338.38	1196.45	3008.19	0	1699.43	0	593.701	0	0	5833.38	0	-337.907	510.446	0	0	-22851.3
6500	6.5	2.47428	2.47614	2.47407	55671.3	0	743.235	773.998	367.402	508.663	512.073	566.739	412.504	653.751	576.307	523.726	500.661	757.632	666.609	418.289	595.668	509.672	446.021	392.364	572.148	504.143	583.85	550.337	736	577.773	383.904	586.371	420.53	471.068	364.062	672.341	502.539	521.427	480.415	0	0	0	0	0	0	0	0	0	1957.12	0	2034.25	1857.01	1782.92	4121.81	1437.39	700.185	3022.18	0	2096.38	0	938.508	865.6	4348.35	1139.49	2907.67	0	1865.86	0	585.724	0	0	5939.97	0	-338.041	518.696	0	0	-22989.1
7000	7	2.45221	2.47614	2.44955	55174.6	0	832.41	773.027	402.548	543.641	441.049	500.3	390.464	606.911	434.869	496.202	505.174	710.76	743.011	452.791	578.2	483.68	519.931	415.62	625.229	494.16	522.022	516.464	712.586	674.359	385.23	598.351	464.537	511.575	412.367	626.301	499.788	505.884	537.485	0	0	0	0	0	0	0	0	0	1899.78	0	1976.04	1866.35	1837.43	3934.03	1446.53	644.807	3067.43	0	2183.64	0	934.962	914.713	4387.65	1171.66	2921.21	0	1866.62	0	570.443	0	0	5728.05	0	-338.214	507.719	0	0	-23052.9
7500	7.5	2.48136	2.47614	2.48194	55830.6	0	789.83	811.695	380.746	632.956	548.514	446.787	391.418	669.836	486.002	458.986	555.309	797.936	766.216	418.895	541.467	471.001	472.093	453.792	631.62	485.855	466.485	480.393	676.824	613.398	406.061	622.365	509.431	481.882	351.891	663.621	484.324	516.011	473.196	0	0	0	0	0	0	0	0	0	1986.09	0	2040.88	2001.19	1905.86	4156.92	1455.07	795.133	2958.64	0	1993.53	0	817.402	880.205	4362.34	1109.38	2879.37	0	1849.14	0	563.183	0	0	5906.03	0	-337.822	508.499	0	0	-23226
8000	8	2.45904	2.47614	2.45714	55328.5	0	728.212	721.829	376.906	530.369	434.178	473.63	415.249	626.247	585.68	506.922	549.674	710.315	701.362	419.265	592.828	530.484	511.004	375.087	618.343	536.407	520.446	512.901	677.675	670.56	403.973	523.445	546.716	439.387	381.861	672.199	496.35	503.289	528.035	0	0	0	0	0	0	0	0	0	2034.93	0	2013.5	1983.22	1906.17	4220.73	1335.99	698.705	3087.9	0	2028.68	0	995.09	980.158	4324.3	1207.03	3055.46	0	1801.93	0	614.67	0	0	5850.48	0	-338.083	527.798	0	0	-23268.5
8500	8.5	2.47468	2.47614	2.47451	55680.2	0	738.721	768.21	370.378	562.869	545.725	468.721	393.609	633.218	503.375	497.298	479.012	797.195	739.459	431.426	611.466	484.275	514.856	424.518	548.427	484.425	502.171	539.586	635.959	625.167	382.302	546.429	488.938	460.309	388.45	607.772	559.971	460.332	503.699	0	0	0	0	0	0	0	0	0	2008.23	0	2100.01	1894.97	1869.83	3970.79	1405.11	664.408	2968.84	0	1993.44	0	769.859	929.522	4349.2	1143.88	3026.13	0	1792.25	0	580.59	0	0	5768.84	0	-338.187	497.473	0	0	-23317.1
9000	9	2.48627	2.47614	2.4874	55941.2	0	781.711	792.041	387.743	569.164	489.02	533.588	433.064	609.179	520.258	472.624	508.034	713.502	714.515	389.302	567.027	463.37	470.304	426.531	643.03	503.657	500.767	524.408	657.685	650.317	422.796	589.94	474.847	499.7	425.249	724.445	496.236	563.485	562.892	0	0	0	0	0	0	0	0	0	1883.8	0	2068.2	1973.28	1974.69	4290.09	1463.39	685.516	3036.39	0	2021.73	0	702.095	882.231	4375.22	1133.14	2874.73	0	1720.25	0	542.997	0	0	5829.21	0	-338.022	507.354	0	0	-23436.9
