step	time	T	T-cg	T-at	Ekin	res	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285_cross	angle_286_cross	angle_287_cross	angle_288_cross	angle_289_cross	angle_290_cross	angle_291_cross	angle_292_cross	angle_293_cross	bond_124	bond_124_cross	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131_cross	bond_132_cross	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_4_cross	dihedral_65	dihedral_65_cross	dihedral_67	dihedral_8_cross	lj	lj-14_0	lj-14_0_cross	lj-14_2	lj-14_3	lj-14_8_cross	lj-14_9_cross	tab-cg
24200	24.2	2.51839	2.47614	2.52309	56663.9	0.04199	814.389	778.67	352.627	552.552	425.625	510.952	358.535	582.513	531.009	518.141	553.628	794.668	686.227	406.378	596.372	479.633	447.149	404.856	636.949	569.454	492.896	507.312	569.683	588.764	399.591	533.599	520.027	480.835	403.847	602.594	512.839	507.337	571.258	254.015	245.959	110.822	71.3125	69.1804	124.445	246.355	63.5958	121.829	1908.67	13642.6	2021.69	1952.65	1998.61	3914.29	1461.86	674.835	4667.29	7571.5	1922.45	627.087	-242.836	1296.07	4321.75	1113.84	2962.95	29.2912	1995.11	136.258	571.814	100.437	627.13	5957.12	10.5638	-337.818	524.989	187.345	4.444	-23441.5
24300	24.3	2.47638	2.47614	2.4764	55718.5	0.04299	734.526	664.394	403.117	603.921	477.817	546.168	421.49	706.392	539.337	501.302	539.002	760.235	694.002	468.451	556.905	482.627	500.05	403.535	633.164	541.165	495.7	541.67	655.196	624.667	371.951	591.272	491.161	520.753	397.099	684.299	514.691	509.167	549.774	273.526	258.15	111.036	69.3488	70.2497	123.644	258.307	63.5653	123.86	1886.24	12790.7	2035.59	1878.53	1826.14	4210.09	1282.16	712.623	4739.41	7184.66	2145.28	659.47	-283.299	1230.4	4320.84	1210.69	3001.42	30.1165	1934.62	142.346	625.436	105.705	569.627	5842.22	10.8938	-338.26	531.139	215.283	4.4874	-23389.9
24400	24.4	2.47095	2.47614	2.47038	55596.4	0.04399	852.102	764.708	389.859	580.184	476.504	527.623	452.103	684.919	452.525	496.954	488.763	747.359	606.316	414.29	525.569	548.583	489.066	398.618	587.75	494.603	496.951	519.23	658.614	566.17	448.709	568.307	524.753	522.572	419.528	634.445	547.88	482.124	492.137	283.934	275.4	110.059	68.5936	75.4507	126.302	274.321	65.2005	121.865	1959.4	12103.9	1968.83	1993.64	1820.66	3926.4	1512.19	760.366	4764.36	6833.69	2076.48	695.702	-94.9696	1283.72	4344.71	1178.71	3072.25	31.8531	1803.56	149.111	593.357	111.615	523.215	5958.63	13.6471	-338.191	529.793	222.155	6.03492	-23334.8
24500	24.5	2.49176	2.47614	2.4935	56064.7	0.04499	764.378	742.206	384.984	558.35	498.995	466.303	338.313	589.307	548.659	492.383	504.054	735.476	667.477	398.284	642.71	509.464	528.985	406.086	674.351	530.49	517.564	522.974	634.967	627.63	394.621	563.032	501.164	483.534	366.948	652.765	507.192	545.791	502.815	294.518	288.826	109.972	69.6088	77.0305	122.83	282.91	66.3863	117.48	1869.95	11560.1	1881.31	1975.52	1981.78	4091.29	1402.65	621.12	4663.96	6459.91	2081.65	730.845	-193.865	1245.53	4312.52	1302.33	3118.31	33.9655	1794.43	156.706	650.756	116.846	578.034	5768.36	13.9359	-338.305	510.818	209.245	5.13064	-23322.9
24600	24.6	2.46913	2.47614	2.46835	55555.4	0.04599	777.309	751.619	390.817	566.236	520.12	474.243	414.364	663.535	488.144	467.187	482.629	724.654	653.419	400.744	512.206	474.517	531.839	396.989	662.359	555.422	510.874	513.744	772.792	623.852	381.05	551.577	467.249	490.344	470.064	598.882	524.608	439.448	508.286	314.239	297.119	114.685	70.9841	77.609	127.069	290.48	68.0081	124.726	1973.22	10878.5	2060.04	2034.19	1965.44	4112.17	1358.18	596.35	4649.87	6134.45	2104	767.968	-143.988	1266.93	4329.99	1213.23	3013.02	35.039	1913.31	164.106	614.777	122.209	529.725	5805.56	11.7747	-338.088	527.526	229.089	6.02182	-23249.2
24700	24.7	2.49632	2.47614	2.49856	56167.2	0.04699	735.964	803.686	422.206	589.044	438.545	504.267	418.146	712.142	506.45	479.149	528.824	735.871	623.459	390.67	527.105	500.376	500.563	402.445	590.389	541.449	490.506	522.584	733.448	702.289	385.831	527.879	506.376	505.919	388.312	614.147	498.443	469.403	512.093	322.459	311.877	111.411	72.4657	75.4336	128.554	297.377	69.8777	123.881	1894.36	10106.7	2080.45	1988.25	1923.14	3889.88	1490.48	696.752	4712.46	5805.34	2131.88	808.559	-245.898	1228.27	4299.52	1229.75	3099.72	36.2397	1965.1	170.633	617.601	127.705	511.79	5672.64	14.7661	-338.005	503.305	225.601	6.76553	-23242.1
24800	24.8	2.47318	2.47614	2.47285	55646.5	0.04799	788.198	791.679	421.813	571.13	542.748	523.102	405.039	596.805	517.561	496.382	566.119	786.336	678.014	427.796	591.041	540.087	458.303	403.195	590.234	488.201	507.66	503.902	705.422	644.627	341.25	565.485	503.241	527.179	389.771	580.417	491.672	546.989	520.093	336.571	323.227	109.981	73.1501	79.2255	126.987	307.877	67.7516	125.003	1993.89	9585.04	1882.54	1863.41	1792.07	3936.52	1497.02	709.685	4484.07	5479.99	2005.17	847.122	-168.978	1255.99	4300.52	1191.4	3088.87	38.0096	1939.67	175.639	592.02	133.913	509.914	5649.92	14.542	-338.206	508.585	236.2	7.91126	-23214.6
24900	24.9	2.4975	2.47614	2.49988	56193.8	0.04899	797.827	709.728	392.666	525.181	465.797	471.846	349.94	610.967	543.846	498.807	484.586	625.948	635.803	458.361	597.748	507.776	446.098	383.544	660.288	493.536	538.252	570.822	652.909	635.638	388.28	468.261	504.792	480.789	405.049	596.13	565.177	519.051	522.531	341.828	337.093	110.595	71.3863	81.415	126.351	317.03	69.4143	119.916	1933.19	9030.9	1869.35	2066.78	1937.23	4077.97	1379.74	650.64	4615.81	5043.12	1954.88	889.712	-241.939	1230.57	4380.51	1167.82	2856.43	38.8898	1726.89	184.508	568.756	138.549	499.047	5946.87	8.39352	-338.075	519.047	250.838	9.17599	-23271.7
25000	25	2.47616	2.47614	2.47616	55713.5	0.04999	771.685	831.378	407.735	495.963	517.428	502.141	392.056	589.971	503.323	504.327	508.837	714.063	665.822	435.519	624.335	461.211	452.152	377.912	674.994	499.286	509.615	515.969	689.509	640.421	450.806	593.222	480.493	444.762	427.531	630.04	496.037	456.048	495.416	356.702	354.12	107.735	73.5966	78.7723	125.561	331.711	71.2059	118.34	1912.07	8634.28	2121.2	1891.97	1918.25	4150.52	1441.97	709.662	4716.15	4709.81	2083.19	929.75	-257.658	1211.67	4352.11	1143.54	3052.16	40.096	1857.94	189.995	581.552	145.553	427.711	5776.84	6.82071	-338.456	499.594	278.117	7.87057	-23309.6
25100	25.1	2.47232	2.47614	2.47189	55627.1	0.05099	773.671	775.923	394.495	551.195	550.882	491.329	392.38	664.585	569.1	479.482	591.892	775.117	592.939	421.642	562.708	518.449	465.191	401.778	636.853	502.005	476.338	510.92	644.768	646.257	415.297	609.68	483.485	520.555	377.602	667.473	449.447	506.59	527.602	363.476	358.363	109.501	73.613	79.6567	127.126	334.734	71.9236	115.874	1898.19	8035.25	2131.17	1947.92	1993.2	4157.3	1368.85	692.746	4740.68	4434.11	2084.99	972.364	-278.433	1281.62	4324.93	1235.63	3021.41	42.3619	1901.11	198.21	628.927	150.214	432.417	5865.13	6.38671	-337.86	532.536	286.475	10.9927	-23287.4
25200	25.2	2.47337	2.47614	2.47306	55650.7	0.05199	777.871	717.5	382.186	553.616	444.616	485.501	386.448	584.004	464.606	538.001	489.507	822.732	659.821	378.629	556.567	494.907	462.389	387.319	560.867	556.496	495.139	498.648	663.602	709.706	340.258	548.425	526.362	464.696	395.115	565.398	468.677	463.54	535.12	371.336	355.703	113.035	73.7035	76.9884	123.77	354.814	78.0101	120.425	1827.73	7339.16	2010.08	2118.82	1959.12	3892.01	1367.57	739.246	4724.17	4102.24	2067.58	1016.4	-245.38	1302	4346.64	1154.33	3058.61	43.4866	1712.95	204.434	572.693	156.966	425.078	5783.98	8.11721	-337.992	474.469	290.152	8.99652	-23228.3
25300	25.3	2.49854	2.47614	2.50103	56217.1	0.05299	679.826	716.629	426.767	588.621	482.423	494.319	386.017	623.718	518.355	548.47	506.255	819.516	690.505	407.627	573.991	483.366	455.716	432.362	657.513	511.609	573.84	493.549	738.017	624.853	432.254	554.929	519.896	496.991	401.767	606.261	521.314	528.161	517.927	387.139	367.516	113.095	75.6086	75.5864	125.695	374.383	75.8999	120.433	1845.73	6914.42	2188.7	2013.25	1858.06	4063.24	1400.44	641.017	4706.36	3898.06	2030.05	1061.6	-268.809	1263.01	4350.06	1159.35	3051.57	45.9565	1904.98	213.004	562.471	164.223	351.399	5911.2	6.33263	-337.99	507.84	342.003	10.4218	-23176.6
25400	25.4	2.48358	2.47614	2.48441	55880.6	0.05399	733.824	694.939	396.074	567.032	450.933	468.743	409.38	642.045	491.503	493.369	497.708	736.118	753.584	424.848	567.118	449.528	514.628	372.553	609.823	543.154	510.263	482.993	693.456	621.005	382.919	543.735	512.293	468.229	380.793	630.197	538.461	560.171	478.338	386.443	378.785	113.458	78.5903	71.6506	124.027	389.186	79.3513	121.161	1856.9	6552.15	1990.98	1980.38	1864.21	3953.91	1274.7	627.525	4647.23	3600.04	2117.98	1104.61	-183.896	1283.22	4350	1197.09	2997.34	47.2704	1836.58	219.166	613.914	170.335	367.276	5716.54	8.61883	-338.212	497.528	352.234	10.2242	-23182.8
25500	25.5	2.47309	2.47614	2.47275	55644.5	0.05499	790.914	855.481	440.646	554.332	518.156	468.456	377.097	627.257	524.232	476.193	531.779	723.272	725.528	399.712	580.438	507.235	487.872	411.284	679.724	504.034	599.155	482.922	655.134	687.516	395.669	572.734	501.82	522.742	379.297	604.666	574.795	500.916	531.297	390.398	373.642	108.996	81.7863	71.4612	128.83	399.857	78.9871	124.153	1913.51	6178.43	2103.81	2017.7	1852.7	3797.99	1417.96	747.489	4500.98	3327.47	2032.83	1148.59	-361.186	1257.85	4324.48	1136.31	2931.3	49.7841	1845.95	226.728	601.386	177.373	387.771	5546.29	5.11346	-338.332	479.115	385.901	9.64873	-23200.8
25600	25.6	2.50105	2.47614	2.50382	56273.7	0.05599	705.166	811.406	385.243	631.276	465.076	508.556	400.863	633.475	487.388	583.398	515.423	826.747	769.717	441.956	488.206	479.604	515.969	460.039	583.514	543.282	480.839	535.342	680.314	615.087	403.508	547.522	465.555	500.959	421.444	549.422	553.247	517.98	532.355	408.925	387.782	115.104	81.3645	69.8119	128.697	398.246	79.3848	120.2	1897.26	5808.01	2047.84	1924.8	1905.95	4133.01	1359.53	610.386	4342.98	3204.08	2012.47	1192.78	-338.18	1281.45	4366.86	1208.43	2896.41	51.3847	1899.84	232.541	582.625	182.469	344.659	5673.34	4.37579	-338.141	524.241	393.492	10.6955	-23226.1
25700	25.7	2.50031	2.47614	2.50299	56256.9	0.05699	742.771	813.332	379.178	577.49	512.817	505.103	432.244	639.911	534.076	544.018	483.797	703.341	677.618	435.098	568.71	512.841	489.748	409.88	621.652	525.102	507.45	532.196	716.601	604.888	371.058	524.345	463.539	499.436	369.361	572.01	466.932	519.502	516.947	396.653	391.376	111.861	81.9363	72.6043	131.959	390.677	78.3928	124.536	1884.47	5477.79	2066.04	1940.42	1753.19	4088.15	1407.57	680.979	4427.32	3089.57	2009.53	1240.34	-314.555	1264.61	4322.54	1146.91	3045.68	52.8875	1880.59	239.339	580.196	189.548	293.506	5703.89	4.91759	-338.405	523.805	401.234	8.75302	-23286.2
25800	25.8	2.4769	2.47614	2.47698	55730.2	0.05799	816.457	836.791	432.495	515.582	466.107	514.788	421.483	653.1	480.924	573.117	544.181	829.844	695.286	387.633	560.961	525.829	466.303	382.305	643.077	522.216	517.168	507.037	735.135	608.405	373.825	573.061	476.375	508.18	461.129	660.544	547.922	536.199	537.067	411.896	397.58	113.865	84.1018	75.0435	136.338	406.588	77.0153	125.88	1983.94	5166.52	1929.37	2063.08	1832.43	4181.67	1328.18	735.799	4375.3	2897.47	2123.27	1294.76	-144.957	1258.07	4333.56	1116.62	2998.31	54.4633	1788.42	246.056	562.825	196.113	288.288	5587.8	3.93058	-338.314	480.878	409.394	12.2804	-23303.1
25900	25.9	2.46934	2.47614	2.46858	55560.1	0.05899	813.164	832.706	410.855	545.659	471.015	433.483	421.198	658.284	525.26	525.096	499.452	759.24	697.57	418.088	519.913	497.12	545.406	380.715	635.495	502.866	488.648	538.114	605.258	630.958	413.86	537.274	463.826	492.912	403.246	672.128	504.752	465.163	537.632	419.108	401.087	111.687	80.4526	79.0422	134.864	395.664	72.055	124.811	1792.77	4937.24	2214.52	2044.47	1887.4	3938.79	1426.46	706.163	4362.16	2773.61	1948.07	1335.64	-382.447	1258.85	4307.72	1185.49	3093.74	55.9677	1866.26	255.243	597.91	204.727	243.384	5696.67	3.26514	-338.28	476.056	422.108	11.6229	-23359.6
26000	26	2.49235	2.47614	2.49415	56077.9	0.05999	798.251	805.826	375.032	624.641	457.789	502.409	377.634	551.945	515.366	563.88	522.44	757.341	694.462	376.835	548.908	499.538	531.944	381.461	561.614	533.72	502.188	523.56	681.491	663.229	414.644	560.409	545.616	519.886	387.39	626.551	469.515	483.1	478.048	418.457	397.56	110.942	79.3598	76.1149	134.745	393.021	74.2712	122.482	2032.01	4522.4	2097.3	1933.71	1921.55	4097.08	1364.37	687.849	4298.41	2625.45	2049.47	1388.33	-239.816	1297.04	4336.42	1113.65	2921.57	57.75	1822.61	260.402	576.944	211.663	263.679	5742.14	3.03079	-338.234	495.096	426.898	8.44288	-23374.8
26100	26.1	2.46679	2.47614	2.46576	55502.9	0.06099	790.913	833.094	417.994	530.371	549.205	465.505	396.491	580.415	466.693	512.916	533.991	784.668	739.084	349.818	556.33	508.53	466.361	396.927	572.152	508.45	508.125	441.215	734.155	646.674	420.136	634.989	538.271	462.429	392.924	592.11	544.519	460.754	521.976	413.427	414.105	108.559	77.519	74.999	133.775	388.637	72.6557	121.416	1923.52	4191.78	2114.01	2041.23	1905.05	3972.46	1377.81	667.461	4226.8	2471.71	2226.7	1432.35	-436.799	1286.68	4355.39	1264.43	2968.89	61.8381	1838.8	271.595	622.527	219.416	252.165	5520.34	2.68114	-338.234	506.619	402.921	12.4151	-23355.4
26200	26.2	2.43878	2.47614	2.43463	54872.5	0.06199	686.434	845.526	416.964	601.737	513.937	475.935	430.662	592.569	445.326	476.543	507.656	773.281	694.035	424.185	507.641	525.85	505.381	461.724	614.253	501.013	506.669	503.293	633.966	676.055	382.399	583.163	503.101	455.269	396.664	567.529	465.141	482.463	489.715	412.043	411.932	106.699	77.6026	75.6536	134.269	378.711	73.59	116.535	2005.9	4112.22	2050.39	1874.1	1959.18	4053.07	1394.62	678.529	4112.29	2341.75	2066.67	1484.94	-420.739	1279.67	4320.57	1162.91	3061.21	62.1621	1760.42	277.195	572.69	225.916	260.183	5704.88	2.08906	-338.107	494.964	427.823	8.23002	-23341.8
26300	26.3	2.48305	2.47614	2.48382	55868.6	0.06299	822.935	828.37	392.099	604.219	491.601	483.668	416.088	626.361	499.964	509.449	530.085	810.508	724.437	418.052	534.944	517.318	492.941	441.537	622.547	462.003	528.348	498.179	653.452	659.216	405.532	533.974	494.266	497.127	394.768	649.2	564.901	478.995	508.908	432.762	427.914	107.981	78.7629	77.2048	132.233	393.737	75.772	119	1865.15	3892.95	2012.96	1954.67	1890.23	4124.91	1505.76	701.734	3995.47	2244.18	1975.42	1531.72	-290.689	1233.18	4350.91	1158.61	2900.99	64.5218	1728.34	284.826	600.632	233.108	225.08	5605.76	1.00092	-338.246	493.13	435.621	8.0041	-23309.8
26400	26.4	2.46965	2.47614	2.46892	55567	0.06399	792.975	814.134	419.221	585.344	539.649	517.52	417.715	614.99	469.023	508.188	534.737	793.862	677.11	400.985	589.191	484.55	470.29	390.018	630.98	504.413	540.23	546.19	641.784	777.774	394.719	520.816	539.972	512.989	402.003	612.288	488.785	459.153	476.503	412.143	424.047	105.914	78.4203	74.9632	133.366	398.39	72.7203	115.231	1938.75	3663.75	1922.41	1984.13	1895.15	3857.71	1533.15	688.598	4052.92	2034.34	1929.86	1582.94	-302.831	1312.27	4374.14	1143.99	2898.55	65.9938	1823.8	289.021	558.589	240.585	204.691	5630.62	1.79114	-338.285	494.462	423.559	7.13973	-23286.5
26500	26.5	2.4749	2.47614	2.47476	55685.2	0.06499	735.568	834.194	455.653	598.811	473.442	478.104	418.879	646.785	523.608	493.927	528.17	695.016	734.441	461.641	603.538	457.389	482.892	442.715	585.378	532.044	547.448	529.728	718.883	675.293	412.151	583.012	472.431	505.249	408.183	587.29	511.411	507.313	510.82	413.725	421.625	108.993	80.0623	75.4127	132.096	401.294	73.2942	116.435	1919.28	3579.61	1940.33	2079.99	1743.98	3953.72	1412.69	629.498	4009.09	1964.92	2142.91	1633.49	-427.066	1250.35	4335.97	1226.01	2962.66	69.1489	1822.22	299.475	625.377	250.397	236.804	5574.57	2.37702	-338.274	479.673	451.223	6.62894	-23276.7
26600	26.6	2.5105	2.47614	2.51432	56486.2	0.06599	726.035	806.577	375.502	522.201	449.454	473.922	358.675	633.756	539.226	483.27	571.134	813.8	708.775	379.752	525.649	486.966	461.909	406.511	658.661	453.173	474.485	491.225	679.075	698.478	376.817	538.678	457.265	485.251	343.853	597.275	480.975	521.822	474.481	424.869	412.283	117.514	75.072	71.8698	130.89	402.673	76.2591	112.974	1926.85	3520.57	1919.2	1871.97	1716.26	4081.26	1383.9	673.613	3849.47	1764.2	2106.67	1684.98	-283.609	1299.8	4341.02	1173.1	2985.22	71.5298	1865.88	308.904	592.873	258.259	216.365	5645.65	1.30226	-338.377	502.699	459.638	7.42702	-23347
26700	26.7	2.47507	2.47614	2.47495	55689	0.06699	790.543	818.906	392.711	541.973	451.884	505.953	389.977	630.776	528.828	482.247	518.998	767.928	749.157	463.458	567.607	487.052	495.049	423.606	600.89	480.843	500.653	521.055	649.799	670.249	386.649	498.021	498.96	514.621	423.334	623.25	519.97	522.771	551.141	426.666	407.75	114.32	79.5716	73.8173	133.513	405.773	73.5012	108.604	1948.78	3236.02	2052.12	1895.56	1833.92	3957.97	1366.45	717.377	3901.4	1666.03	2055.36	1745	-371.822	1282.48	4339.56	1144.71	3007.45	73.3664	1766.66	318.675	590.131	263.166	193.563	5648.7	0.731148	-338.015	484.792	472.399	8.37823	-23421.5
26800	26.8	2.48104	2.47614	2.48158	55823.4	0.06799	738.497	778.739	394.224	521.724	459.263	519.72	386.855	660.166	547.753	484.443	522.264	703.724	724.022	403.279	636.916	513.49	533.64	412.282	697.027	502.182	515.642	484.477	690.507	657.995	386.512	555.994	440.908	518.046	374.573	625.806	572.103	527.202	502.221	413.149	428.716	119.193	76.0276	72.604	133.009	407.062	82.4895	107.097	1956.02	3114.8	1953.99	1918.65	1885.51	3897.38	1442.07	654.451	3924.78	1559.74	2221.88	1800.17	-320.156	1307.93	4352.61	1178.73	2937.42	75.1473	1721.79	322.714	580.814	275.374	186.338	5670.53	0.757316	-338.34	501.521	486.501	7.56095	-23467.3
26900	26.9	2.50038	2.47614	2.50307	56258.5	0.06899	733.081	771.308	371.927	510.56	536.626	537.925	379.047	585.65	574.884	480.143	514.479	801.808	749.298	449.337	607.095	511.918	486.765	429.262	554.581	484.935	482.762	473.028	657.156	634.956	418.812	593.672	529.32	476.488	423.134	662.821	511.052	496.365	496.515	396.889	425.38	122.517	76.9632	73.9647	128.278	422.121	78.3969	103.606	1880.14	2916.98	2017.71	2028.83	1914.47	3910.7	1332.62	734.285	3955.91	1405.12	1983.94	1857.05	-281.523	1300.49	4327.83	1127.85	3066.3	78.0391	1825.48	331.647	568.933	283.721	164.971	5648.43	0.289653	-338.304	481.741	512.546	7.91122	-23441.3
27000	27	2.47064	2.47614	2.47003	55589.5	0.06999	732.61	685.738	417.8	581.347	475.041	437.433	394.295	738.874	478.916	530.477	488.303	836.823	713.666	418.763	572.723	443.198	453.309	378.799	579.255	450.495	529.996	455.907	660.394	563.32	414.027	612.648	471.136	467.978	427.124	649.419	530.165	473.452	586.401	389.771	414.999	118.101	73.8101	71.5117	118.616	401.478	76.9846	109.765	1840.88	2886.9	2094.77	1985.91	1813.05	4132.03	1425.09	777.145	3969.06	1371.19	2049.52	1914.97	-258.762	1281.94	4311.88	1125.38	3048.91	78.5445	1667.8	337.6	588.503	293.514	159.178	5888.22	0.156473	-338.192	509.526	480.921	6.93202	-23430.1
27100	27.1	2.46502	2.47614	2.46378	55462.8	0.07099	679.97	800.384	366.027	584.45	501.608	484.835	369.338	616.38	454.66	479.099	440.099	714.886	694.256	380.516	522.838	497.361	435.063	406.834	634.48	513.876	542.022	531.168	739.589	604.493	412.351	527.626	490.383	413.122	403.096	614.15	517.989	542.531	483.438	404.726	404.094	117.9	72.6954	71.983	130.441	404.361	79.042	109.48	1867.19	2688.37	2012.21	1985.92	1834.72	4056.18	1442.79	723.236	3830.1	1430.31	2116.87	1970.73	-387.404	1257.99	4355.44	1097.31	2888.48	81.3204	1835.26	346.068	551.936	301.22	201.823	5738.19	-0.0433876	-338.139	500.251	514.867	6.67043	-23464.7
27200	27.2	2.47393	2.47614	2.47368	55663.4	0.07199	720.16	733.009	376.897	570.05	478.866	507.547	393.171	595.656	529.932	531.791	540.159	814	713.598	429.867	561.613	496.624	490.659	430.406	672.934	506.552	524.1	540.537	658.447	681.696	424.013	599.438	497.744	489.202	393.237	649.053	546.289	458.571	515.701	395.483	397.54	121.149	77.3065	77.826	121.251	399.293	78.7137	108.375	2041.85	2663.35	1937.46	1973.05	1957.39	4070.91	1507.13	718.898	3732.88	1354.2	1923.21	2032.72	-184.751	1324.79	4323.46	1171.68	3055.5	83.2515	1855.27	351.933	592.211	306.926	159.454	5824.75	-0.23999	-338.212	502.044	514.872	8.18518	-23453.2
27300	27.3	2.47482	2.47614	2.47467	55683.3	0.07299	711.944	828.223	419.63	586.386	517.522	515.693	375.127	671.823	526.298	465.823	491.518	747.81	692.156	484.079	549.927	480.227	495.341	444.366	587.457	515.968	474.585	522.1	673.249	608.27	444.432	590.876	525.904	524.234	438.915	631.061	507.51	540.263	516.64	403.448	395.688	120.11	80.439	71.058	119.328	383.756	78.0057	115.669	2037.62	2594.34	2143.12	1848.46	1996.06	3990.47	1413.9	794.887	3703.76	1292.88	2053.06	2084.68	-406.631	1290.89	4372.3	1174.96	2870.92	85.6051	1828.62	358.019	585.487	315.293	166.968	5635.97	-0.148647	-338.227	486.918	543.661	7.34576	-23420.9
27400	27.4	2.50578	2.47614	2.50907	56380	0.07399	783.913	780.428	374.691	573.103	467.703	418.611	370.865	550.708	491.425	542.563	481.82	825.535	685.573	396.743	596.924	533.147	453.782	386.027	680.479	553.031	551.537	526.337	680.724	676.554	397.3	551.573	496.811	535.082	419.395	621.45	484.007	503.006	487.538	387.995	390.954	119.409	80.5662	76.5525	124.746	370.599	74.1467	114.995	1933.52	2590.21	2107.66	2019.24	1845.26	3959.17	1330.14	749.54	3583.69	1350.74	2033.24	2145.76	-248.85	1304.88	4341.23	1145.96	3062.47	88.352	1946.48	366.254	585.46	322.246	158.998	5555.75	-0.126843	-338.188	483.343	492.41	7.96776	-23439.9
27500	27.5	2.50904	2.47614	2.5127	56453.4	0.07499	785.207	777.288	372.488	612.15	525.903	488.55	428.633	606.889	509.252	489.348	509.374	723.956	735.539	439.43	556.282	489.372	535.451	425.428	610.536	505.64	560.298	555.33	678.977	664.193	384.339	538.062	516.114	525.87	417.481	622.084	526.426	534.825	509.62	389.303	392.657	121.668	78.9182	73.2939	121.267	360.272	74.2784	117.407	1869.1	2442.03	2032.35	1896.05	1909.53	4057.25	1371.02	705.855	3564	1157.19	2039.32	2206.36	-379.243	1345.46	4319.02	1146.04	3043.07	89.7482	1874.03	373.047	584.133	334.209	155.464	5580.09	-0.0332054	-338.376	494.598	496.732	5.71915	-23489.1
27600	27.6	2.44954	2.47614	2.44658	55114.6	0.07599	804.157	790.772	429.989	563.386	524.154	486.623	367.386	585.695	492.885	499.79	437.152	698.744	716.158	383.739	543.817	499.519	488.038	438.105	624.739	462.906	504.374	480.695	691.38	592.228	408.174	559.657	468.311	484.799	368.645	635.469	548.696	483.312	555.671	381.486	385.417	116.581	82.943	79.8979	119.125	356.739	78.4521	124.966	2041.69	2398.39	2004.28	1964.63	1989.04	4040.41	1408.77	765.912	3510.35	1208.61	2023.7	2262.11	-354.427	1337.19	4353.44	1115.56	2910.35	91.0275	1825.12	377.857	556.303	343.642	152.856	5765.45	-0.00790919	-338.122	517.025	501.742	5.66499	-23549
27700	27.7	2.47248	2.47614	2.47207	55630.8	0.07699	783.866	886.654	435.643	532.189	487.955	502.309	356.595	605.75	508.552	496.665	486.659	839.028	715.139	398.037	589.87	490.506	463.266	373.941	668.209	498.421	479.043	544.022	708.124	661.858	392.534	571.387	448.281	522.384	405.674	606.896	546.924	531.026	518.882	365.225	356.861	116.577	80.85	80.786	116.529	352.238	78.7039	130.007	1956.17	2236.52	2069.04	1926.97	1945.09	4066.33	1359.63	727.463	3468.76	1186.69	1996.92	2330.94	-473.833	1320.49	4342.27	1129.3	2967.8	91.7116	1801.14	384.685	549.858	349.875	148.775	5501.43	0.0460858	-338.082	473.79	460.974	5.35917	-23498.6
27800	27.8	2.45342	2.47614	2.4509	55202.1	0.07799	748.539	731.164	376.354	662.652	473.47	531.397	414.462	560.43	522.527	512.534	577.635	748.565	771.349	421.229	525.151	486.772	487.02	419.615	588.16	538.373	483.767	466.282	745.685	625.225	376.597	533.04	481.109	533.772	440.431	569.803	540.701	512.568	538	350.928	343.601	108.387	79.7509	83.2565	112.604	364.768	76.0137	127.971	1961.97	2183.21	2023.23	1843.18	1792.74	3954.11	1365.96	767.204	3457.03	1155.5	2099.71	2397.88	-365.217	1324.97	4322.54	1128.91	3071.71	92.6776	1839.79	391.158	570.28	359.376	139.652	5606.78	-0.284046	-338.398	495.044	526.063	5.32752	-23502.9
27900	27.9	2.49429	2.47614	2.4963	56121.5	0.07899	818.448	797.021	416.043	525.293	497.682	503.375	370.437	610.902	533.648	541.124	492.012	743.986	695.445	416.57	607.649	477.313	520.583	402.752	628.469	460.667	480.005	499.808	696.95	666.64	412.686	571.427	448.097	544.995	466.193	641.152	511.539	461.533	518.315	355.391	333.813	110.221	78.0904	84.0183	116.252	365.926	75.519	130.918	1828.92	2091.15	2017.55	2017.23	1939.19	4088.28	1323.32	706.81	3501.04	1202.2	1958.96	2458.47	-333.895	1354.37	4372.07	1094.88	2875.14	97.7576	1949.21	401.431	548.752	367.544	142.493	5747.46	-0.367841	-338.199	498.733	501.232	6.37563	-23528
28000	28	2.50322	2.47614	2.50623	56322.5	0.07999	732.017	785.419	354.383	519.548	465.425	441.743	398.901	693.599	469.874	547.788	500.641	735.244	735.572	440.476	544.62	537.775	469.175	424.389	577.991	535.456	528.908	506.938	654.662	620.285	374.512	545.065	511.798	507.029	384.748	584.652	493.505	500.476	528.668	330.638	328.976	117.252	78.4255	91.5911	111.556	357.79	73.7536	122.808	1895.23	1953.15	1899.54	1909.74	1923.3	4051.28	1399.45	680.456	3347.32	1151.4	2230.33	2527.97	-377.315	1350.01	4339.06	1181.45	2963.84	95.7757	1882.06	405.476	612.868	369.524	157.285	5751.39	-0.435296	-338.267	504.585	518.459	5.73212	-23566
